ros_time_s,Error_Distancia
1758473348.369656801,-0.052514
1758473348.471599579,-0.044712
1758473348.568374157,-0.042771
1758473348.670146704,-0.041469
1758473348.870097160,-0.049871
1758473348.972543001,-0.046692
1758473349.255863667,-0.042404
1758473349.370083094,-0.043177
1758473349.469464779,-0.046764
1758473349.570960522,0.198611
1758473349.670150757,0.186715
1758473349.771505117,0.417159
1758473349.868642569,0.065505
1758473349.969961643,0.202286
1758473350.048441172,0.450422
1758473350.172351837,0.072568
1758473350.267096281,-0.043634
1758473350.370157719,0.161532
1758473350.469164133,-0.046080
1758473350.569589853,-0.044590
1758473350.670056343,-0.049801
1758473350.769159794,-0.047071
1758473350.870108843,-0.047412
1758473350.971320152,-0.048415
1758473351.070180416,-0.046268
1758473351.268148184,-0.055001
1758473351.373248577,-0.060596
1758473351.469511747,-0.049093
1758473351.570874691,-0.058477
1758473351.670438766,-0.057713
1758473351.771367073,-0.062701
1758473351.871710777,-0.058106
1758473351.970309973,-0.059428
1758473352.071772337,-0.057877
1758473352.169462204,-0.059004
1758473352.269753933,-0.060181
1758473352.369214773,-0.062929
1758473352.468301773,-0.067581
1758473352.569495440,-0.067398
1758473352.670547724,-0.069780
1758473352.776228905,-0.065561
1758473352.868576050,-0.062278
1758473352.969091415,-0.062196
1758473353.069682598,-0.064850
1758473353.169898748,-0.059355
1758473353.270174980,-0.057102
1758473353.371122599,-0.075554
1758473353.469200611,-0.066837
1758473353.570428848,-0.065698
1758473353.671184540,-0.072940
1758473353.772472858,-0.064190
1758473353.870785236,-0.062502
1758473353.969579697,-0.072100
1758473354.071432114,-0.069057
1758473354.271563053,-0.065486
1758473354.371392012,-0.067357
1758473354.471702099,-0.078001
1758473354.569576025,-0.071105
1758473354.670579433,-0.074198
1758473354.870828390,-0.066987
1758473355.070364952,-0.067960
1758473355.169580221,-0.070630
1758473355.270871878,-0.073217
1758473355.369783401,-0.072424
1758473355.570396423,-0.074078
1758473355.669030190,-0.072359
1758473355.770029306,-0.073149
1758473355.870480061,-0.074310
1758473355.968590260,-0.065270
1758473356.071835041,-0.068400
1758473356.170668602,-0.068037
1758473356.267385244,-0.068068
1758473356.370649576,-0.065918
1758473356.570265055,-0.067134
1758473356.669611216,-0.064649
1758473356.766462803,-0.072538
1758473356.870166779,-0.085184
1758473356.970632553,-0.073029
1758473357.069538355,-0.075728
1758473357.273922205,-0.097688
1758473357.969451189,-0.082529
1758473359.568948030,0.032712
1758473359.670241833,0.038943
1758473359.768268824,0.042016
1758473359.869620323,0.020143
1758473361.268474102,-0.102744
1758473361.467873096,-0.110692
1758473361.568327188,-0.110326
1758473361.769171000,-0.120328
1758473363.067198753,-0.129554
1758473363.667290688,-0.146764
1758473363.767519712,-0.132845
1758473363.866275549,-0.134215
1758473364.067491055,-0.139684
1758473364.166239500,-0.147735
1758473364.365199089,-0.141687
1758473364.467594862,-0.144553
1758473364.566015482,-0.148664
1758473364.669916153,-0.145700
1758473364.864910126,-0.157971
1758473365.565696955,-0.041973
