ros_time_s,Imu_Error_yaw
1758473344.743771315,0.000000
1758473344.843845129,0.000000
1758473344.943251371,0.000000
1758473345.043641567,0.000000
1758473345.143690348,0.000000
1758473345.243779421,0.000000
1758473345.343464851,0.000000
1758473345.443553686,0.000000
1758473345.543396711,0.000000
1758473345.643845320,0.000000
1758473345.743339539,0.000000
1758473345.844382763,0.000000
1758473345.943429708,0.000000
1758473346.043398380,0.000000
1758473346.143151522,0.000000
1758473346.243175030,0.000000
1758473346.343445301,0.000000
1758473346.443380594,0.000000
1758473346.543399334,0.000000
1758473346.643957853,0.000000
1758473346.743359327,0.000000
1758473346.843408585,0.000000
1758473346.943333626,0.000000
1758473347.043720484,0.000000
1758473347.143343925,0.000000
1758473347.243287325,0.000000
1758473347.343542337,0.000000
1758473347.443419456,0.000000
1758473347.543257952,0.000000
1758473347.643203259,0.000000
1758473347.743393421,0.000000
1758473347.844529152,0.000000
1758473347.944221497,0.000000
1758473348.043615341,0.000000
1758473348.143001318,0.000000
1758473348.242991209,0.000000
1758473348.348441601,0.000000
1758473348.449931622,0.000000
1758473348.547188520,-0.001047
1758473348.649145126,-0.001047
1758473348.848307133,-0.003316
1758473348.947205067,-0.004363
1758473349.146295786,-0.006458
1758473349.347986937,-0.008727
1758473349.448556662,-0.009774
1758473349.550431728,-0.009774
1758473349.647780657,-0.008727
1758473349.748674154,0.001222
1758473349.846911907,0.009949
1758473349.948913336,0.018675
1758473350.047777176,0.026180
1758473350.149731398,0.033859
1758473350.244832039,0.043633
1758473350.348401308,0.050266
1758473350.447662115,0.052360
1758473350.548210382,0.060039
1758473350.648982525,0.063356
1758473350.744977474,0.063356
1758473350.849603653,0.061087
1758473350.949856520,0.060039
1758473351.048577785,0.057945
1758473351.246325254,0.055676
1758473351.349642754,0.054629
1758473351.446666956,0.053582
1758473351.550351143,0.053582
1758473351.648538589,0.053582
1758473351.750860453,0.053582
1758473351.850291491,0.053582
1758473351.949678659,0.053582
1758473352.050029516,0.053582
1758473352.147227287,0.054629
1758473352.245689869,0.055676
1758473352.346915722,0.055676
1758473352.446289062,0.055676
1758473352.547875881,0.055676
1758473352.650412560,0.054629
1758473352.752887964,0.054629
1758473352.846989870,0.054629
1758473352.947370052,0.054629
1758473353.048184872,0.054629
1758473353.147847414,0.053582
1758473353.246698856,0.052360
1758473353.349507093,0.051313
1758473353.447625399,0.049218
1758473353.549134016,0.047997
1758473353.650346279,0.046949
1758473353.748449564,0.046949
1758473353.849669695,0.046949
1758473353.948870420,0.046949
1758473354.047709465,0.045902
1758473354.248867989,0.045902
1758473354.349691391,0.045902
1758473354.451271534,0.045902
1758473354.547956944,0.046949
1758473354.648446798,0.046949
1758473354.846751213,0.046949
1758473355.047464132,0.045902
1758473355.146911860,0.045902
1758473355.247752428,0.046949
1758473355.347790480,0.046949
1758473355.546783924,0.044855
1758473355.646980286,0.044855
1758473355.747297049,0.043633
1758473355.848623514,0.043633
1758473355.946927309,0.043633
1758473356.050838947,0.043633
1758473356.148166895,0.043633
1758473356.245106697,0.043633
1758473356.348003864,0.042586
1758473356.548758745,0.040492
1758473356.647362232,0.038223
