ros_time_s,Lecturas_Validas
1758473344.743877172,2.000000
1758473344.843970537,2.000000
1758473344.943357944,2.000000
1758473345.043749094,3.000000
1758473345.143793821,2.000000
1758473345.243891716,2.000000
1758473345.343559265,3.000000
1758473345.443697691,2.000000
1758473345.543532848,2.000000
1758473345.643952131,2.000000
1758473345.743449688,3.000000
1758473345.844568491,3.000000
1758473345.943541050,2.000000
1758473346.043495893,3.000000
1758473346.143259048,3.000000
1758473346.243282318,2.000000
1758473346.343532324,3.000000
1758473346.443486214,2.000000
1758473346.543493271,2.000000
1758473346.644203663,3.000000
1758473346.743500233,3.000000
1758473346.843517065,2.000000
1758473346.943510532,2.000000
1758473347.043846130,3.000000
1758473347.143440485,2.000000
1758473347.243411303,2.000000
1758473347.343644142,3.000000
1758473347.443525314,2.000000
1758473347.543359518,2.000000
1758473347.643305540,3.000000
1758473347.743475437,3.000000
1758473347.844753742,2.000000
1758473347.944410086,3.000000
1758473348.043694496,3.000000
1758473348.143111229,2.000000
1758473348.243103027,3.000000
1758473348.348728895,4.000000
1758473348.450175762,3.000000
1758473348.547395229,2.000000
1758473348.649279833,2.000000
1758473348.848471880,4.000000
1758473348.947382450,2.000000
1758473349.146434784,2.000000
1758473349.348143339,2.000000
1758473349.448789597,2.000000
1758473349.550533533,6.000000
1758473349.647953749,5.000000
1758473349.748970270,1.000000
1758473349.847105026,4.000000
1758473349.949130058,5.000000
1758473350.047917128,1.000000
1758473350.149965763,4.000000
1758473350.244950771,2.000000
1758473350.348606348,5.000000
1758473350.447849512,3.000000
1758473350.548432827,2.000000
1758473350.649145842,2.000000
1758473350.745153189,2.000000
1758473350.849829197,3.000000
1758473350.950028658,3.000000
1758473351.048743248,2.000000
1758473351.246618271,2.000000
1758473351.349878311,2.000000
1758473351.446859121,1.000000
1758473351.550631762,2.000000
1758473351.648672581,2.000000
1758473351.751061201,2.000000
1758473351.850418806,3.000000
1758473351.949798107,2.000000
1758473352.050312757,2.000000
1758473352.147407532,2.000000
1758473352.245856285,2.000000
1758473352.347198963,2.000000
1758473352.446447849,2.000000
1758473352.548009396,2.000000
1758473352.650513649,2.000000
1758473352.753245115,2.000000
1758473352.847153902,2.000000
1758473352.947506189,3.000000
1758473353.048396587,3.000000
1758473353.148027658,2.000000
1758473353.246876001,1.000000
1758473353.349739790,2.000000
1758473353.447777033,3.000000
1758473353.549432039,3.000000
1758473353.650473356,2.000000
1758473353.748713493,3.000000
1758473353.849911690,2.000000
1758473353.949000597,2.000000
1758473354.047864437,3.000000
1758473354.249147415,2.000000
1758473354.349912405,2.000000
1758473354.451527596,2.000000
1758473354.548208475,3.000000
1758473354.648670197,2.000000
1758473354.846927404,2.000000
1758473355.047801971,2.000000
1758473355.147045851,1.000000
1758473355.247996569,3.000000
1758473355.347995996,1.000000
1758473355.546984434,3.000000
1758473355.647245884,3.000000
1758473355.747483730,2.000000
1758473355.848827124,1.000000
1758473355.947132826,1.000000
1758473356.051026583,2.000000
1758473356.148421049,2.000000
1758473356.245248318,2.000000
1758473356.348286867,2.000000
1758473356.548996449,1.000000
1758473356.647569895,1.000000
1758473356.745362520,1.000000
1758473356.846451044,2.000000
1758473356.947810411,2.000000
1758473357.046059847,2.000000
1758473357.251779556,2.000000
1758473357.948526859,2.000000
1758473359.546256542,1.000000
1758473359.646818876,1.000000
1758473359.745295286,1.000000
1758473359.846413374,1.000000
1758473361.246767759,2.000000
1758473361.445752382,2.000000
1758473361.546203852,1.000000
1758473361.746760368,2.000000
1758473363.046301603,1.000000
1758473363.643435717,1.000000
1758473363.743329525,1.000000
1758473363.845113754,2.000000
1758473364.045644760,1.000000
1758473364.144121170,1.000000
1758473364.344235182,1.000000
1758473364.446363211,1.000000
1758473364.544301987,1.000000
1758473364.646357298,1.000000
1758473364.843292475,1.000000
1758473365.544621229,1.000000
1758473365.643376589,1.000000
1758473365.943910599,1.000000
1758473366.044325590,1.000000
1758473366.143246412,1.000000
1758473366.743941069,1.000000
1758473366.844216585,1.000000
1758473366.943239927,2.000000
1758473367.345704079,1.000000
1758473367.443275928,2.000000
1758473369.345611334,1.000000
1758473369.544105768,1.000000
1758473369.645732164,1.000000
1758473371.145623922,1.000000
1758473371.746277809,2.000000
1758473371.846177340,1.000000
1758473371.946400881,1.000000
1758473372.144963503,2.000000
1758473372.246681452,2.000000
1758473373.145878315,1.000000
1758473373.247996330,3.000000
1758473373.346653938,2.000000
1758473373.547816038,1.000000
1758473373.646402359,1.000000
1758473373.746169567,1.000000
1758473373.944933653,2.000000
1758473374.046426058,1.000000
1758473374.146005392,2.000000
1758473374.246326923,1.000000
