ros_time_s,Lidar_Left
1758473344.743551970,1.042142
1758473344.843606472,1.044857
1758473344.943021536,1.040127
1758473345.043421984,1.044475
1758473345.143465519,1.044197
1758473345.243537188,1.045085
1758473345.343233347,1.043565
1758473345.443280697,1.042584
1758473345.543133259,1.044733
1758473345.643612623,1.042150
1758473345.743097544,1.043961
1758473345.843997240,1.049340
1758473345.943212748,1.048168
1758473346.043199778,1.044874
1758473346.142908335,1.043766
1758473346.242934704,1.042362
1758473346.343259335,1.046696
1758473346.443155527,1.051219
1758473346.543206215,1.042832
1758473346.643621206,1.046319
1758473346.743153095,1.044921
1758473346.843179703,1.042768
1758473346.943111658,1.047572
1758473347.043456316,1.044464
1758473347.143140554,1.044805
1758473347.243058443,1.046414
1758473347.343327045,1.044534
1758473347.443198681,1.041056
1758473347.543018103,1.046070
1758473347.642980099,1.044526
1758473347.743205786,1.046669
1758473347.844004869,1.046667
1758473347.943638086,1.045124
1758473348.043408632,1.048218
1758473348.142807245,1.044780
1758473348.242811918,1.046745
1758473348.348101854,1.052514
1758473348.449543238,1.044712
1758473348.546816111,1.042771
1758473348.648887634,1.041469
1758473348.848013401,1.049871
1758473348.946854830,1.046692
1758473349.146000385,1.042404
1758473349.347736835,1.043177
1758473349.448138237,1.046764
1758473349.550192595,0.801389
1758473349.647482634,0.813285
1758473349.748225451,0.582841
1758473349.846613169,0.934495
1758473349.948642969,0.797714
1758473350.047502518,0.549578
1758473350.149347782,0.927432
1758473350.244583607,1.043634
1758473350.348015785,0.838468
1758473350.447328568,1.046080
1758473350.547793627,1.044590
1758473350.648719788,1.049800
1758473350.744699955,1.047071
1758473350.848973036,1.047412
1758473350.949581146,1.048415
1758473351.048242092,1.046268
1758473351.246012449,1.055001
1758473351.349252462,1.060596
1758473351.446403980,1.049093
1758473351.549239635,1.058477
1758473351.648282766,1.057713
1758473351.750241518,1.062701
1758473351.850034475,1.058106
1758473351.949437618,1.059428
1758473352.049623966,1.057877
1758473352.146469116,1.059004
1758473352.245389462,1.060181
1758473352.346550226,1.062929
1758473352.445978642,1.067581
1758473352.547611713,1.067398
1758473352.650202513,1.069780
1758473352.752397060,1.065561
1758473352.846703291,1.062278
1758473352.947113037,1.062196
1758473353.047807455,1.064850
1758473353.147512913,1.059355
1758473353.246373892,1.057102
1758473353.349117994,1.075554
1758473353.447309494,1.066837
1758473353.548669100,1.065698
1758473353.650111914,1.072940
1758473353.747974396,1.064190
1758473353.849236250,1.062502
1758473353.948621750,1.072100
1758473354.047412395,1.069057
1758473354.248488426,1.065486
1758473354.349262953,1.067357
1758473354.450753689,1.078001
1758473354.547564507,1.071105
1758473354.648030519,1.074198
1758473354.846414328,1.066987
1758473355.046971798,1.067960
1758473355.146632195,1.070630
1758473355.247400045,1.073217
1758473355.347497702,1.072424
1758473355.546485662,1.074078
1758473355.646557093,1.072359
1758473355.746847391,1.073149
1758473355.848262072,1.074310
1758473355.946617842,1.065270
1758473356.050444126,1.068400
1758473356.147677898,1.068037
1758473356.244822502,1.068068
1758473356.347635269,1.065918
1758473356.548371553,1.067134
1758473356.646530390,1.064649
1758473356.744874477,1.072538
1758473356.845896721,1.085184
1758473356.947246552,1.073029
1758473357.045563698,1.075728
1758473357.251411915,1.097688
1758473357.947854757,1.082529
1758473359.545775175,0.967288
1758473359.646379232,0.961057
1758473359.744740248,0.957984
1758473359.845689297,0.979857
1758473361.246183157,1.102744
1758473361.445275307,1.110692
1758473361.545710564,1.110326
1758473361.746321917,1.120328
1758473363.045799971,1.129554
1758473363.642971039,1.146764
1758473363.742928743,1.132845
1758473363.844675541,1.134215
1758473364.045228720,1.139684
1758473364.143754482,1.147735
1758473364.343655348,1.141687
1758473364.445854187,1.144553
1758473364.543934107,1.148664
1758473364.645813704,1.145700
1758473364.842926025,1.157971
1758473365.544264793,1.041973
1758473365.642956018,1.037420
1758473365.943558455,1.030276
1758473366.043923140,1.040293
1758473366.142887831,1.170631
1758473366.743618011,1.049323
1758473366.843754768,1.040451
1758473366.942893982,1.047888
1758473367.345174074,1.034925
1758473367.442932129,1.184358
1758473369.345239878,1.057686
1758473369.543757915,1.066205
1758473369.645421743,1.067933
1758473371.145328283,0.526554
1758473371.745894194,0.573456
1758473371.845823765,0.588244
1758473371.946113825,0.567013
1758473372.144623280,0.595595
1758473372.246392250,0.550155
1758473373.145535231,1.059697
1758473373.247686863,0.889443
1758473373.346342564,1.068527
1758473373.547496796,1.071303
1758473373.646111250,1.063781
1758473373.745792866,1.058596
1758473373.944551229,1.059970
1758473374.046036959,1.047196
1758473374.145604372,1.056471
1758473374.245964527,1.057693
1758473374.346012354,1.060297
1758473374.447195292,1.060823
1758473374.547720671,1.052991
1758473374.648056507,1.059430
1758473374.748352051,1.066490
1758473374.847454071,1.065231
1758473374.943902969,1.058982
1758473375.047707081,1.062596
1758473375.149800539,1.061543
1758473375.245998383,1.055839
1758473375.346854210,1.052347
1758473375.446756840,1.057310
1758473375.548930883,1.057895
1758473375.645972729,1.047297
1758473375.746641874,1.062750
1758473375.846560001,1.059405
1758473375.947824717,1.069505
1758473376.047609568,1.057463
1758473376.146194696,1.065515
1758473376.247230291,1.063107
1758473376.346991301,1.062468
1758473376.445921183,1.059920
1758473376.548993587,1.069084
1758473376.645917892,1.069702
1758473376.749902964,1.059094
1758473376.847300291,1.225080
1758473376.946548939,1.068373
1758473377.048207045,1.150678
1758473377.147799253,1.065135
1758473377.249536991,1.062802
1758473377.346635342,1.071200
1758473377.445117950,1.074283
1758473377.647146702,1.071474
1758473377.849127769,1.075042
1758473377.947002411,1.072298
1758473378.147679090,1.072666
1758473378.348219395,1.069976
1758473378.448603630,1.071441
1758473378.747731924,1.073916
1758473379.049203396,1.263074
1758473379.148322582,1.261890
1758473379.451184988,1.251222
1758473379.549256086,1.181525
1758473379.648500919,1.180250
1758473379.747531414,0.945863
1758473379.848732233,0.989089
1758473379.949167252,1.249568
1758473380.049260616,1.153909
1758473380.149257898,0.636635
1758473380.250108719,0.960842
1758473380.350705624,1.180381
1758473380.449131727,1.269075
1758473380.549654484,1.153503
1758473380.647944450,1.253035
1758473380.747924328,1.104118
1758473380.848937273,1.285882
1758473381.051165342,1.284639
1758473381.148568392,1.110451
1758473381.249135256,1.285912
1758473381.449943066,1.280393
1758473381.548730135,0.990950
1758473381.651368141,1.297908
1758473381.747244835,0.989381
1758473381.844542027,1.289789
1758473381.950710058,0.946038
1758473382.048368931,1.147067
1758473382.149513960,0.994924
1758473382.248950958,1.191375
1758473382.348829269,1.040054
1758473382.449119568,1.192632
1758473382.548481226,1.186652
1758473382.650017023,1.183002
1758473382.848302603,1.128687
1758473382.950497627,1.283832
1758473383.049091101,1.176044
1758473383.150263786,1.141093
1758473383.247220039,1.149526
1758473383.348207712,1.206402
1758473383.450586796,1.136286
1758473383.548497915,1.142767
1758473383.648290634,1.145488
1758473383.747717381,1.179269
1758473383.848230839,0.977020
1758473383.950635195,1.187089
1758473384.050282478,1.197384
1758473384.150440693,1.148889
1758473384.250232458,0.968546
1758473384.351344824,1.205620
1758473384.450726986,1.022968
1758473384.545063972,1.061734
1758473384.648909807,1.152537
1758473384.746709108,1.026796
1758473384.850876093,1.159516
1758473384.949715137,1.042350
1758473385.050914049,1.168209
1758473385.148299456,1.154379
1758473385.248114109,1.024981
1758473385.348034382,1.197078
1758473385.450050831,1.154772
1758473385.544616938,1.168362
1758473385.650727749,1.200766
1758473385.748790264,1.155842
1758473385.850396633,1.218944
1758473385.949976921,1.129020
1758473386.046872616,1.141643
1758473386.148500204,1.234317
1758473386.249765396,1.087541
1758473386.349332571,1.168400
1758473386.448856354,0.947083
1758473386.548793554,1.160648
1758473386.648899317,1.021075
1758473386.748592854,1.099591
1758473386.848488331,1.148436
1758473386.947872400,1.105306
1758473387.045838118,1.013199
1758473387.150136232,1.162906
1758473387.246837616,0.958034
1758473387.348130703,1.071300
1758473387.449026346,1.206565
1758473387.549555779,1.129790
