ros_time_s,Vel_Des
1758473348.373528242,"2.83,0.67"
1758473348.475469351,"2.83,0.67"
1758473348.572047472,"2.83,0.67"
1758473348.673942327,"2.83,0.67"
1758473348.873737812,"2.83,0.67"
1758473348.976310968,"2.83,0.67"
1758473349.260702610,"2.83,0.67"
1758473349.373691320,"2.83,0.67"
1758473349.473061085,"2.83,0.67"
1758473349.574520588,"0.67,2.83"
1758473349.673756838,"0.67,2.83"
1758473349.775000334,"0.67,2.83"
1758473349.872952938,"0.67,2.83"
1758473349.973694801,"0.67,2.83"
1758473350.055334806,"0.67,2.83"
1758473350.175966263,"0.67,2.83"
1758473350.270641565,"2.83,0.67"
1758473350.373950958,"0.67,2.83"
1758473350.472758293,"2.83,0.67"
1758473350.573157549,"2.83,0.67"
1758473350.673634529,"2.83,0.67"
1758473350.772740126,"2.83,0.67"
1758473350.873839378,"2.83,0.67"
1758473350.974944353,"2.83,0.67"
1758473351.073826313,"2.83,0.67"
1758473351.271689892,"2.83,0.67"
1758473351.376937866,"2.83,0.67"
1758473351.473358870,"2.83,0.67"
1758473351.574531794,"2.83,0.67"
1758473351.673989058,"2.83,0.67"
1758473351.774895668,"2.83,0.67"
1758473351.875268459,"2.83,0.67"
1758473351.973890305,"2.83,0.67"
1758473352.075399637,"2.83,0.67"
1758473352.173033476,"2.83,0.67"
1758473352.273352146,"2.83,0.67"
1758473352.372752905,"2.83,0.67"
1758473352.471845150,"2.83,0.67"
1758473352.573014021,"2.83,0.67"
1758473352.674056292,"2.83,0.67"
1758473352.779821396,"2.83,0.67"
1758473352.872104645,"2.83,0.67"
1758473352.972761393,"2.83,0.67"
1758473353.073384762,"2.83,0.67"
1758473353.173478365,"2.83,0.67"
1758473353.273786783,"2.83,0.67"
1758473353.374842882,"2.83,0.67"
1758473353.472815990,"2.83,0.67"
1758473353.573967934,"2.83,0.67"
1758473353.674859047,"2.83,0.67"
1758473353.776016712,"2.83,0.67"
1758473353.874392509,"2.83,0.67"
1758473353.973158836,"2.83,0.67"
