ros_time_s,imu_heading
1758473342.308302641,359.940000
1758473342.347838640,359.940000
1758473342.397961378,359.940000
1758473342.448096991,359.940000
1758473342.498549938,359.940000
1758473342.548454046,359.940000
1758473342.598297119,359.940000
1758473342.648329973,359.940000
1758473342.697692394,359.940000
1758473342.748712778,359.940000
1758473342.799432516,359.940000
1758473342.851354361,359.940000
1758473342.901255608,359.940000
1758473342.953062296,359.940000
1758473343.004543781,359.940000
1758473343.053605318,359.940000
1758473343.102698088,359.940000
1758473343.154196978,359.940000
1758473343.202645540,359.940000
1758473343.253581285,359.940000
1758473343.303547621,359.940000
1758473343.354121923,359.940000
1758473343.402749538,359.940000
1758473343.453206539,359.940000
1758473343.499372482,359.940000
1758473343.549511194,359.940000
1758473343.600204468,359.940000
1758473343.650224924,359.940000
1758473343.699846029,359.940000
1758473343.749698639,359.940000
1758473343.800361872,359.940000
1758473343.849635363,359.940000
1758473343.900288820,359.940000
1758473343.950154066,359.940000
1758473343.999624252,359.940000
1758473344.049589396,359.940000
1758473344.100380182,359.940000
1758473344.150486231,359.940000
1758473344.199662447,359.940000
1758473344.250809193,359.940000
1758473344.301419020,359.940000
1758473344.351185322,359.940000
1758473344.401042700,359.940000
1758473344.451335192,359.940000
1758473344.501859188,359.940000
1758473344.550826311,359.940000
1758473344.601372957,359.940000
1758473344.651529074,359.940000
1758473344.700912237,359.940000
1758473344.750928402,359.940000
1758473344.800617695,359.940000
1758473344.850867033,359.940000
1758473344.900787830,359.940000
1758473344.951152802,359.940000
1758473345.001520395,359.940000
1758473345.050900698,359.940000
1758473345.101691723,359.940000
1758473345.151547432,359.940000
1758473345.200755596,359.940000
1758473345.251427174,359.940000
1758473345.301036596,359.940000
1758473345.351447105,359.940000
1758473345.400789022,359.940000
1758473345.451862335,359.940000
1758473345.502396584,359.940000
1758473345.551471472,359.940000
1758473345.602508783,359.940000
1758473345.651779890,359.940000
1758473345.702154160,359.940000
1758473345.751909733,359.940000
1758473345.801873684,359.940000
1758473345.855038404,359.940000
1758473345.902355433,359.940000
1758473345.952383041,359.940000
1758473346.002650023,359.940000
1758473346.052355289,359.940000
1758473346.102927208,359.940000
