ros_time_s,omega_1
1758473342.294826508,0.000000
1758473342.344856977,0.000000
1758473342.394932508,0.000000
1758473342.444885731,0.000000
1758473342.495589495,0.000000
1758473342.545462608,0.000000
1758473342.595305443,0.000000
1758473342.645317793,0.000000
1758473342.694754601,0.000000
1758473342.745769262,0.000000
1758473342.796377420,0.000000
1758473342.846253157,0.000000
1758473342.896226645,0.000000
1758473342.946733713,0.000000
1758473342.997324228,0.000000
1758473343.047119379,0.000000
1758473343.096735716,0.000000
1758473343.146666050,0.000000
1758473343.196988106,0.000000
1758473343.247267723,0.000000
1758473343.296961308,0.000000
1758473343.346940517,0.000000
1758473343.397025108,0.000000
1758473343.447127104,0.000000
1758473343.496677160,0.000000
1758473343.546542168,0.000000
1758473343.597191095,0.000000
1758473343.647264004,0.000000
1758473343.696921825,0.000000
1758473343.746782303,0.000000
1758473343.797414303,0.000000
1758473343.846519709,0.000000
1758473343.897216797,0.000000
1758473343.947119951,0.000000
1758473343.996660709,0.000000
1758473344.046683550,0.000000
1758473344.097301722,0.000000
1758473344.147044659,0.000000
1758473344.196792603,0.000000
1758473344.247506380,0.000000
1758473344.298138857,0.000000
1758473344.348047733,0.000000
1758473344.397708654,0.000000
1758473344.447737455,0.000000
1758473344.498463392,0.000000
1758473344.547869444,0.000000
1758473344.597513676,0.000000
1758473344.648442030,0.000000
1758473344.697975636,0.000000
1758473344.747910261,0.000000
1758473344.797604322,0.000000
1758473344.847719193,0.000000
1758473344.898177624,0.000000
1758473344.948287010,0.000000
1758473344.997963428,0.000000
1758473345.047771454,0.000000
1758473345.098394394,0.000000
1758473345.147996426,0.000000
1758473345.197559357,0.000000
1758473345.248275280,0.000000
1758473345.297979355,0.000000
1758473345.348403692,0.000000
1758473345.397695780,0.000000
1758473345.448848009,0.000000
1758473345.499424696,0.000000
1758473345.548413038,0.000000
1758473345.599124432,0.000000
1758473345.648680687,0.000000
1758473345.699232340,0.000000
1758473345.748987913,0.000000
1758473345.798728466,0.000000
1758473345.849875927,0.000000
1758473345.899430990,0.000000
1758473345.949376822,0.000000
1758473345.999731541,0.000000
1758473346.049408197,0.000000
1758473346.100123405,0.000000
1758473346.149655104,0.000000
1758473346.200366020,0.000000
1758473346.250309229,0.000000
1758473346.299874544,0.000000
1758473346.349769115,0.000000
1758473346.399463177,0.000000
1758473346.450325012,0.000000
1758473346.500394583,0.000000
1758473346.549957514,0.000000
1758473346.599639893,0.000000
1758473346.650190115,0.000000
1758473346.699813366,0.000000
1758473346.749710083,0.000000
1758473346.800369263,0.000000
1758473346.851223946,0.000000
1758473346.900892496,0.000000
1758473346.950575829,0.000000
1758473347.000973225,0.000000
1758473347.050991535,0.000000
1758473347.100721836,0.000000
1758473347.150377989,0.000000
1758473347.200921774,0.000000
1758473347.250892878,0.000000
1758473347.300449371,0.000000
1758473347.350547791,0.000000
1758473347.401004314,0.000000
1758473347.450865984,0.000000
1758473347.501240730,0.000000
1758473347.551227331,0.000000
1758473347.600787640,0.000000
1758473347.651556969,0.000000
