ros_time_s,Error_Distancia
1755900895.973357677,-0.109441
1755900896.074394226,-0.098001
1755900896.170706034,-0.091201
1755900896.272490025,-0.102711
1755900896.372435570,-0.124841
1755900896.473089933,-0.120401
1755900896.658809900,-0.117940
1755900896.683214426,-0.112186
1755900896.773140430,-0.113731
1755900896.873568058,-0.104390
1755900896.972308874,-0.097836
1755900897.071334839,-0.076143
1755900897.173937559,-0.064015
1755900897.271926165,-0.124749
1755900897.372807741,-0.099711
1755900897.473383665,-0.097130
1755900897.572362661,-0.116420
1755900897.672643423,-0.107414
1755900897.772796392,-0.094081
1755900897.873217106,-0.103703
1755900897.972574711,-0.071961
1755900898.069684744,-0.076515
1755900898.172230005,-0.093094
1755900898.273116589,-0.090979
1755900898.372938156,-0.099935
1755900898.470371723,-0.087570
1755900898.572734833,-0.091094
1755900898.672576427,-0.097206
1755900898.774758101,-0.088193
1755900898.874253750,-0.093790
1755900898.974951982,-0.080979
1755900899.074129820,-0.077434
1755900899.172055721,-0.064837
1755900899.272145987,-0.076215
1755900899.371886730,-0.072851
1755900899.474711657,-0.063609
1755900899.573647022,-0.082368
1755900899.672654390,-0.073683
1755900899.773302317,-0.051134
1755900899.874098539,-0.037095
1755900899.972639799,-0.034567
1755900900.073032856,-0.058107
1755900900.171864748,-0.055279
1755900900.270852566,-0.033844
1755900900.373157740,-0.044424
1755900900.472666025,-0.047924
1755900900.572520018,-0.032363
1755900900.672789097,-0.036874
1755900900.771783352,-0.046583
1755900900.874675512,-0.043101
1755900900.972634315,-0.048089
1755900901.071972847,-0.038849
1755900901.172475815,-0.042393
1755900901.275123596,-0.007388
1755900901.373337507,-0.033760
1755900901.473940849,-0.020563
1755900901.574247837,-0.011121
1755900901.678375959,-0.005285
1755900901.776561260,-0.006628
1755900901.876525402,-0.007309
1755900901.972197056,0.020393
1755900902.072207212,0.034576
1755900902.174374580,0.009158
1755900902.273579836,0.018355
1755900902.375180960,-0.006785
1755900902.473081112,0.021854
1755900902.573664665,0.018449
1755900902.669726372,0.033589
1755900902.773000717,0.027451
1755900902.872478962,0.037315
1755900902.973669052,0.026856
1755900903.073710918,0.026060
1755900903.175675154,0.018034
1755900903.277607679,0.000492
1755900903.373884678,0.028745
1755900903.473893166,0.027475
1755900903.574552298,0.032590
1755900903.671930790,0.032729
1755900903.772720098,0.064711
1755900903.872722626,0.047376
1755900903.971447706,0.052578
1755900904.072866201,0.052942
1755900904.173601866,0.046645
1755900904.272187948,0.062770
1755900904.371755600,0.065037
1755900904.472244501,0.062588
1755900904.572830439,0.073625
1755900904.674070120,0.068180
1755900904.770564556,0.066685
1755900904.873218298,0.050196
1755900904.971246481,0.062947
1755900905.072921753,0.061032
1755900905.177963495,0.063849
1755900905.272275925,0.048135
1755900905.373183966,0.071130
1755900905.472098589,0.075347
1755900905.572949171,0.061663
1755900905.673158407,0.075610
1755900905.771599531,0.055256
1755900905.873747349,0.061339
1755900905.971835375,0.063716
1755900906.072821140,0.057896
1755900906.172322512,0.067254
1755900906.272341490,0.053632
1755900906.372814894,0.088435
1755900906.473001003,0.055318
1755900906.572984457,0.045792
1755900906.669404984,0.054555
1755900906.773091078,0.078445
1755900906.874055386,0.064455
