ros_time_s,Imu_Error_yaw
1755900846.748162508,0.000000
1755900846.847388268,0.000000
1755900846.948566198,0.000000
1755900847.048280478,0.000000
1755900847.148113966,0.000000
1755900847.248516560,0.000000
1755900847.348888874,0.000000
1755900847.450127840,0.000000
1755900847.548373461,0.000000
1755900847.648715973,0.000000
1755900847.749523163,0.000000
1755900847.847400427,0.000000
1755900847.946980238,0.000000
1755900848.047821283,0.000000
1755900848.148078442,0.000000
1755900848.248044014,0.000000
1755900848.348418713,0.000000
1755900848.448317289,0.000000
1755900848.546379805,0.000000
1755900848.647613764,0.000000
1755900848.747836113,0.000000
1755900848.848273993,0.000000
1755900848.947049141,0.000000
1755900849.048371553,0.000000
1755900849.147822380,0.000000
1755900849.248008251,0.000000
1755900849.346885204,0.000000
1755900849.448751450,0.000000
1755900849.547213316,0.000000
1755900849.647835493,0.000000
1755900849.747641325,0.000000
1755900849.846617937,0.000000
1755900849.948294878,0.000000
1755900850.047195911,0.000000
1755900850.146263123,0.000000
1755900850.247660875,0.000000
1755900850.347834349,0.000000
1755900850.448091745,0.000000
1755900850.547602654,0.000000
1755900850.648122549,0.000000
1755900850.746955156,0.000000
1755900850.846719503,0.000000
1755900850.944015265,0.000000
1755900851.047037363,0.000000
1755900851.146945000,0.000000
1755900851.247591257,0.000000
1755900851.346994638,0.000000
1755900851.447726250,0.000000
1755900851.548400879,0.000000
1755900851.647035599,0.000000
1755900851.746926069,0.000000
1755900851.847125769,0.000000
1755900851.948321819,0.000000
1755900852.045719624,0.000000
1755900852.147959709,0.000000
1755900852.247753620,0.000000
1755900852.348098993,0.000000
1755900852.447981119,0.001047
1755900852.548136711,0.001047
1755900852.646839142,0.002094
1755900852.747827768,0.013090
1755900852.847391129,0.028274
1755900852.944112539,0.038048
1755900853.047983408,0.053407
1755900853.148099422,0.054454
1755900853.247533083,0.040317
1755900853.346348524,0.031590
1755900853.448084831,0.027227
1755900853.548149824,-0.008727
1755900853.647984266,-0.019722
1755900853.748806715,-0.015359
1755900853.848299980,-0.013090
1755900853.948605299,-0.012043
1755900854.048009157,-0.012043
1755900854.148138523,-0.012043
1755900854.247032166,-0.012043
1755900854.347720385,-0.012043
1755900854.448384047,-0.012043
1755900854.547134161,-0.012043
1755900854.647357941,-0.012043
1755900854.746219635,-0.012043
1755900854.846283197,-0.012043
1755900854.947492599,-0.012043
1755900855.047223330,-0.012043
1755900855.145490646,-0.012043
1755900855.246758461,-0.012043
1755900855.346534252,-0.012043
1755900855.445557594,-0.012043
1755900855.547857761,-0.012043
1755900855.648061752,-0.012043
