ros_time_s,Lecturas_Validas
1755900846.748319387,21.000000
1755900846.847490549,16.000000
1755900846.948672771,20.000000
1755900847.048470020,17.000000
1755900847.148344040,15.000000
1755900847.248731375,17.000000
1755900847.349111319,22.000000
1755900847.450459957,17.000000
1755900847.548576832,22.000000
1755900847.648927927,15.000000
1755900847.749746084,16.000000
1755900847.847642183,20.000000
1755900847.947100639,19.000000
1755900848.047921419,17.000000
1755900848.148316145,18.000000
1755900848.248273611,22.000000
1755900848.348613739,16.000000
1755900848.448508739,14.000000
1755900848.546560287,18.000000
1755900848.647739649,19.000000
1755900848.748021603,21.000000
1755900848.848470449,19.000000
1755900848.947235346,18.000000
1755900849.048626423,19.000000
1755900849.147928238,21.000000
1755900849.248238325,16.000000
1755900849.347048521,16.000000
1755900849.448950529,18.000000
1755900849.547357798,18.000000
1755900849.647956371,21.000000
1755900849.747780561,18.000000
1755900849.846765280,17.000000
1755900849.948499203,18.000000
1755900850.047319412,22.000000
1755900850.146403551,16.000000
1755900850.247841358,13.000000
1755900850.348024845,15.000000
1755900850.448315144,19.000000
1755900850.547780275,18.000000
1755900850.648357391,19.000000
1755900850.747098923,21.000000
1755900850.846844673,19.000000
1755900850.944136620,20.000000
1755900851.047311783,17.000000
1755900851.147069693,15.000000
1755900851.247710228,19.000000
1755900851.347113609,21.000000
1755900851.447848558,31.000000
1755900851.548582554,29.000000
1755900851.647309542,30.000000
1755900851.747060776,26.000000
1755900851.847400904,28.000000
1755900851.948500633,26.000000
1755900852.045872688,26.000000
1755900852.148160458,27.000000
1755900852.247941732,26.000000
1755900852.348341942,28.000000
1755900852.448215723,27.000000
1755900852.548391104,26.000000
1755900852.647018194,23.000000
1755900852.748025417,23.000000
1755900852.847543955,26.000000
1755900852.944262028,26.000000
1755900853.048113823,27.000000
1755900853.148376942,27.000000
1755900853.247651339,22.000000
1755900853.346546412,26.000000
1755900853.448217392,26.000000
1755900853.548389196,26.000000
1755900853.648214817,26.000000
1755900853.749005079,24.000000
1755900853.848503113,25.000000
1755900853.948799849,26.000000
1755900854.048243523,29.000000
1755900854.148330688,24.000000
1755900854.247139692,23.000000
1755900854.347832918,27.000000
1755900854.448485851,31.000000
1755900854.547324419,24.000000
1755900854.647468090,24.000000
1755900854.746343136,17.000000
1755900854.846460819,16.000000
1755900854.947652340,17.000000
1755900855.047452688,20.000000
1755900855.145640135,19.000000
1755900855.246908665,17.000000
1755900855.346670866,17.000000
1755900855.445710659,20.000000
1755900855.548049927,18.000000
1755900855.648204327,16.000000
1755900855.747963905,17.000000
1755900855.847973585,19.000000
1755900855.948266268,20.000000
1755900856.047982454,20.000000
1755900856.149022579,18.000000
1755900856.249131680,17.000000
1755900856.347944736,20.000000
1755900856.448132753,17.000000
1755900856.547092915,14.000000
1755900856.646869421,19.000000
1755900856.747007132,20.000000
1755900856.848231792,18.000000
1755900856.948506355,20.000000
1755900857.048055649,18.000000
1755900857.149615049,21.000000
1755900857.247958422,20.000000
1755900857.348819733,14.000000
1755900857.448368788,21.000000
1755900857.547946930,18.000000
1755900857.646718025,20.000000
1755900857.747227907,17.000000
1755900857.849208832,21.000000
1755900857.948379755,17.000000
1755900858.046246290,18.000000
1755900858.147399902,18.000000
1755900858.247738361,19.000000
1755900858.348233223,19.000000
1755900858.447876930,19.000000
1755900858.546869278,19.000000
1755900858.647223234,19.000000
1755900858.748158455,19.000000
1755900858.848212957,20.000000
1755900858.949584246,20.000000
1755900859.048084259,20.000000
1755900859.148224354,17.000000
1755900859.246513605,18.000000
1755900859.346210718,19.000000
1755900859.446986198,20.000000
1755900859.545686483,22.000000
1755900859.646828175,19.000000
1755900859.746647596,19.000000
1755900859.847294807,21.000000
1755900859.948425531,19.000000
1755900860.049942255,17.000000
1755900860.147694588,17.000000
1755900860.247215271,14.000000
1755900860.346840382,15.000000
1755900860.448008299,21.000000
1755900860.548951387,22.000000
1755900860.648411274,18.000000
1755900860.746618509,21.000000
1755900860.847414970,18.000000
1755900860.947024107,19.000000
1755900861.048050404,19.000000
1755900861.147948503,20.000000
1755900861.248389959,17.000000
1755900861.346114874,16.000000
1755900861.447708368,21.000000
1755900861.548322678,22.000000
1755900861.648309231,19.000000
1755900861.748057604,17.000000
1755900861.846812248,18.000000
1755900861.945959330,17.000000
1755900862.049223185,17.000000
1755900862.148339033,17.000000
1755900862.249854326,14.000000
1755900862.350230455,17.000000
1755900862.448210716,19.000000
1755900862.546601057,19.000000
1755900862.648286581,17.000000
1755900862.748366833,18.000000
1755900862.849958181,17.000000
1755900862.947755098,18.000000
1755900863.048316240,17.000000
1755900863.147622108,16.000000
1755900863.247887373,18.000000
1755900863.349734306,20.000000
1755900863.448560953,18.000000
1755900863.547731161,21.000000
1755900863.646605492,18.000000
1755900863.749681950,17.000000
1755900863.849965096,18.000000
1755900863.949720860,20.000000
1755900864.051308393,22.000000
1755900864.145754337,19.000000
1755900864.247126818,17.000000
1755900864.346415520,18.000000
1755900864.447413921,21.000000
1755900864.548000813,18.000000
1755900864.648631334,16.000000
1755900864.749650955,16.000000
1755900864.849383831,22.000000
1755900864.946931601,18.000000
1755900865.049663067,17.000000
1755900865.149506330,18.000000
1755900865.249088764,21.000000
1755900865.346611977,17.000000
1755900865.449871540,14.000000
1755900865.548396111,17.000000
1755900865.646898508,20.000000
1755900865.749618530,22.000000
1755900865.845664740,19.000000
1755900865.948051214,21.000000
1755900866.046900511,21.000000
1755900866.147755861,21.000000
1755900866.248240232,19.000000
1755900866.348139763,17.000000
1755900866.446589231,19.000000
1755900866.545870543,19.000000
1755900866.646781921,19.000000
1755900866.749609470,18.000000
1755900866.849550009,22.000000
1755900866.949725389,23.000000
1755900867.049788237,21.000000
1755900867.150116682,24.000000
1755900867.249937057,27.000000
1755900867.348338842,29.000000
1755900867.448057890,28.000000
1755900867.546366930,25.000000
1755900867.649674654,27.000000
1755900867.744923353,28.000000
1755900867.846914053,26.000000
1755900867.949874163,29.000000
1755900868.049834728,28.000000
1755900868.144813776,24.000000
1755900868.247075796,28.000000
1755900868.347587824,33.000000
1755900868.448393583,25.000000
1755900868.546769619,27.000000
1755900868.649873495,24.000000
1755900868.750545502,27.000000
1755900868.848421335,28.000000
1755900868.946952343,28.000000
1755900869.049489737,31.000000
1755900869.148778200,26.000000
1755900869.249338388,26.000000
1755900869.349438190,25.000000
1755900869.449871540,29.000000
1755900869.546112776,29.000000
1755900869.649687290,27.000000
1755900869.746917725,30.000000
1755900869.847077608,26.000000
1755900869.946782351,24.000000
1755900870.049614429,28.000000
1755900870.147455454,23.000000
1755900870.249106884,24.000000
1755900870.347042561,29.000000
1755900870.449501753,27.000000
1755900870.546220779,27.000000
1755900870.647993803,20.000000
1755900870.747641325,27.000000
1755900870.848005056,28.000000
1755900870.947489977,24.000000
1755900871.048012733,22.000000
1755900871.147669315,26.000000
1755900871.248346090,21.000000
1755900871.349608421,20.000000
1755900871.446960688,23.000000
1755900871.548602581,17.000000
1755900871.648429871,19.000000
1755900871.749709129,21.000000
1755900871.847338438,15.000000
1755900871.949863434,19.000000
1755900872.049842358,21.000000
1755900872.148205996,20.000000
1755900872.248217106,17.000000
1755900872.348365307,17.000000
1755900872.447238922,17.000000
1755900872.546890497,19.000000
1755900872.648604870,17.000000
1755900872.748782396,17.000000
1755900872.846753836,16.000000
1755900872.946372271,18.000000
1755900873.049989939,18.000000
1755900873.149600744,19.000000
1755900873.249623299,20.000000
1755900873.348503828,18.000000
1755900873.448223114,17.000000
1755900873.547708750,19.000000
1755900873.648061752,18.000000
1755900873.748540401,18.000000
1755900873.848480940,16.000000
1755900873.945737123,16.000000
1755900874.046832800,20.000000
1755900874.147220135,20.000000
1755900874.246857166,19.000000
1755900874.349860191,18.000000
1755900874.445437193,20.000000
1755900874.547077179,19.000000
1755900874.646801710,19.000000
1755900874.748639822,17.000000
1755900874.848351479,20.000000
1755900874.947144508,20.000000
1755900875.046651125,21.000000
1755900875.147988558,18.000000
1755900875.247280359,17.000000
1755900875.347781658,20.000000
1755900875.446840048,20.000000
1755900875.547282457,17.000000
1755900875.648413181,17.000000
1755900875.749578714,17.000000
1755900875.848271847,19.000000
1755900875.947822809,21.000000
1755900876.047544241,21.000000
1755900876.149533272,19.000000
1755900876.247503281,17.000000
1755900876.346925735,20.000000
1755900876.447578192,19.000000
1755900876.547559023,19.000000
1755900876.648302078,16.000000
1755900876.744395733,22.000000
1755900876.847992182,23.000000
1755900876.950404406,22.000000
1755900877.049924850,24.000000
1755900877.148042917,25.000000
1755900877.247565746,25.000000
1755900877.348136902,23.000000
1755900877.447263956,22.000000
1755900877.546387672,24.000000
1755900877.647245169,24.000000
1755900877.746945858,26.000000
1755900877.847608089,21.000000
1755900877.948505878,24.000000
1755900878.048528433,28.000000
1755900878.147371292,24.000000
1755900878.248854876,20.000000
1755900878.349150896,20.000000
1755900878.447817564,20.000000
1755900878.545523167,25.000000
1755900878.646307230,21.000000
1755900878.748272419,21.000000
1755900878.847923040,20.000000
1755900878.947997332,22.000000
1755900879.047948599,19.000000
1755900879.148000717,26.000000
1755900879.249532938,20.000000
1755900879.348456860,20.000000
1755900879.448703527,20.000000
1755900879.546592474,19.000000
1755900879.647984266,24.000000
1755900879.748802185,19.000000
1755900879.847755432,22.000000
1755900879.950213432,20.000000
1755900880.046098948,18.000000
1755900880.147969007,21.000000
1755900880.248457670,19.000000
1755900880.347927332,17.000000
1755900880.448308468,20.000000
1755900880.546036959,19.000000
1755900880.646703720,18.000000
1755900880.747114658,20.000000
1755900880.846887589,17.000000
1755900880.947587252,20.000000
1755900881.045933008,19.000000
1755900881.146878958,17.000000
1755900881.246813536,20.000000
1755900881.347257376,16.000000
1755900881.446537971,21.000000
1755900881.546296597,18.000000
1755900881.647472382,18.000000
1755900881.747522354,21.000000
1755900881.848709822,19.000000
1755900881.948501348,19.000000
1755900882.046265602,21.000000
1755900882.146801233,21.000000
1755900882.248034954,23.000000
1755900882.347749710,23.000000
1755900882.448257685,27.000000
1755900882.547657251,22.000000
1755900882.643893480,26.000000
1755900882.748228312,25.000000
1755900882.846811056,25.000000
1755900882.947721720,26.000000
1755900883.047114849,25.000000
1755900883.147874355,24.000000
1755900883.246796608,29.000000
1755900883.348291636,26.000000
1755900883.448061705,24.000000
1755900883.546439648,24.000000
1755900883.647875071,26.000000
1755900883.747117519,21.000000
1755900883.847946167,20.000000
1755900883.948223829,19.000000
1755900884.048034668,20.000000
1755900884.147977591,18.000000
1755900884.247964382,21.000000
1755900884.348213434,18.000000
1755900884.447430611,17.000000
1755900884.544901371,23.000000
1755900884.646655083,19.000000
1755900884.748019457,19.000000
1755900884.847731829,16.000000
1755900884.945715427,21.000000
1755900885.047573566,17.000000
1755900885.147880554,20.000000
1755900885.248502970,18.000000
1755900885.346442938,22.000000
1755900885.449581861,20.000000
1755900885.547637939,18.000000
1755900885.648364782,17.000000
1755900885.747481108,18.000000
1755900885.847886086,16.000000
1755900885.948837280,20.000000
1755900886.047923088,18.000000
1755900886.146772146,22.000000
1755900886.248915195,20.000000
1755900886.346643209,18.000000
1755900886.448217630,19.000000
1755900886.546563864,20.000000
1755900886.646912098,20.000000
1755900886.748080015,20.000000
1755900886.847981215,18.000000
1755900886.948711395,21.000000
1755900887.047219276,18.000000
1755900887.151262283,17.000000
1755900887.248304367,21.000000
1755900887.347916365,18.000000
1755900887.447989464,18.000000
1755900887.546628952,20.000000
1755900887.648077250,20.000000
1755900887.748019218,23.000000
1755900887.848009586,19.000000
1755900887.946808338,19.000000
1755900888.046525955,16.000000
1755900888.146787405,22.000000
1755900888.247928619,19.000000
1755900888.347682238,16.000000
1755900888.449619532,20.000000
1755900888.548128605,18.000000
1755900888.647022486,18.000000
1755900888.747117281,21.000000
1755900888.849812984,21.000000
1755900888.948132753,21.000000
1755900889.047701359,17.000000
1755900889.147144556,21.000000
1755900889.248025417,17.000000
1755900889.347823620,19.000000
1755900889.444489479,18.000000
1755900889.548245907,18.000000
1755900889.646026611,19.000000
1755900889.749447107,21.000000
1755900889.848223686,19.000000
1755900889.947046995,16.000000
1755900890.051971912,21.000000
1755900890.146533012,17.000000
1755900890.248078108,17.000000
1755900890.348320246,17.000000
1755900890.450322628,22.000000
1755900890.549203157,18.000000
1755900890.648468018,19.000000
1755900890.749800682,17.000000
1755900890.849599123,15.000000
1755900890.950738430,19.000000
1755900891.046684504,18.000000
1755900891.147619247,21.000000
1755900891.242894888,18.000000
1755900891.342854738,17.000000
1755900891.442841768,17.000000
1755900891.543437004,21.000000
1755900891.642483473,21.000000
1755900891.743439674,17.000000
1755900891.843624115,17.000000
1755900891.942878962,19.000000
1755900892.042620420,17.000000
1755900892.142719030,22.000000
1755900892.242938995,20.000000
1755900892.342849970,21.000000
1755900892.443367481,19.000000
1755900892.543200254,20.000000
1755900892.643004656,16.000000
1755900892.743131399,20.000000
1755900892.842741489,17.000000
1755900892.943143606,22.000000
1755900893.043320417,18.000000
1755900893.143649817,21.000000
1755900893.243013620,17.000000
1755900893.343595028,17.000000
