ros_time_s,Lidar_Left
1755900846.747921705,1.267395
1755900846.847191095,1.249027
1755900846.948366642,1.252742
1755900847.047927856,1.237353
1755900847.147790194,1.270048
1755900847.248195887,1.266052
1755900847.348584175,1.258076
1755900847.449780703,1.263731
1755900847.547984123,1.227204
1755900847.648361444,1.239467
1755900847.749136209,1.272563
1755900847.846981287,1.262278
1755900847.946762085,1.252498
1755900848.047619343,1.273170
1755900848.147737503,1.264707
1755900848.247720718,1.234180
1755900848.348073959,1.244767
1755900848.447969437,1.231336
1755900848.546096325,1.256714
1755900848.647379160,1.258081
1755900848.747525692,1.255307
1755900848.847896338,1.250297
1755900848.946767092,1.270950
1755900849.048029423,1.248918
1755900849.147611856,1.228631
1755900849.247693300,1.243191
1755900849.346642971,1.252318
1755900849.448355436,1.265684
1755900849.546911716,1.261211
1755900849.647604704,1.250900
1755900849.747396469,1.266538
1755900849.846372843,1.265509
1755900849.947935581,1.272615
1755900850.046948671,1.238179
1755900850.145993471,1.246911
1755900850.247322559,1.239632
1755900850.347524166,1.284371
1755900850.447787285,1.259963
1755900850.547283888,1.281233
1755900850.647809029,1.268383
1755900850.746696472,1.205262
1755900850.846483231,1.213102
1755900850.943796158,1.254210
1755900851.046782255,1.182684
1755900851.146716118,1.159624
1755900851.247340918,1.200263
1755900851.346779823,1.216188
1755900851.447472334,0.937796
1755900851.548016787,0.875412
1755900851.646759987,0.603580
1755900851.746678829,0.823694
1755900851.846842527,0.742105
1755900851.947921038,0.643330
1755900852.045459986,0.699655
1755900852.147647381,0.689132
1755900852.247436047,0.653932
1755900852.347765207,0.625517
1755900852.447662354,0.688922
1755900852.547797203,0.657928
1755900852.646543980,0.616981
1755900852.747509956,0.630260
1755900852.847094297,0.605272
1755900852.943888903,0.683988
1755900853.047731161,0.621667
1755900853.147774458,0.531154
1755900853.247297049,0.501328
1755900853.346068382,0.578069
1755900853.447842598,0.638408
1755900853.547806978,0.598447
1755900853.647665501,0.665396
1755900853.748450279,0.581949
1755900853.847937822,0.609438
1755900853.948292494,0.678482
1755900854.047675848,0.661067
1755900854.147839069,0.610800
1755900854.246733904,0.526975
1755900854.347496033,0.678507
1755900854.448187828,0.762177
1755900854.546892643,0.840590
1755900854.647119522,0.914978
1755900854.745964289,1.143488
1755900854.845961809,1.192673
1755900854.947236061,1.217360
1755900855.046882629,1.133529
1755900855.145221949,1.216971
1755900855.246474504,1.209846
1755900855.346278906,1.219627
1755900855.445274353,1.204368
1755900855.547542810,1.183247
1755900855.647848606,1.176231
1755900855.747456789,1.213869
1755900855.847458601,1.187078
1755900855.947722435,1.222872
1755900856.047273159,1.187097
1755900856.148717403,1.207831
