ros_time_s,Vel_Des
1755900895.977064371,"2.73,0.90"
1755900896.077666998,"2.73,0.90"
1755900896.173914671,"2.73,0.90"
1755900896.275690794,"2.73,0.90"
1755900896.375632286,"2.73,0.90"
1755900896.476255894,"2.73,0.90"
1755900896.662792683,"2.73,0.90"
1755900896.686354637,"2.73,0.90"
1755900896.776454210,"2.73,0.90"
1755900896.876750708,"2.73,0.90"
1755900896.975553989,"2.73,0.90"
1755900897.074730396,"2.73,0.90"
1755900897.177184343,"2.73,0.90"
1755900897.275134802,"2.73,0.90"
1755900897.376895905,"2.73,0.90"
1755900897.476699114,"2.73,0.90"
1755900897.575719833,"2.73,0.90"
1755900897.675823450,"2.73,0.90"
1755900897.776023149,"2.73,0.90"
1755900897.876466513,"2.73,0.90"
1755900897.975807905,"2.73,0.90"
1755900898.072855473,"2.73,0.90"
1755900898.175497770,"2.73,0.90"
1755900898.276353598,"2.73,0.90"
1755900898.376133680,"2.73,0.90"
1755900898.473633289,"2.73,0.90"
1755900898.575899839,"2.73,0.90"
1755900898.675870657,"2.73,0.90"
1755900898.778020620,"2.73,0.90"
1755900898.877557516,"2.73,0.90"
1755900898.978152990,"2.73,0.90"
1755900899.077510834,"2.73,0.90"
1755900899.175628185,"2.73,0.90"
1755900899.275397539,"2.73,0.90"
1755900899.375156164,"2.73,0.90"
1755900899.477916718,"2.73,0.90"
1755900899.576934814,"2.73,0.90"
1755900899.675824165,"2.73,0.90"
1755900899.776509762,"2.73,0.90"
1755900899.877293825,"2.73,0.90"
1755900899.975840330,"2.73,0.90"
1755900900.077088833,"2.73,0.90"
1755900900.175366163,"2.73,0.90"
1755900900.274028778,"2.73,0.90"
1755900900.376435995,"2.73,0.90"
1755900900.476541519,"2.73,0.90"
1755900900.575701952,"2.73,0.90"
1755900900.676357985,"2.73,0.90"
1755900900.775077105,"2.73,0.90"
1755900900.878007650,"2.73,0.90"
1755900900.975845098,"2.73,0.90"
1755900901.075250626,"2.73,0.90"
1755900901.175786495,"2.73,0.90"
1755900901.278427124,"1.96,0.91"
1755900901.376591444,"2.73,0.90"
1755900901.477276087,"2.73,0.90"
1755900901.577547312,"2.04,0.95"
1755900901.689461231,"1.94,0.90"
1755900901.779756069,"1.95,0.90"
1755900901.879782677,"1.96,0.91"
1755900901.975563765,"0.90,2.73"
1755900902.075439930,"0.90,2.73"
1755900902.177618742,"0.92,1.99"
1755900902.276774168,"0.90,2.43"
1755900902.378422499,"1.95,0.91"
1755900902.476262569,"0.90,2.73"
1755900902.576797724,"0.90,2.45"
1755900902.672906399,"0.90,2.73"
1755900902.776156187,"0.90,2.73"
1755900902.875617743,"0.90,2.73"
1755900902.976840019,"0.90,2.73"
1755900903.076863527,"0.90,2.73"
1755900903.179090261,"0.91,2.39"
1755900903.280927181,"1.88,1.93"
1755900903.377206326,"0.90,2.73"
1755900903.477102280,"0.90,2.73"
1755900903.577727318,"0.90,2.73"
1755900903.675099850,"0.90,2.73"
1755900903.775882959,"0.90,2.73"
1755900903.875955105,"0.90,2.73"
1755900903.974631786,"0.90,2.73"
1755900904.076022863,"0.90,2.73"
1755900904.176842690,"0.90,2.73"
1755900904.275471687,"0.90,2.73"
1755900904.374933004,"0.90,2.73"
1755900904.475490570,"0.90,2.73"
1755900904.576532364,"0.90,2.73"
1755900904.677390099,"0.90,2.73"
1755900904.773807764,"0.90,2.73"
1755900904.876529217,"0.90,2.73"
1755900904.974572659,"0.90,2.73"
1755900905.076113224,"0.90,2.73"
1755900905.181823492,"0.90,2.73"
1755900905.275417566,"0.90,2.73"
1755900905.376435041,"0.90,2.73"
1755900905.475358725,"0.90,2.73"
1755900905.576134205,"0.90,2.73"
1755900905.676497459,"0.90,2.73"
1755900905.774919987,"0.90,2.73"
1755900905.876946926,"0.90,2.73"
1755900905.975097895,"0.90,2.73"
1755900906.076098919,"0.90,2.73"
1755900906.175542116,"0.90,2.73"
1755900906.275929928,"0.90,2.73"
1755900906.376075745,"0.90,2.73"
1755900906.476304531,"0.90,2.73"
1755900906.576432467,"0.90,2.73"
1755900906.672631741,"0.90,2.73"
1755900906.776347160,"0.90,2.73"
1755900906.877318382,"0.90,2.73"
1755900906.976518393,"0.90,2.73"
1755900907.078079700,"0.90,2.73"
1755900907.175609589,"0.90,2.73"
1755900907.277196169,"0.90,2.73"
1755900907.375833273,"0.90,2.73"
1755900907.476029158,"0.90,2.73"
1755900907.576657772,"0.90,2.73"
1755900907.675688028,"0.90,2.73"
1755900907.775530100,"0.90,2.73"
1755900907.876210451,"0.90,2.73"
1755900907.976490974,"0.90,2.73"
1755900908.077524185,"0.90,2.73"
1755900908.174921036,"0.90,2.73"
1755900908.276478291,"0.90,2.73"
1755900908.374719858,"0.90,2.73"
1755900908.476059914,"0.90,2.73"
1755900908.576089382,"0.90,2.73"
1755900908.677420139,"0.90,2.73"
1755900908.774723768,"0.90,2.73"
1755900908.875346661,"0.90,2.73"
1755900908.974774122,"0.90,2.73"
