ros_time_s,imu_heading
1755900845.453903675,2.870000
1755900845.495391130,2.870000
1755900845.544041157,2.870000
1755900845.595470428,2.870000
1755900845.645218134,2.870000
1755900845.694350958,2.870000
1755900845.743673325,2.870000
1755900845.796098471,2.870000
1755900845.844686031,2.870000
1755900845.895049572,2.870000
1755900845.944368601,2.870000
1755900845.995767117,2.870000
1755900846.044799328,2.870000
1755900846.091642618,2.870000
1755900846.141026258,2.870000
1755900846.191307068,2.870000
1755900846.240948915,2.870000
1755900846.291404247,2.870000
1755900846.341350555,2.870000
1755900846.390825987,2.870000
1755900846.441428423,2.870000
1755900846.490867376,2.870000
1755900846.541440725,2.870000
1755900846.590719223,2.870000
1755900846.640769958,2.870000
1755900846.696049690,2.870000
1755900846.745071650,2.870000
1755900846.795891762,2.870000
1755900846.845567703,2.870000
1755900846.895541191,2.870000
1755900846.946840048,2.870000
1755900846.995885611,2.870000
1755900847.045420170,2.870000
1755900847.094301701,2.870000
1755900847.145219803,2.870000
1755900847.195982218,2.870000
1755900847.245765924,2.870000
1755900847.294605494,2.870000
1755900847.345768929,2.870000
1755900847.394448757,2.870000
1755900847.446589231,2.870000
1755900847.495278597,2.870000
1755900847.545321226,2.870000
1755900847.594135046,2.870000
1755900847.645519733,2.870000
1755900847.694642067,2.870000
1755900847.746621370,2.870000
1755900847.795022964,2.870000
1755900847.843564272,2.870000
1755900847.893530846,2.870000
1755900847.944738865,2.870000
1755900847.995455742,2.870000
1755900848.044971704,2.870000
1755900848.093858004,2.870000
1755900848.145080090,2.870000
1755900848.195017099,2.870000
1755900848.245370626,2.870000
1755900848.295591831,2.870000
1755900848.345914364,2.870000
1755900848.394486427,2.870000
1755900848.445741653,2.870000
1755900848.494900227,2.870000
1755900848.543422937,2.870000
1755900848.594707251,2.870000
1755900848.645532131,2.870000
1755900848.695933104,2.870000
1755900848.744479895,2.870000
1755900848.794568300,2.870000
1755900848.845155239,2.870000
1755900848.890870333,2.870000
1755900848.944600105,2.870000
1755900848.994558096,2.870000
1755900849.045637608,2.870000
1755900849.094547033,2.870000
1755900849.144633770,2.870000
1755900849.194495916,2.870000
1755900849.245301485,2.870000
1755900849.294893503,2.870000
