ros_time_s,omega_1
1755900845.448650837,0.000000
1755900845.488694191,0.000000
1755900845.538465738,0.000000
1755900845.589323759,0.000000
1755900845.639390707,0.000000
1755900845.688519478,0.000000
1755900845.738159418,0.000000
1755900845.789231539,0.000000
1755900845.838737488,0.000000
1755900845.889189959,0.000000
1755900845.938611746,0.000000
1755900845.989063501,0.000000
1755900846.038701296,0.000000
1755900846.088158131,0.000000
1755900846.137821198,0.000000
1755900846.188119888,0.000000
1755900846.237796068,0.000000
1755900846.288227081,0.000000
1755900846.338107586,0.000000
1755900846.387587309,0.000000
1755900846.438094616,0.000000
1755900846.487644196,0.000000
1755900846.538328886,0.000000
1755900846.587609053,0.000000
1755900846.637612104,0.000000
1755900846.689071894,0.000000
1755900846.738804579,0.000000
1755900846.789505482,0.000000
1755900846.839227200,0.000000
1755900846.889240265,0.000000
1755900846.939452648,0.000000
1755900846.988992214,0.000000
1755900847.038983107,0.000000
1755900847.088855028,0.000000
1755900847.138981342,0.000000
1755900847.189265490,0.000000
1755900847.239359379,0.000000
1755900847.288639784,0.000000
1755900847.339439392,0.000000
1755900847.388572216,0.000000
1755900847.439410686,0.000000
1755900847.488484621,0.000000
1755900847.539246559,0.000000
1755900847.588483334,0.000000
1755900847.639064789,0.000000
1755900847.688595295,0.000000
1755900847.739543915,0.000000
1755900847.788729191,0.000000
1755900847.838357210,0.000000
1755900847.888863564,0.000000
1755900847.938587666,0.000000
1755900847.989315271,0.000000
1755900848.038781881,0.000000
1755900848.088861704,0.000000
1755900848.138883829,0.000000
1755900848.189144135,0.000000
1755900848.239228487,0.000000
1755900848.288775682,0.000000
1755900848.339560986,0.000000
1755900848.388559580,0.000000
1755900848.439428568,0.000000
1755900848.488868713,0.000000
1755900848.538104773,0.000000
1755900848.588752031,0.000000
1755900848.639294386,0.000000
1755900848.688983440,0.000000
1755900848.738320827,0.000000
1755900848.788628817,0.000000
1755900848.839053869,0.000000
1755900848.887621164,0.000000
1755900848.938969135,0.000000
1755900848.988597393,0.000000
1755900849.039362669,0.000000
1755900849.088474512,0.000000
1755900849.138376951,0.000000
1755900849.188925982,0.000000
1755900849.239086866,0.000000
1755900849.289024115,0.000000
1755900849.338964701,0.000000
1755900849.388590097,0.000000
1755900849.439224243,0.000000
1755900849.488776684,0.000000
1755900849.538307905,0.000000
1755900849.588722706,0.000000
1755900849.638356447,0.000000
1755900849.688703775,0.000000
1755900849.739232063,0.000000
1755900849.788442373,0.000000
1755900849.839089870,0.000000
1755900849.888652563,0.000000
1755900849.939124107,0.000000
1755900849.988600254,0.000000
