ros_time_s,Error_Distancia
1757190485.250752687,0.003036
1757190485.349740982,0.002884
1757190485.445252657,0.002726
1757190485.548302650,0.002675
1757190485.649431467,0.002732
1757190485.749739408,0.002941
1757190485.937462091,0.001893
1757190485.966413260,0.001767
1757190486.048376799,0.001183
1757190486.147516489,0.001201
1757190486.248975515,0.000593
1757190486.348762512,0.000660
1757190486.448859692,0.000545
1757190486.549483538,0.000014
1757190486.651297331,0.000079
1757190486.746009827,-0.000320
1757190486.850064278,-0.000203
1757190486.949371815,-0.000405
1757190487.048549652,-0.000636
1757190487.149621010,-0.000499
1757190487.251185894,-0.000485
1757190487.349691391,-0.000545
1757190487.447786093,-0.000701
1757190487.549238443,-0.000510
1757190487.642946959,-0.000709
1757190487.750035286,-0.000839
1757190487.851149321,-0.000927
1757190487.950279713,-0.001001
1757190488.050125599,-0.000904
1757190488.146770716,-0.000993
1757190488.250649691,-0.000993
1757190488.350575924,-0.001086
1757190488.448220491,-0.001146
1757190488.548391581,-0.001278
1757190488.642756701,-0.001235
1757190488.749302864,-0.001152
1757190488.847521782,-0.001249
1757190488.948950768,-0.001283
1757190489.050843477,-0.001284
1757190489.151616812,-0.001304
1757190489.249243975,-0.001161
1757190489.348108768,-0.001467
1757190489.448645353,-0.001420
1757190489.548734903,-0.001568
1757190489.648792505,-0.001504
1757190489.748966932,-0.001681
1757190489.848221779,-0.001550
1757190489.948932648,-0.001771
1757190490.048834801,-0.001707
1757190490.150783777,-0.001770
1757190490.247281075,-0.001770
1757190490.353475332,-0.001727
1757190490.446641207,-0.001669
1757190490.547448635,-0.001872
1757190490.650907755,-0.001787
1757190490.748145580,-0.001673
1757190490.847687006,-0.001692
1757190490.947854042,-0.001762
1757190491.047985554,-0.001571
1757190491.150095463,-0.001767
1757190491.247431755,-0.001733
1757190491.348747969,-0.001710
1757190491.450301409,-0.001537
1757190491.548362255,-0.001724
1757190491.647458792,-0.001876
1757190491.746988773,-0.001950
1757190491.846981049,-0.001847
1757190491.945668697,-0.002183
1757190492.047870159,-0.001922
1757190492.147407770,-0.001901
1757190492.248254776,-0.001848
1757190492.347338438,-0.001942
1757190492.447184324,-0.001838
1757190492.548354387,-0.001882
1757190492.649066210,-0.001607
1757190492.742107630,-0.001636
1757190492.847674131,-0.001489
1757190492.947266817,-0.001229
1757190493.047750473,-0.001287
1757190493.147358179,-0.001086
1757190493.248376608,-0.000987
1757190493.347236633,-0.000829
1757190493.450071573,-0.000627
1757190493.550338507,-0.000519
1757190493.648592234,-0.000417
1757190493.749744654,-0.000385
1757190493.850109577,-0.000148
1757190493.949224949,0.000006
1757190494.048637390,0.000305
1757190494.148595810,0.000271
1757190494.243551254,0.000667
1757190494.348001242,0.000811
1757190494.447780132,0.000727
1757190494.548274279,0.000822
1757190494.647846699,0.000726
1757190494.748111248,0.001053
1757190494.847801924,0.000947
1757190494.949324369,0.001318
1757190495.048108816,0.001404
1757190495.146213055,0.001044
1757190495.246706963,0.001228
1757190495.348103285,0.001153
1757190495.447324753,0.001214
1757190495.547754049,0.001390
1757190495.648326635,0.001066
1757190495.748203039,0.001108
1757190495.850431681,0.001390
1757190495.949874640,0.001305
1757190496.047833920,0.001346
1757190496.149289370,0.001263
1757190496.250090837,0.001215
1757190496.348065853,0.001602
1757190496.446058989,0.001271
1757190496.547826529,0.001494
1757190496.648977041,0.001305
1757190496.746273279,0.001341
1757190496.850125074,0.001185
1757190496.947076082,0.001149
1757190497.046683311,0.001038
1757190497.147629261,0.001092
1757190497.247240305,0.000938
1757190497.348684311,0.000948
1757190497.448003292,0.001045
1757190497.548603058,0.001032
1757190497.647080183,0.000619
1757190497.747386217,0.000695
1757190497.849009991,0.000588
1757190497.948221207,0.000261
1757190498.048894644,0.000415
1757190498.149375916,-0.000022
1757190498.250102997,-0.000059
1757190498.350358725,-0.000093
1757190498.446773052,-0.000557
1757190498.547974825,-0.000855
1757190498.648624659,-0.000694
1757190498.748190880,-0.001023
1757190498.847810984,-0.000840
1757190498.947023630,-0.001101
1757190499.054770231,-0.000936
1757190499.148308992,-0.001031
1757190499.249581337,-0.001285
1757190499.346945763,-0.001469
1757190499.449346066,-0.001461
1757190499.548932314,-0.001641
1757190499.646604538,-0.001637
1757190499.746114254,-0.001787
1757190499.846587181,-0.001767
1757190499.948425770,-0.001915
1757190500.046041250,-0.001918
1757190500.145159006,-0.002122
1757190500.246307611,-0.002055
1757190500.347743750,-0.002057
1757190500.446959972,-0.002166
1757190500.546549559,-0.002168
1757190500.648039818,-0.002295
1757190500.745583773,-0.002183
1757190500.845024347,-0.002545
1757190500.945915222,-0.002753
1757190501.045303583,-0.002529
1757190501.147025824,-0.002915
1757190501.247342587,-0.002874
1757190501.346907139,-0.003077
1757190501.445161104,-0.003026
1757190501.546512604,-0.002991
1757190501.649827480,-0.003243
1757190501.748347044,-0.003204
1757190501.845905066,-0.003328
1757190501.946513414,-0.003014
1757190502.046674728,-0.003346
1757190502.147351027,-0.002908
1757190502.245713949,-0.002864
1757190502.348479033,-0.002846
1757190502.445511103,-0.002682
1757190502.546915293,-0.002344
1757190502.649581909,-0.002394
1757190502.746870756,-0.002109
1757190502.846726656,-0.002059
1757190502.947190046,-0.001843
1757190503.047254562,-0.001815
1757190503.148409367,-0.001328
1757190503.247006178,-0.000993
1757190503.348806620,-0.000782
1757190503.447789669,-0.001012
1757190503.550448179,-0.000670
1757190503.649270296,-0.000470
1757190503.750307560,-0.000261
1757190503.846956491,-0.000113
1757190503.947905540,0.000188
1757190504.049913406,0.000725
1757190504.148147821,0.001038
1757190504.249530077,0.001026
1757190504.347934961,0.001134
1757190504.446422100,0.001307
1757190504.550578356,0.001540
1757190504.646394014,0.001166
1757190504.743639469,0.002106
1757190504.847707748,0.001954
1757190504.945510387,0.002183
1757190505.044983625,0.002137
1757190505.145041227,0.002202
1757190505.247904301,0.002614
1757190505.348399639,0.002667
1757190505.445672274,0.002693
1757190505.549791813,0.002928
1757190505.645911455,0.002976
1757190505.745209455,0.002370
1757190505.845636129,0.002530
1757190505.946288347,0.002698
1757190506.044453621,0.003187
1757190506.146354437,0.003076
1757190506.245376110,0.003200
1757190506.347586155,0.002891
1757190506.448525429,0.002978
1757190506.545135975,0.003181
1757190506.644244194,0.002738
1757190506.746061802,0.002512
1757190506.843746901,0.002414
1757190506.946134090,0.002243
1757190507.045201063,0.002060
1757190507.143532991,0.001977
1757190507.245929956,0.001904
1757190507.344835758,0.001503
1757190507.446130991,0.002247
1757190507.545989037,0.001544
1757190507.647518396,0.002002
1757190507.746571302,0.001727
1757190507.844398022,0.001946
1757190507.947743177,0.001184
1757190508.044963360,0.001232
1757190508.145411730,0.000851
1757190508.248648643,0.001185
1757190508.347700119,0.000323
1757190508.445924044,0.000478
1757190508.548992395,0.000257
1757190508.648161888,0.000530
1757190508.747390270,0.000089
1757190508.847477674,-0.000025
1757190508.946298361,-0.000600
1757190509.047524214,-0.000376
1757190509.145403147,-0.000778
1757190509.247664928,-0.000450
1757190509.344523430,-0.000908
1757190509.444779634,-0.001466
1757190509.545209646,-0.001578
1757190509.645138502,-0.001428
1757190509.746134281,-0.001801
1757190509.845112562,-0.002003
1757190509.944401503,-0.002009
1757190510.044873953,-0.002591
1757190510.143076897,-0.002871
1757190510.242888212,-0.002724
1757190510.346077204,-0.003441
1757190510.445656538,-0.003101
1757190510.543950558,-0.003688
1757190510.643004656,-0.003144
1757190510.743834734,-0.003239
1757190510.845531702,-0.003541
1757190510.945041656,-0.004144
1757190511.046127319,-0.003830
1757190511.144295216,-0.004267
1757190511.244330645,-0.003627
1757190511.343370438,-0.003869
1757190511.444543600,-0.003808
1757190511.544441938,-0.003373
1757190511.644698381,-0.003854
1757190511.744971037,-0.003631
1757190511.842188120,-0.003241
1757190511.943053007,-0.003130
1757190512.044898510,-0.002922
1757190512.143829107,-0.002875
1757190512.244667530,-0.002339
1757190512.345455885,-0.002157
1757190512.443312883,-0.001884
1757190512.545376301,-0.001778
1757190512.643066645,-0.001758
1757190512.746995926,-0.001751
1757190512.846061468,-0.000990
1757190512.945153713,-0.000867
1757190513.044107676,-0.001301
1757190513.146142721,-0.000872
1757190513.243995905,-0.000350
1757190513.347310305,-0.000263
1757190513.444948435,0.000056
1757190513.543965340,0.000480
1757190513.643699646,0.000292
1757190513.744085550,0.000707
1757190513.847321749,0.000700
1757190513.943822622,0.000937
1757190514.045074463,0.001314
1757190514.145024061,0.001785
1757190514.243735790,0.001657
1757190514.343626976,0.001759
1757190514.442255974,0.002100
1757190514.541753054,0.002104
1757190514.644783258,0.002484
1757190514.741614342,0.002929
1757190514.842790604,0.002775
1757190514.939773321,0.002707
1757190515.040301323,0.002878
1757190515.144706249,0.003289
1757190515.240478516,0.003499
1757190515.344474792,0.003129
1757190515.440354109,0.003988
1757190515.541371584,0.003626
1757190515.643653870,0.003716
1757190515.742291451,0.003926
1757190515.840436220,0.004767
1757190515.939352989,0.004185
1757190516.041661501,0.004206
1757190516.142559052,0.003898
1757190516.240379095,0.004214
1757190516.340514660,0.003310
1757190516.443378210,0.003550
1757190516.540557861,0.003027
1757190516.641362190,0.003097
1757190516.740683079,0.002950
1757190516.840533018,0.002561
1757190516.943217039,0.002134
1757190517.044364691,0.001734
1757190517.139581203,0.001619
1757190517.241437674,0.001274
1757190517.341307640,0.001075
1757190517.442235708,0.000776
1757190517.543904543,0.000700
1757190517.642911673,0.000161
1757190517.743787289,-0.000255
1757190517.842899084,-0.000666
1757190517.947709084,-0.000859
1757190518.044991493,-0.001335
1757190518.142962456,-0.001439
1757190518.242151976,-0.001667
1757190518.339369535,-0.002284
1757190518.441640854,-0.002003
1757190518.540270567,-0.002559
1757190518.642556906,-0.003184
1757190518.742293596,-0.003430
1757190518.843282938,-0.003437
1757190518.945767641,-0.003428
1757190519.040984154,-0.003942
1757190519.142579556,-0.003915
1757190519.242363214,-0.004116
1757190519.345412016,-0.004854
1757190519.444915533,-0.005050
1757190519.541815042,-0.004725
1757190519.641954660,-0.004849
1757190519.741547108,-0.005026
1757190519.843500376,-0.004880
1757190519.944026470,-0.004905
1757190520.042860985,-0.004992
1757190520.143216848,-0.004846
1757190520.241561174,-0.004920
1757190520.342198133,-0.004608
1757190520.444378376,-0.004614
1757190520.545429707,-0.004835
1757190520.641618013,-0.004511
1757190520.742157936,-0.004361
1757190520.845592260,-0.003585
1757190520.941439152,-0.003094
1757190521.042877674,-0.002827
1757190521.142251015,-0.002323
1757190521.243114233,-0.001953
1757190521.345511198,-0.001884
1757190521.444940329,-0.001286
1757190521.542672634,-0.001011
1757190521.645983934,-0.000248
1757190521.743222713,0.000015
1757190521.846051931,0.000523
1757190521.941992760,0.001197
1757190522.016374350,0.001214
1757190522.145015717,0.001587
1757190522.241513729,0.002162
1757190522.342339993,0.002803
1757190522.442592144,0.003219
1757190522.543876410,0.003656
1757190522.642687082,0.004229
1757190522.741291523,0.004235
1757190522.844729900,0.004523
1757190522.941760778,0.005092
1757190523.043217421,0.005467
1757190523.140982628,0.005938
1757190523.238842010,0.006618
1757190523.340682983,0.007344
1757190523.438090086,0.007454
1757190523.537970781,0.007097
1757190523.638950348,0.007978
1757190523.739502668,0.007461
1757190523.840190172,0.007732
1757190523.937135458,0.007079
1757190524.038314581,0.007689
1757190524.139769554,0.006735
1757190524.239524126,0.006755
1757190524.342916012,0.006678
1757190524.435804605,0.006556
1757190524.539993525,0.006418
1757190524.640504599,0.005438
1757190524.741849661,0.005329
1757190524.845113277,0.004363
1757190524.941362381,0.004269
1757190525.045594931,0.003785
1757190525.143763304,0.002371
1757190525.244630575,0.003020
1757190525.344434261,0.003045
1757190525.444413662,0.002926
1757190525.544859409,0.001671
1757190525.645060778,0.000739
1757190525.746156454,0.000722
1757190525.846270323,-0.000456
1757190525.945915699,-0.001491
1757190526.044467211,-0.001821
1757190526.144888878,-0.002326
1757190526.245767355,-0.003606
1757190526.318075418,-0.004614
1757190526.443846941,-0.004670
1757190526.545379162,-0.005128
1757190526.646378756,-0.005344
1757190526.744216204,-0.005972
1757190526.845196247,-0.005740
1757190526.944408417,-0.005810
1757190527.040196657,-0.006353
1757190527.140661001,-0.006191
1757190527.240489721,-0.006055
1757190527.341536760,-0.006533
1757190527.440384150,-0.006088
1757190527.542538166,-0.005855
1757190527.643495083,-0.005918
1757190527.742753506,-0.006712
1757190527.839487553,-0.006573
1757190527.940572500,-0.006824
1757190528.040197611,-0.006484
1757190528.142366409,-0.006044
1757190528.245212555,-0.005690
1757190528.344126940,-0.005529
1757190528.443966389,-0.005160
1757190528.544939995,-0.004675
1757190528.645742655,-0.004757
1757190528.743643761,-0.004428
1757190528.844397068,-0.004393
1757190528.944841623,-0.003593
1757190529.044926882,-0.003759
1757190529.144355774,-0.003012
1757190529.245577812,-0.002374
1757190529.345108032,-0.002776
1757190529.444816351,-0.002348
1757190529.541488409,-0.001618
1757190529.646345615,-0.001570
1757190529.747434378,-0.001209
1757190529.850368261,-0.000358
1757190529.947746992,-0.000675
