ros_time_s,Imu_Error_yaw
1757190478.619318485,0.000000
1757190478.717833757,0.000000
1757190478.818450451,0.000000
1757190478.918908358,0.000000
1757190479.017503500,0.000000
1757190479.118480206,0.000000
1757190479.218555450,0.000000
1757190479.317422867,0.000000
1757190479.418439627,0.000000
1757190479.519127846,0.000000
1757190479.618232727,0.000000
1757190479.718240261,0.000000
1757190479.813855410,0.000000
1757190479.913412809,0.000000
1757190480.013225317,0.000000
1757190480.113644123,0.000000
1757190480.213381529,0.000000
1757190480.313208580,0.000000
1757190480.413126707,0.000000
1757190480.513103962,0.000000
1757190480.613223076,0.000000
1757190480.713274002,0.000000
1757190480.813268900,0.000000
1757190480.913363218,0.000000
1757190481.013259888,0.000000
1757190481.124526501,0.000000
1757190481.212897539,0.000000
1757190481.313445807,0.000000
1757190481.413501263,0.000000
1757190481.513241529,0.000000
1757190481.613398552,0.000000
1757190481.713690281,0.000000
1757190481.813467979,0.000000
1757190481.913297176,0.000000
1757190482.013770819,0.000000
1757190482.113293409,0.000000
1757190482.213243961,0.000000
1757190482.312959671,0.000000
1757190482.412939548,0.000000
1757190482.513218403,0.000000
1757190482.613088846,0.000000
1757190482.715390921,0.000000
1757190482.813103914,0.000000
1757190482.913452864,0.000000
1757190483.014151573,0.000000
1757190483.113333702,0.000000
1757190483.213084459,0.000000
1757190483.313069820,0.000000
1757190483.413124800,0.000000
1757190483.514208794,0.000000
1757190483.613140106,0.000000
1757190483.713030577,0.000000
1757190483.813105345,0.000000
1757190483.913109303,0.000000
1757190484.014023066,0.000000
1757190484.113461733,0.000000
1757190484.218247890,0.000000
1757190484.319132090,0.000000
1757190484.420643806,0.000000
1757190484.519274712,0.000000
1757190484.617255211,0.000000
1757190484.719515800,0.000000
1757190484.814360857,0.000000
1757190484.912795305,0.000000
1757190485.013268232,0.000000
1757190485.113603592,0.000000
1757190485.220214128,0.000000
1757190485.319228649,0.000000
1757190485.417401791,0.000000
1757190485.518989325,0.000000
1757190485.620291471,0.002269
1757190485.720911026,0.004363
1757190485.819403887,0.005585
1757190485.914020777,0.007679
1757190486.017679930,0.010996
1757190486.118306398,0.012043
1757190486.218933344,0.015359
1757190486.318554401,0.016406
1757190486.418028116,0.016406
1757190486.521156788,0.017453
1757190486.620016575,0.018675
1757190486.713582277,0.019722
1757190486.820147276,0.019722
1757190486.918664455,0.020769
1757190487.018641949,0.019722
1757190487.119448662,0.019722
1757190487.218948364,0.018675
1757190487.317953825,0.019722
1757190487.417883635,0.020769
1757190487.518637419,0.019722
1757190487.613857985,0.019722
1757190487.718667269,0.020769
1757190487.820347071,0.019722
1757190487.920286417,0.019722
1757190488.020117760,0.019722
1757190488.116311312,0.018675
1757190488.219822884,0.019722
1757190488.319994450,0.018675
1757190488.417812824,0.018675
1757190488.518727541,0.020769
1757190488.615612745,0.019722
1757190488.719115734,0.018675
1757190488.818348646,0.017453
1757190488.918870449,0.017453
1757190489.020442009,0.015359
1757190489.119477749,0.016406
1757190489.220059395,0.015359
1757190489.318039179,0.015359
1757190489.418081999,0.015359
1757190489.518910170,0.014312
1757190489.617830038,0.014312
1757190489.718955755,0.014312
1757190489.818277359,0.013090
1757190489.917863369,0.013090
1757190490.019114494,0.013090
1757190490.118714809,0.012043
1757190490.219472170,0.012043
1757190490.318669081,0.010996
1757190490.417919159,0.010996
1757190490.517776728,0.009949
1757190490.621159315,0.007679
1757190490.719951153,0.007679
1757190490.818940401,0.006632
1757190490.919257402,0.005585
