ros_time_s,Lecturas_Validas
1757191722.158087492,7.000000
1757191722.258483171,7.000000
1757191722.358416557,7.000000
1757191722.458438158,4.000000
1757191722.558055401,7.000000
1757191722.657763958,6.000000
1757191722.757922649,6.000000
1757191722.857904434,7.000000
1757191722.957887173,6.000000
1757191723.058721781,6.000000
1757191723.159023762,7.000000
1757191723.260953426,6.000000
1757191723.357774734,7.000000
1757191723.457988024,7.000000
1757191723.558089256,7.000000
1757191723.657704592,6.000000
1757191723.758488894,7.000000
1757191723.858606100,6.000000
1757191723.960320711,7.000000
1757191724.057579756,6.000000
1757191724.157536983,7.000000
1757191724.257719755,6.000000
1757191724.358421803,7.000000
1757191724.457973957,6.000000
1757191724.557371378,6.000000
1757191724.657332659,7.000000
1757191724.757496834,4.000000
1757191724.865394115,6.000000
1757191724.963790894,6.000000
1757191725.064389229,7.000000
1757191725.162699223,7.000000
1757191725.263066292,6.000000
1757191725.364965200,7.000000
1757191725.463569880,7.000000
1757191725.557848692,6.000000
1757191725.664956331,7.000000
1757191725.762506485,8.000000
1757191725.863891602,8.000000
1757191725.963356018,6.000000
1757191726.063561201,8.000000
1757191726.165270805,9.000000
1757191726.262805223,8.000000
1757191726.365356445,9.000000
1757191726.462413073,7.000000
1757191726.562905550,7.000000
1757191726.658396006,10.000000
1757191726.763903379,9.000000
1757191726.863702059,10.000000
1757191726.963132381,10.000000
1757191727.064594984,8.000000
1757191727.163458109,11.000000
1757191727.261306286,10.000000
1757191727.364298582,10.000000
1757191727.463233471,11.000000
1757191727.564845562,13.000000
1757191727.663456678,10.000000
1757191727.763614416,9.000000
1757191727.864669323,13.000000
1757191727.964993477,12.000000
1757191728.066061735,12.000000
1757191728.164944410,13.000000
1757191728.262911797,11.000000
1757191728.363769770,12.000000
1757191728.464713812,12.000000
1757191728.563455582,10.000000
1757191728.664854527,12.000000
1757191728.763438225,12.000000
1757191728.862275839,12.000000
1757191728.964627743,10.000000
1757191729.064680338,12.000000
1757191729.164567232,13.000000
1757191729.260438204,12.000000
1757191729.361266613,12.000000
1757191729.465093136,10.000000
1757191729.564747334,10.000000
1757191729.664075613,12.000000
1757191729.762720346,12.000000
1757191729.864643574,12.000000
1757191729.963766575,12.000000
1757191730.064880133,13.000000
1757191730.163385630,12.000000
1757191730.263254881,12.000000
1757191730.362614870,12.000000
1757191730.463792562,12.000000
1757191730.564738989,12.000000
1757191730.663053274,12.000000
1757191730.765445471,12.000000
1757191730.864027977,13.000000
1757191730.963965654,12.000000
1757191731.062922716,11.000000
1757191731.164701700,10.000000
1757191731.262733459,9.000000
1757191731.365205765,11.000000
1757191731.462622166,10.000000
1757191731.564800262,12.000000
1757191731.662233114,10.000000
1757191731.763331413,11.000000
1757191731.863666058,11.000000
1757191731.965158939,10.000000
1757191732.060671091,10.000000
1757191732.163223267,9.000000
1757191732.263386965,8.000000
1757191732.361761332,9.000000
1757191732.463340282,8.000000
1757191732.565518379,8.000000
1757191732.664817572,8.000000
1757191732.764039755,7.000000
1757191732.862888336,7.000000
1757191732.962902784,8.000000
1757191733.062848806,6.000000
1757191733.161241293,7.000000
1757191733.262135029,6.000000
1757191733.363842249,7.000000
1757191733.463372231,6.000000
1757191733.564686537,8.000000
1757191733.664293528,6.000000
1757191733.763483047,7.000000
1757191733.863584280,8.000000
1757191733.963347912,7.000000
1757191734.063715696,8.000000
1757191734.162549973,7.000000
1757191734.263913155,9.000000
1757191734.363161564,8.000000
1757191734.463232279,10.000000
1757191734.562991142,10.000000
1757191734.663071156,10.000000
1757191734.762889624,10.000000
1757191734.863222837,12.000000
1757191734.962241888,12.000000
1757191735.063260555,12.000000
1757191735.164597750,12.000000
