ros_time_s,Lidar_Left
1757191608.486892462,0.624528
1757191608.586347342,0.620781
1757191608.688706160,0.622641
1757191608.788674355,0.624440
1757191608.888373137,0.621189
1757191608.986862659,0.625351
1757191609.085846424,0.628572
1757191609.186777115,0.620853
1757191609.287999392,0.622616
1757191609.387923717,0.624564
1757191609.488504410,0.621302
1757191609.586924076,0.624622
1757191609.686804056,0.624114
1757191609.786824942,0.627488
1757191609.887982607,0.626733
1757191609.986841202,0.625199
1757191610.086260796,0.620621
1757191610.186891794,0.624686
1757191610.288444757,0.621711
1757191610.388440847,0.623296
1757191610.487882853,0.621547
1757191610.587538719,0.625923
1757191610.686863661,0.618509
1757191610.787326097,0.621506
1757191610.886801481,0.614537
1757191610.986961603,0.613486
1757191611.086934090,0.612334
1757191611.188366652,0.602910
1757191611.286709070,0.600102
1757191611.386381865,0.598490
1757191611.488251925,0.596933
1757191611.586077929,0.593777
1757191611.686465025,0.596863
1757191611.786900282,0.590863
1757191611.886382341,0.594910
1757191611.986912489,0.593830
1757191612.085685253,0.594199
1757191612.188235044,0.591518
1757191612.286928654,0.597585
1757191612.386290073,0.359245
1757191612.487945318,0.296084
1757191612.586769342,0.305506
1757191612.686892033,0.299290
1757191612.787936211,0.293045
1757191612.886847258,0.271361
1757191612.988393784,0.316958
1757191613.086151123,0.357474
1757191613.188367605,0.358506
1757191613.286867857,0.352088
1757191613.388221502,0.474811
1757191613.486782312,0.559054
1757191613.587961912,0.594022
1757191613.686679840,0.593159
1757191613.787967920,0.591783
1757191613.886744738,0.597424
1757191613.988463402,0.606259
1757191614.086898088,0.621958
1757191614.186982155,0.679068
1757191614.288003922,0.767621
1757191614.388297796,0.892840
1757191614.487886429,0.935145
1757191614.586889982,0.924011
1757191614.686333418,1.054506
1757191614.787034273,1.007923
1757191614.886963606,1.038051
1757191614.988302708,1.065447
1757191615.087417603,1.002438
1757191615.187692881,1.034529
1757191615.286868334,1.003487
1757191615.386282444,1.039591
1757191615.486985207,0.706812
1757191615.586316347,0.694379
1757191615.686348438,0.717074
1757191615.788491011,0.707744
1757191615.888127089,0.708873
1757191615.986637592,0.700984
1757191616.088520765,0.691288
1757191616.186604261,0.714028
1757191616.286870241,0.703854
1757191616.385444880,0.717392
1757191616.488019466,0.712112
1757191616.587854385,0.718125
1757191616.686140060,0.704082
1757191616.786300421,0.698462
1757191616.887141228,0.705293
1757191616.986991644,0.712255
1757191617.087108374,0.701431
1757191617.186136484,0.714018
1757191617.286761999,0.715728
1757191617.386347294,0.714656
1757191617.487828493,0.718251
1757191617.586572647,0.702752
1757191617.687007427,0.717453
1757191617.786841869,0.709772
1757191617.888243914,0.705719
1757191617.987909317,0.698715
1757191618.088131428,0.705860
1757191618.186573029,0.705674
1757191618.288105249,0.705120
1757191618.387747526,0.703366
1757191618.487120867,0.715744
1757191618.586346149,0.715222
1757191618.684384584,0.709072
1757191618.788213253,0.699859
1757191618.885793209,0.708496
1757191618.986913681,0.707421
1757191619.086347580,0.707132
1757191619.186772108,0.704082
1757191619.288609028,0.718328
1757191619.386806250,0.713462
1757191619.487020254,0.710089
1757191619.587020636,0.700679
1757191619.687402725,0.714817
1757191619.788042784,0.712309
1757191619.887765169,0.712663
1757191619.986954927,0.704935
1757191620.086554527,0.718662
1757191620.188013792,0.847479
1757191620.288365841,0.817678
1757191620.386979580,0.865851
1757191620.486603260,0.800281
1757191620.586802721,0.851254
1757191620.687346458,0.809433
1757191620.788123369,0.898141
1757191620.888099909,0.886022
1757191620.987063885,0.852352
1757191621.086959839,0.837064
1757191621.186606407,0.830476
1757191621.286401987,0.884957
1757191621.385017633,0.869489
1757191621.487340212,0.887089
1757191621.587115049,0.846313
1757191621.686985254,0.871323
1757191621.788111925,0.880246
1757191621.886312485,0.851669
1757191621.986962318,0.849099
1757191622.086822510,0.859522
1757191622.186778784,0.868079
1757191622.288109779,0.850586
1757191622.387357712,0.846187
1757191622.486956358,0.868159
1757191622.588313103,0.879483
1757191622.687592983,0.872037
