ros_time_s,Vel_Des
1757191724.896350384,"1.93,1.51"
1757191724.995851278,"1.93,1.41"
1757191725.090423346,"2.05,0.69"
1757191725.190929174,"2.03,0.69"
1757191725.293982267,"1.93,1.43"
1757191725.393190622,"2.05,0.69"
1757191725.574228525,"2.83,0.67"
1757191725.601573467,"1.93,0.83"
1757191725.688416004,"2.83,0.67"
1757191725.790509462,"2.83,0.67"
1757191725.887235403,"2.83,0.67"
1757191725.988320589,"0.00,2.00"
1757191725.991027594,"2.83,0.67"
1757191726.089803457,"0.00,2.00"
1757191726.092427731,"2.09,0.69"
1757191726.188420296,"0.00,2.00"
1757191726.190895557,"2.83,0.67"
1757191726.289885759,"2.36,0.67"
1757191726.389940023,"2.83,0.67"
1757191726.494188786,"1.93,1.41"
1757191726.592739344,"0.00,2.00"
1757191726.595218897,"1.94,0.67"
1757191726.685086489,"0.00,2.00"
1757191726.687601805,"2.09,0.69"
1757191726.790423393,"2.07,0.69"
1757191726.890919685,"2.07,0.69"
1757191726.995148659,"1.93,1.50"
1757191727.094550610,"0.00,2.00"
1757191727.097039938,"1.94,0.67"
1757191727.194012165,"0.00,2.00"
1757191727.196508646,"1.93,0.82"
1757191727.292392015,"1.92,1.68"
1757191727.395117998,"1.93,1.52"
1757191727.494230509,"1.93,1.24"
1757191727.596593857,"1.94,0.67"
1757191727.695019245,"1.77,1.93"
1757191727.794458151,"0.00,2.00"
1757191727.796940804,"1.84,1.93"
1757191727.895025492,"0.00,2.00"
1757191727.897540808,"1.93,1.41"
1757191727.997437000,"1.93,1.89"
1757191728.096526861,"1.93,1.58"
1757191728.195425749,"1.93,1.06"
1757191728.295290709,"1.93,1.85"
1757191728.397047758,"1.88,1.93"
1757191728.495700836,"1.82,1.93"
1757191728.594551802,"1.60,1.93"
1757191728.698405027,"1.88,1.93"
1757191728.795493841,"1.77,1.93"
1757191728.893628836,"1.72,1.93"
1757191728.996354342,"1.40,1.93"
1757191729.094713449,"1.61,1.93"
1757191729.195594072,"1.73,1.93"
1757191729.290962934,"1.57,1.93"
1757191729.391460419,"0.67,1.94"
1757191729.496050835,"1.31,1.93"
1757191729.595507622,"1.57,1.93"
1757191729.692386627,"0.67,1.94"
1757191729.795577526,"1.46,1.93"
1757191729.894855738,"0.68,1.98"
1757191729.993720531,"1.42,1.93"
1757191730.095888138,"1.66,1.92"
1757191730.190812826,"0.67,1.96"
1757191730.295464754,"1.41,1.93"
1757191730.393889427,"1.27,1.93"
1757191730.493973017,"1.47,1.93"
1757191730.595325708,"1.46,1.93"
1757191730.694287539,"1.46,1.93"
1757191730.797905684,"1.41,1.93"
1757191730.894506931,"1.61,1.93"
1757191730.994148254,"1.45,1.93"
1757191731.093762159,"1.42,1.93"
1757191731.193546772,"0.67,1.97"
1757191731.292947769,"0.67,1.93"
1757191731.395017385,"1.49,1.93"
1757191731.493032694,"1.64,1.92"
1757191731.599686623,"1.93,1.86"
1757191731.696656227,"1.72,1.92"
1757191731.799851179,"1.91,1.93"
1757191731.897221804,"1.93,1.90"
1757191731.997542381,"1.93,1.86"
1757191732.092281342,"1.93,1.79"
1757191732.196318626,"1.93,1.77"
1757191732.295454025,"1.93,1.74"
1757191732.395315170,"1.93,1.76"
1757191732.490334749,"2.01,0.68"
1757191732.596981764,"1.93,1.46"
1757191732.696827888,"1.93,0.67"
1757191732.797889948,"1.93,1.93"
1757191732.893990755,"1.92,1.68"
1757191732.994438648,"1.93,1.52"
1757191733.096851349,"1.93,1.92"
1757191733.192161560,"1.80,1.93"
1757191733.295077562,"1.85,1.93"
1757191733.396008968,"1.82,1.93"
1757191733.494422197,"1.54,1.93"
