ros_time_s,omega_2
1757191720.613107443,0.000000
1757191720.653260708,0.000000
1757191720.704000473,0.000000
1757191720.754142523,0.000000
1757191720.804539442,0.000000
1757191720.854611874,0.000000
1757191720.904043436,0.000000
1757191720.954105854,0.000000
1757191721.004824400,0.000000
1757191721.054520130,0.000000
1757191721.104046822,0.000000
1757191721.153987169,0.000000
1757191721.204648018,0.000000
1757191721.254539967,0.000000
1757191721.303914547,0.000000
1757191721.354826927,0.000000
1757191721.403809547,0.000000
1757191721.453655720,0.000000
1757191721.504136801,0.000000
1757191721.553935051,0.000000
1757191721.604596138,0.000000
1757191721.654677153,0.000000
1757191721.705357313,0.000000
1757191721.755610466,0.000000
1757191721.805544853,0.000000
1757191721.855796576,0.000000
1757191721.906903505,0.000000
1757191721.955033541,0.000000
1757191722.004582405,0.000000
1757191722.055094004,0.000000
1757191722.105082035,0.000000
1757191722.154622555,0.000000
1757191722.205065489,0.000000
1757191722.254992485,0.000000
1757191722.305428505,0.000000
1757191722.355596066,0.000000
1757191722.405015707,0.000000
1757191722.455031157,0.000000
1757191722.505619049,0.000000
1757191722.556341410,0.000000
1757191722.605830908,0.000000
1757191722.656292439,0.000000
1757191722.705889225,0.000000
1757191722.755868673,0.000000
1757191722.806129217,0.000000
1757191722.856047392,0.000000
1757191722.905656338,0.000000
1757191722.955677509,0.000000
1757191723.007048607,0.000000
1757191723.056248903,0.000000
1757191723.105646610,0.000000
1757191723.156900167,0.000000
1757191723.206507444,0.000000
1757191723.258488417,0.000000
1757191723.307054281,0.000000
1757191723.356989145,0.000000
1757191723.406521559,0.000000
1757191723.456630230,0.000000
1757191723.507364273,0.000000
1757191723.557052135,0.000000
1757191723.606477261,0.000000
1757191723.656924725,0.000000
1757191723.707223654,0.000000
1757191723.758281708,0.000000
1757191723.806670904,0.000000
1757191723.856782436,0.000000
1757191723.907103300,0.000000
1757191723.957762241,0.000000
1757191724.007596493,0.000000
1757191724.058205366,0.000000
1757191724.107459545,0.000000
1757191724.158113718,0.000000
1757191724.207580566,0.000000
1757191724.257538557,0.000000
1757191724.308088303,0.000000
1757191724.358153582,0.000000
1757191724.408474207,0.000000
1757191724.457778215,0.000000
1757191724.508033276,0.000000
1757191724.558222771,0.000000
1757191724.607503653,0.000000
1757191724.658400536,0.000000
1757191724.707675695,0.000000
1757191724.757795811,0.000000
1757191724.808276415,0.000000
1757191724.862465620,0.000000
1757191724.910226345,0.059000
1757191724.963561058,1.373000
1757191725.009545803,1.486000
1757191725.062509537,1.198000
1757191725.110677481,0.598000
1757191725.161393881,0.565000
1757191725.210093260,0.949000
1757191725.261356354,0.307000
1757191725.310420752,0.953000
1757191725.363120317,1.493000
1757191725.410323381,1.030000
1757191725.462451458,0.311000
1757191725.509657145,0.856000
1757191725.558871031,0.439000
1757191725.608642340,0.910000
1757191725.662883997,0.932000
1757191725.710854769,0.382000
1757191725.760456085,0.668000
1757191725.811286211,0.691000
1757191725.862077475,0.597000
1757191725.909946918,0.669000
1757191725.962465763,0.700000
1757191726.010725260,1.310000
1757191726.062372208,2.049000
1757191726.111870527,2.033000
1757191726.164123297,2.083000
1757191726.211138248,2.080000
1757191726.263328075,2.002000
1757191726.311316013,1.438000
1757191726.365631342,0.362000
1757191726.412238598,0.796000
1757191726.462756157,0.378000
1757191726.512466431,1.018000
1757191726.564820766,1.463000
1757191726.613027811,1.755000
1757191726.661838293,2.004000
1757191726.712489843,2.041000
1757191726.764110565,1.995000
1757191726.812122345,0.933000
1757191726.863903999,0.375000
1757191726.913499117,0.815000
1757191726.963930845,0.445000
1757191727.012004375,1.077000
1757191727.064457178,1.457000
1757191727.112144947,1.561000
1757191727.164672613,2.134000
1757191727.211493969,2.080000
1757191727.262316942,2.015000
1757191727.312929630,1.238000
1757191727.364086628,1.680000
1757191727.413656950,1.590000
1757191727.463759184,1.582000
1757191727.512727261,1.072000
1757191727.566009998,1.190000
1757191727.613243103,0.698000
1757191727.666343689,0.446000
1757191727.714230299,1.050000
1757191727.764751196,1.977000
1757191727.812900066,2.097000
1757191727.864332438,2.024000
1757191727.912672043,1.961000
1757191727.966323376,2.014000
1757191728.012869120,1.980000
1757191728.066415787,1.905000
1757191728.113735676,1.450000
1757191728.167671919,1.582000
1757191728.213971376,1.059000
1757191728.264367342,0.608000
1757191728.313523293,0.861000
1757191728.366763592,1.910000
1757191728.414271832,1.947000
1757191728.466722965,1.990000
1757191728.514285088,1.941000
1757191728.564741135,1.950000
1757191728.614430904,1.944000
1757191728.667295933,1.910000
1757191728.713013172,1.942000
1757191728.766041279,1.951000
1757191728.815880537,1.925000
1757191728.864824295,1.914000
1757191728.915006161,1.989000
