ros_time_s,Error_Distancia
1757275146.199484825,-0.002131
1757275146.227040291,-0.006936
1757275146.255409718,-0.002363
1757275146.285186052,0.001087
1757275146.350622892,-0.002013
1757275146.449453354,-0.004726
1757275146.633484602,-0.002114
1757275146.663885117,-0.001458
1757275146.746506929,-0.002250
1757275146.850069761,-0.000462
1757275146.946394444,-0.004250
1757275147.043979406,-0.006908
1757275147.146647215,-0.002058
1757275147.246242285,-0.004269
1757275147.348118782,-0.001890
1757275147.448082447,-0.002395
1757275147.548458099,-0.004177
1757275147.645832777,0.002980
1757275147.745857239,0.002333
1757275147.843554735,0.005214
1757275147.948568106,-0.001751
1757275148.047715187,0.000376
1757275148.146935225,-0.001563
1757275148.249503851,-0.000121
1757275148.347661495,0.002948
1757275148.448006153,0.003891
1757275148.549423695,-0.003870
1757275148.643115997,0.005888
1757275148.747890711,0.001261
1757275148.846723318,0.002653
1757275148.947778702,0.003725
1757275149.043210030,0.016193
1757275149.148631811,0.004653
1757275149.248982668,0.000353
1757275149.347065926,0.002984
1757275149.451199293,0.004456
1757275149.549212933,0.002772
1757275149.649866819,0.002317
1757275149.746368885,0.005088
1757275149.847691774,0.002464
1757275149.941793203,0.017560
1757275150.051493168,0.002539
1757275150.149746418,0.000402
1757275150.247865438,0.003584
1757275150.348401546,0.005591
1757275150.443223476,0.022541
1757275150.541341782,-0.076461
1757275150.642438889,0.014805
1757275150.746113062,0.005601
1757275150.847666264,0.006774
1757275150.944225311,0.008397
1757275151.043070555,0.017373
1757275151.150048256,0.003761
1757275151.245972157,0.005834
1757275151.345574379,0.007710
1757275151.446022511,0.006259
1757275151.544928789,0.007134
1757275151.649915695,0.000360
1757275151.745731115,0.006528
1757275151.851255178,0.001740
1757275151.952080488,0.001755
1757275152.046835661,0.005752
1757275152.150187492,0.003617
1757275152.250539303,0.002340
1757275152.350535631,0.001264
1757275152.450035810,0.001543
1757275152.550709724,0.000050
1757275152.652472019,-0.000072
1757275152.751932144,-0.001415
1757275152.849867105,-0.003667
1757275152.950787544,0.000311
1757275153.049944162,-0.002427
1757275153.153548717,-0.000130
1757275153.251998425,0.000042
1757275153.348332644,-0.003869
1757275153.450230837,-0.001205
1757275153.550171137,-0.002250
1757275153.645412207,-0.009971
1757275153.745916128,-0.008469
1757275153.846305370,-0.006854
1757275153.945471287,-0.007776
1757275154.046928883,-0.009139
1757275154.144715786,-0.009050
1757275154.247797012,-0.007420
