ros_time_s,Imu_Error_yaw
1757275142.719958782,0.000000
1757275142.819612265,0.000000
1757275142.921786785,0.000000
1757275143.019528389,0.000000
1757275143.119380951,0.000000
1757275143.219642639,0.000000
1757275143.319402456,0.000000
1757275143.419483662,0.000000
1757275143.520295620,0.000000
1757275143.619499207,0.000000
1757275143.719337940,0.000000
1757275143.819447994,0.000000
1757275143.919896126,0.000000
1757275144.019489288,0.000000
1757275144.120707512,0.000000
1757275144.219888210,0.000000
1757275144.321166039,0.000000
1757275144.420721769,0.000000
1757275144.519784451,0.000000
1757275144.619535923,0.000000
1757275144.719771624,0.000000
1757275144.819132566,0.000000
1757275144.919265509,0.000000
1757275145.019438744,0.000000
1757275145.119292021,0.000000
1757275145.218943119,0.000000
1757275145.320407152,0.000000
1757275145.419909477,0.000000
1757275145.520864964,0.000000
1757275145.619825363,0.000000
1757275145.720396280,0.000000
1757275146.087847233,0.000000
1757275146.099154472,0.000000
1757275146.119038582,0.000000
1757275146.219267607,0.000000
1757275146.321280241,0.000000
1757275146.420160055,0.000000
1757275146.519787073,-0.006458
1757275146.619363308,-0.010821
1757275146.720072508,-0.014137
1757275146.820744276,-0.015359
1757275146.920234203,-0.014137
1757275147.020070076,-0.016406
1757275147.120254755,-0.023911
1757275147.221079588,-0.034907
1757275147.321558952,-0.037001
1757275147.421072245,-0.039270
1757275147.521060467,-0.039270
1757275147.620487452,-0.046949
1757275147.719951868,-0.046949
1757275147.820415974,-0.047997
1757275147.920949221,-0.046949
1757275148.020024061,-0.041364
1757275148.120303392,-0.041364
1757275148.221093416,-0.041364
1757275148.322413206,-0.041364
1757275148.420901775,-0.041364
1757275148.522193670,-0.039270
1757275148.620357990,-0.037001
1757275148.721340418,-0.039270
1757275148.820629835,-0.031590
1757275148.921140194,-0.028274
1757275149.022655725,-0.026180
1757275149.123002768,-0.023911
1757275149.221478701,-0.017453
1757275149.322535992,-0.014137
1757275149.423445940,-0.012043
1757275149.522806168,-0.009774
1757275149.622073889,-0.007679
