ros_time_s,Lecturas_Validas
1757275142.720051289,14.000000
1757275142.819726229,10.000000
1757275142.922087908,13.000000
1757275143.019659519,14.000000
1757275143.119504213,15.000000
1757275143.219779491,11.000000
1757275143.319533587,10.000000
1757275143.419589520,13.000000
1757275143.520457268,15.000000
1757275143.619692564,14.000000
1757275143.719442368,13.000000
1757275143.819587469,13.000000
1757275143.920040131,14.000000
1757275144.019632578,14.000000
1757275144.120806932,10.000000
1757275144.219980478,13.000000
1757275144.321292877,10.000000
1757275144.420843124,14.000000
1757275144.519930601,10.000000
1757275144.619679928,12.000000
1757275144.719891787,9.000000
1757275144.819256067,10.000000
1757275144.919358015,11.000000
1757275145.019586802,15.000000
1757275145.119374037,15.000000
1757275145.219053984,10.000000
1757275145.320538521,12.000000
1757275145.420008898,13.000000
1757275145.521001816,9.000000
1757275145.619911909,10.000000
1757275145.720503330,14.000000
1757275146.088077068,14.000000
1757275146.099267721,11.000000
1757275146.119150639,14.000000
1757275146.219384432,12.000000
1757275146.321406603,13.000000
1757275146.420336485,14.000000
1757275146.520019770,14.000000
1757275146.619462967,15.000000
1757275146.720188856,10.000000
1757275146.820870399,10.000000
1757275146.920341492,10.000000
1757275147.020312786,10.000000
1757275147.120363951,17.000000
1757275147.221182346,10.000000
1757275147.321742296,11.000000
1757275147.421173096,14.000000
1757275147.521176577,12.000000
1757275147.620632410,9.000000
1757275147.720069647,14.000000
1757275147.820526838,11.000000
1757275147.921053648,11.000000
1757275148.020133018,14.000000
1757275148.120421886,14.000000
1757275148.221241236,14.000000
1757275148.322511911,14.000000
1757275148.421027899,14.000000
1757275148.522294044,12.000000
1757275148.620478153,14.000000
1757275148.721463442,16.000000
1757275148.820766449,18.000000
1757275148.921259165,18.000000
1757275149.022794008,17.000000
1757275149.123099327,17.000000
1757275149.221585512,16.000000
1757275149.322654486,19.000000
1757275149.423773289,14.000000
1757275149.522979021,19.000000
1757275149.622227669,20.000000
1757275149.722801685,12.000000
1757275149.821171761,16.000000
1757275149.922126055,16.000000
1757275150.024913073,20.000000
