ros_time_s,Lidar_Left
1757275142.719741344,0.501950
1757275142.819364071,0.502378
1757275142.921352625,0.501970
1757275143.019310951,0.504300
1757275143.119116306,0.504831
1757275143.219317198,0.499403
1757275143.319116831,0.499639
1757275143.419257641,0.501656
1757275143.519693613,0.482419
1757275143.619289398,0.506877
1757275143.719138145,0.500318
1757275143.819250107,0.502118
1757275143.919676065,0.503938
1757275144.019262314,0.502362
1757275144.120468378,0.501239
1757275144.219694853,0.502327
1757275144.320931911,0.509403
1757275144.420483589,0.502010
1757275144.519505262,0.502458
1757275144.619311094,0.500380
1757275144.719507456,0.505256
1757275144.818942785,0.508986
1757275144.919070959,0.506492
1757275145.019232988,0.505082
1757275145.119113207,0.505486
1757275145.218768358,0.501994
1757275145.320213795,0.501326
1757275145.419701099,0.503159
1757275145.520666599,0.505358
1757275145.619641542,0.510185
1757275145.720185518,0.504606
1757275146.087426186,0.502131
1757275146.098901510,0.506936
1757275146.118863344,0.502363
1757275146.219037771,0.498913
1757275146.321031570,0.502013
1757275146.419909716,0.504726
1757275146.519248486,0.502114
1757275146.619112730,0.501458
1757275146.719750404,0.502250
1757275146.820455790,0.500462
1757275146.920007706,0.504250
1757275147.019756317,0.506908
1757275147.120038033,0.502058
1757275147.220854282,0.504269
1757275147.321290731,0.501890
1757275147.420843363,0.502395
1757275147.520829201,0.504177
1757275147.620252609,0.497020
1757275147.719740629,0.497667
1757275147.820185900,0.494786
1757275147.920719385,0.501751
1757275148.019782305,0.499624
1757275148.120073557,0.501563
1757275148.220821142,0.500121
1757275148.322213411,0.497052
1757275148.420647860,0.496109
1757275148.521981716,0.503870
1757275148.620116711,0.494112
1757275148.721096516,0.498739
1757275148.820342064,0.497347
1757275148.920907736,0.496275
1757275149.022278070,0.483807
1757275149.122801304,0.495347
1757275149.221261740,0.499647
1757275149.322341681,0.497016
1757275149.422549963,0.495544
1757275149.522488356,0.497228
1757275149.621817350,0.497683
1757275149.722354174,0.494912
1757275149.820801973,0.497536
1757275149.921794415,0.482440
1757275150.024377584,0.497461
1757275150.121299982,0.499598
1757275150.221885204,0.496416
1757275150.322796583,0.494409
1757275150.422849178,0.477459
