ros_time_s,Vel_Des
1757275146.205843687,"1.92,1.72"
1757275146.230808496,"2.02,0.68"
1757275146.259620190,"1.92,1.69"
1757275146.288731575,"1.82,1.93"
1757275146.355829000,"1.93,1.73"
1757275146.454584599,"1.93,1.04"
1757275146.637839556,"1.92,1.72"
1757275146.667387486,"1.93,1.79"
1757275146.750050068,"1.92,1.71"
1757275146.854132891,"1.93,1.88"
1757275146.950009108,"1.93,1.33"
1757275147.047479153,"2.02,0.68"
1757275147.150140524,"1.93,1.73"
1757275147.249752760,"1.93,1.32"
1757275147.351742744,"1.93,1.74"
1757275147.451576471,"1.92,1.69"
1757275147.552133560,"1.93,1.36"
1757275147.649348974,"1.62,1.93"
1757275147.749352694,"1.70,1.92"
1757275147.847148180,"0.67,1.94"
1757275147.952213049,"1.93,1.76"
1757275148.051255703,"1.89,1.93"
1757275148.150426149,"1.93,1.78"
1757275148.253148556,"1.93,1.92"
1757275148.351247787,"1.62,1.93"
1757275148.451531172,"1.45,1.93"
1757275148.553009510,"1.93,1.45"
1757275148.646628380,"0.67,1.96"
1757275148.751397848,"1.81,1.93"
1757275148.850312948,"1.66,1.92"
1757275148.951411247,"1.49,1.93"
1757275149.046822071,"0.67,2.83"
1757275149.152181387,"1.10,1.93"
1757275149.252489328,"1.90,1.93"
1757275149.350584507,"1.62,1.93"
1757275149.454743385,"1.23,1.93"
1757275149.552774906,"1.65,1.92"
1757275149.653429747,"1.70,1.92"
1757275149.749863148,"0.67,1.94"
1757275149.851224899,"1.68,1.92"
1757275149.945385933,"0.67,2.83"
1757275150.054991722,"1.67,1.92"
1757275150.153335094,"1.89,1.93"
1757275150.251413107,"1.52,1.93"
1757275150.351931810,"0.67,1.95"
1757275150.446679592,"0.67,2.83"
1757275150.544840336,"2.83,0.67"
1757275150.646038294,"0.67,2.83"
1757275150.749728918,"0.67,1.95"
1757275150.851236105,"0.68,2.01"
1757275150.947752714,"0.68,2.14"
1757275151.046723127,"0.67,2.83"
1757275151.153793097,"1.48,1.93"
1757275151.249445200,"0.67,1.96"
1757275151.348927021,"2.00,0.00"
1757275151.449346066,"2.00,0.00"
1757275151.548229694,"2.00,0.00"
1757275151.653414965,"1.90,1.93"
1757275151.749179363,"0.68,2.00"
1757275151.854756355,"1.76,1.93"
1757275151.955573559,"1.76,1.93"
1757275152.050328255,"0.67,1.96"
1757275152.153834820,"1.51,1.93"
1757275152.254159451,"1.70,1.92"
1757275152.354038000,"1.80,1.93"
1757275152.453370810,"2.00,0.00"
1757275152.554035664,"2.00,0.00"
1757275152.656099319,"1.93,1.93"
1757275152.755416393,"1.93,1.79"
1757275152.853440285,"1.93,1.50"
1757275152.954295874,"1.90,1.93"
1757275153.053421497,"1.92,1.69"
1757275153.157103300,"1.93,1.92"
1757275153.255506516,"1.93,1.93"
1757275153.351964474,"1.93,1.45"
1757275153.453726292,"1.93,1.81"
1757275153.553800106,"1.92,1.71"
1757275153.648972273,"2.79,0.67"
1757275153.749376774,"2.15,0.68"
1757275153.849785089,"2.02,0.68"
1757275153.949019432,"2.08,0.69"
1757275154.050413847,"2.27,0.67"
1757275154.148237705,"2.25,0.67"
1757275154.251296282,"2.06,0.69"
1757275154.349250555,"2.12,0.68"
1757275154.449656487,"2.21,0.67"
1757275154.549105406,"2.10,0.69"
1757275154.658127785,"1.96,0.67"
1757275154.756554604,"1.93,1.90"
1757275154.854466915,"0.00,2.00"
1757275154.857097626,"1.93,1.78"
1757275154.957260132,"0.00,2.00"
1757275154.959814072,"1.93,1.89"
1757275155.055817366,"1.93,1.84"
1757275155.156381845,"1.93,1.60"
1757275155.254229784,"1.93,1.80"
1757275155.354340792,"1.41,1.93"
1757275155.455754042,"1.71,1.92"
1757275155.555270195,"1.72,1.93"
1757275155.655136347,"1.62,1.93"
1757275155.755316973,"1.85,1.93"
1757275155.853909731,"0.67,1.95"
1757275155.954410791,"1.65,1.92"
1757275156.056863308,"1.81,1.93"
1757275156.155856371,"1.06,1.93"
1757275156.251636744,"0.67,1.96"
1757275156.350145340,"0.67,2.83"
1757275156.448338985,"0.67,2.83"
1757275156.545523882,"0.68,2.13"
1757275156.650177002,"0.67,2.83"
1757275156.747534513,"0.67,2.83"
1757275156.848881245,"0.67,2.83"
1757275156.951401472,"0.67,2.37"
1757275157.052927732,"0.67,2.34"
1757275157.148770094,"0.67,2.83"
1757275157.248495579,"0.67,2.83"
1757275157.351978302,"0.68,2.12"
1757275157.449790478,"2.00,0.00"
1757275157.553227425,"2.00,0.00"
1757275157.652053356,"2.00,0.00"
1757275157.755909920,"1.79,1.93"
1757275157.854229212,"0.67,1.94"
1757275157.949974060,"2.83,0.67"
1757275158.050692081,"0.67,2.83"
1757275158.151909113,"0.68,2.01"
1757275158.255768061,"1.75,1.93"
1757275158.351676226,"0.69,2.09"
1757275158.453729868,"0.69,2.09"
1757275158.553108931,"2.00,0.00"
1757275158.651890516,"2.00,0.00"
1757275158.749813080,"2.00,0.00"
1757275158.852353334,"2.00,0.00"
1757275158.953743458,"0.67,2.20"
1757275159.053366899,"0.68,2.18"
1757275159.153194904,"0.68,2.10"
1757275159.251768351,"0.68,2.14"
1757275159.354354620,"0.68,2.10"
1757275159.453708172,"0.68,2.18"
1757275159.556333780,"2.00,0.00"
1757275159.659692049,"2.00,0.00"
1757275159.757318974,"2.00,0.00"
1757275159.858761787,"2.00,0.00"
1757275159.957980871,"1.60,1.93"
1757275160.056699276,"1.57,1.93"
1757275160.158222914,"1.76,1.93"
1757275160.259126425,"1.93,1.85"
1757275160.356768847,"1.93,1.80"
1757275160.459266186,"1.82,1.93"
1757275160.557429314,"1.87,1.93"
1757275160.657342196,"1.81,1.93"
1757275160.757277489,"1.73,1.93"
1757275160.858573914,"1.93,1.83"
1757275160.960326910,"1.89,1.93"
1757275161.057368994,"1.93,1.87"
1757275161.158192158,"1.83,1.93"
1757275161.255864859,"1.93,1.60"
1757275161.358247757,"1.93,1.78"
1757275161.457578421,"1.75,1.93"
1757275161.558099508,"1.83,1.93"
1757275161.656242371,"1.93,1.61"
1757275161.758264303,"1.93,1.55"
1757275161.860903263,"1.93,1.85"
1757275161.957538843,"1.88,1.93"
1757275162.055457115,"1.62,1.93"
1757275162.159063339,"1.93,1.82"
1757275162.259018421,"1.93,1.34"
1757275162.355216026,"2.08,0.69"
1757275162.451564312,"2.83,0.67"
1757275162.555272102,"1.96,0.67"
1757275162.654719591,"2.01,0.68"
1757275162.753330708,"2.03,0.69"
1757275162.852245808,"2.83,0.67"
1757275162.950536013,"2.83,0.67"
1757275163.058852434,"2.26,0.67"
1757275163.151817799,"2.29,0.67"
1757275163.250334263,"2.83,0.67"
1757275163.350455999,"2.83,0.67"
