ros_time_s,imu_heading
1757275141.399805784,0.000000
1757275141.450450897,0.000000
1757275141.499837399,0.000000
1757275141.550475597,0.000000
1757275141.599688053,0.000000
1757275141.650565386,0.000000
1757275141.699935913,0.000000
1757275141.749519825,0.000000
1757275141.800210714,0.000000
1757275141.851212263,0.000000
1757275141.900626421,0.000000
1757275141.951994419,0.000000
1757275142.001207352,0.000000
1757275142.051135302,0.000000
1757275142.101143599,0.000000
1757275142.150871754,0.000000
1757275142.202038050,0.000000
1757275142.251137733,0.000000
1757275142.301286697,0.000000
1757275142.351151943,0.000000
1757275142.402465105,0.000000
1757275142.453088045,0.000000
1757275142.502392054,0.000000
1757275142.552407503,0.000000
1757275142.602474213,0.000000
1757275142.651475430,0.000000
1757275142.701492310,0.000000
1757275142.752274275,0.000000
1757275142.801583052,0.000000
1757275142.852005005,0.000000
1757275142.907397985,0.000000
1757275142.951891422,0.000000
1757275143.002310991,0.000000
1757275143.051725149,0.000000
1757275143.102044106,0.000000
1757275143.152317524,0.000000
1757275143.201895952,0.000000
1757275143.252033234,0.000000
1757275143.301995277,0.000000
1757275143.351927996,0.000000
1757275143.401705265,0.000000
1757275143.452090263,0.000000
1757275143.502163410,0.000000
1757275143.552249670,0.000000
1757275143.602616072,0.000000
1757275143.652813196,0.000000
1757275143.702541828,0.000000
1757275143.752741575,0.000000
1757275143.802521706,0.000000
1757275143.853885174,0.000000
1757275143.902834177,0.000000
1757275143.952925920,0.000000
1757275144.002665758,0.000000
1757275144.052733898,0.000000
1757275144.102625608,0.000000
1757275144.153072834,0.000000
1757275144.205713749,0.000000
1757275144.257051706,0.000000
1757275144.304732561,0.000000
1757275144.356590748,0.000000
1757275144.405388832,0.000000
1757275144.457534552,0.000000
1757275144.503479719,0.000000
1757275144.553387880,0.000000
1757275144.603233099,0.000000
1757275144.653744459,0.000000
1757275144.703272104,0.000000
1757275144.753134012,0.000000
1757275144.802520275,0.000000
1757275144.852426291,0.000000
1757275144.903172970,0.000000
1757275144.953710079,0.000000
1757275145.003518581,0.000000
1757275145.059449196,0.000000
1757275145.107468128,0.000000
1757275145.155106783,0.000000
1757275145.207078218,0.000000
1757275145.259534121,0.000000
1757275145.308363438,0.000000
1757275145.358621597,0.000000
1757275145.410470486,0.000000
1757275145.458070517,0.000000
1757275145.510399580,0.000000
