ros_time_s,omega_2
1757275141.398450375,0.000000
1757275141.448929310,0.000000
1757275141.498473406,0.000000
1757275141.549137592,0.000000
1757275141.598272562,0.000000
1757275141.649173021,0.000000
1757275141.698679447,0.000000
1757275141.748230696,0.000000
1757275141.798884392,0.000000
1757275141.849918365,0.000000
1757275141.899325371,0.000000
1757275141.950201273,0.000000
1757275141.999989748,0.000000
1757275142.049768209,0.000000
1757275142.099845648,0.000000
1757275142.149436235,0.000000
1757275142.200646639,0.000000
1757275142.249738932,0.000000
1757275142.299891710,0.000000
1757275142.349748373,0.000000
1757275142.400656700,0.000000
1757275142.451192856,0.000000
1757275142.501092672,0.000000
1757275142.551109552,0.000000
1757275142.601120472,0.000000
1757275142.650226831,0.000000
1757275142.700191975,0.000000
1757275142.751010656,0.000000
1757275142.800328732,0.000000
1757275142.850699425,0.000000
1757275142.904906750,0.000000
1757275142.950631857,0.000000
1757275143.000812531,0.000000
1757275143.050410032,0.000000
1757275143.100739002,0.000000
1757275143.150964737,0.000000
1757275143.200578451,0.000000
1757275143.250765085,0.000000
1757275143.300730228,0.000000
1757275143.350701332,0.000000
1757275143.400443792,0.000000
1757275143.450778961,0.000000
1757275143.500818729,0.000000
1757275143.551007509,0.000000
1757275143.601315022,0.000000
1757275143.651540279,0.000000
1757275143.701276064,0.000000
1757275143.751424313,0.000000
1757275143.801270962,0.000000
1757275143.852134705,0.000000
1757275143.901588917,0.000000
1757275143.951693058,0.000000
1757275144.001416683,0.000000
1757275144.051491261,0.000000
1757275144.101370335,0.000000
1757275144.151832104,0.000000
1757275144.203311682,0.000000
1757275144.254317760,0.000000
1757275144.302522659,0.000000
1757275144.353879690,0.000000
1757275144.403035402,0.000000
1757275144.454145432,0.000000
1757275144.501959085,0.000000
1757275144.552065372,0.000000
1757275144.601972818,0.000000
1757275144.652147293,0.000000
1757275144.701996565,0.000000
1757275144.751878262,0.000000
1757275144.801370382,0.000000
1757275144.851260185,0.000000
1757275144.902022123,0.000000
1757275144.952448606,0.000000
1757275145.002225876,0.000000
1757275145.056288719,0.000000
1757275145.104710579,0.000000
1757275145.153449535,0.000000
1757275145.204547644,0.000000
1757275145.257152557,0.000000
1757275145.306239605,0.000000
1757275145.355800629,0.000000
1757275145.407158613,0.000000
1757275145.455513000,0.000000
1757275145.507221222,0.000000
1757275145.555812359,0.000000
1757275145.605561972,0.000000
1757275145.655712605,0.000000
1757275145.706647396,0.000000
1757275145.754700899,0.000000
1757275145.806645393,0.000000
1757275145.855095625,0.000000
1757275145.905179739,0.000000
1757275145.955859184,0.000000
1757275146.005148649,0.000000
1757275146.055685997,0.000000
1757275146.103625536,0.000000
1757275146.155943155,0.000000
1757275146.208385944,0.000000
1757275146.253401041,0.196000
1757275146.304187298,1.861000
1757275146.357658148,2.066000
1757275146.405817747,1.828000
1757275146.456855774,1.814000
1757275146.505519867,1.123000
1757275146.553688049,0.824000
1757275146.604002714,1.322000
1757275146.653530598,1.085000
1757275146.707183361,1.763000
1757275146.754324436,1.851000
1757275146.808057070,1.715000
1757275146.857119560,1.815000
1757275146.907552958,1.914000
1757275146.954381227,1.907000
1757275147.007193804,1.476000
1757275147.054383516,1.279000
1757275147.107227564,0.625000
1757275147.153568983,0.523000
1757275147.207488775,1.747000
1757275147.254754066,1.854000
1757275147.308097601,1.332000
1757275147.355497122,1.239000
1757275147.409544230,1.862000
1757275147.454989910,1.779000
1757275147.507730961,1.709000
1757275147.555522203,1.744000
1757275147.609230518,1.586000
1757275147.655149937,1.564000
1757275147.708145857,2.037000
1757275147.755411625,2.010000
1757275147.808831215,2.037000
1757275147.856366158,1.912000
1757275147.908814669,1.927000
1757275147.956015825,1.955000
1757275148.007787228,1.718000
1757275148.055820942,1.833000
1757275148.108489752,1.922000
1757275148.155989647,1.991000
1757275148.209567070,1.787000
1757275148.256943941,1.719000
1757275148.309727192,1.889000
1757275148.355821371,1.895000
1757275148.409701824,1.939000
1757275148.456029892,1.941000
1757275148.509566307,1.912000
1757275148.556384802,1.992000
1757275148.608788252,1.553000
1757275148.656952620,1.682000
1757275148.710041046,1.903000
1757275148.756664515,1.942000
1757275148.809380293,2.004000
1757275148.856084824,1.928000
1757275148.910133362,1.894000
1757275148.956260443,1.937000
1757275149.010300398,1.913000
1757275149.055658817,1.974000
1757275149.109305382,2.138000
1757275149.156625748,2.219000
1757275149.209934950,1.885000
1757275149.257392168,1.993000
1757275149.310062885,1.894000
1757275149.357378244,1.909000
1757275149.409213781,1.965000
1757275149.458230734,1.977000
1757275149.510446310,1.927000
1757275149.557444811,1.959000
1757275149.610070229,1.991000
1757275149.657343626,1.940000
1757275149.710768938,1.959000
1757275149.757231474,1.936000
1757275149.809960127,1.835000
1757275149.857700109,1.948000
1757275149.910529137,1.915000
1757275149.958753586,1.937000
1757275150.011064053,2.111000
1757275150.058375597,2.148000
1757275150.111442089,1.933000
1757275150.158553362,1.938000
1757275150.211518288,1.990000
1757275150.258565664,1.983000
1757275150.311419487,1.896000
1757275150.358427763,1.971000
