ros_time_s,Error_Distancia
1757276404.361536503,-0.002049
1757276404.460698366,-0.004715
1757276404.560542822,-0.001889
1757276404.660173655,-0.005305
1757276404.760434866,-0.003480
1757276404.856397867,-0.006883
1757276405.045861959,-0.002662
1757276405.074499607,0.002113
1757276405.154864073,0.007697
1757276405.253189325,0.006312
1757276405.362985611,-0.000158
1757276405.460440397,-0.001621
1757276405.559407473,0.001561
1757276405.662498236,-0.000695
1757276405.753270864,0.012282
1757276405.855198622,0.017626
1757276405.951969385,0.011709
1757276406.060461044,0.004153
1757276406.161019325,-0.001787
1757276406.257015705,0.006466
1757276406.356215000,0.020500
1757276406.455887318,0.015001
1757276406.557269812,0.007666
1757276406.656585693,0.009030
1757276406.754695892,-0.016031
1757276406.855586290,0.011722
1757276406.961981773,-0.005398
1757276407.064361572,0.000276
1757276407.157460451,0.005954
1757276407.261257887,0.004418
1757276407.356544971,0.011560
1757276407.460971117,-0.004027
1757276407.561065674,-0.002146
1757276407.661545992,-0.004698
1757276407.758366346,-0.007276
1757276407.858132362,0.008177
1757276407.955162764,0.007808
1757276408.057040691,0.006824
1757276408.161911964,0.004588
1757276408.262751818,-0.005839
1757276408.362277031,-0.001600
1757276408.463200092,0.000914
1757276408.561113834,-0.002350
1757276408.661278963,-0.006026
1757276408.751890898,-0.009546
1757276408.862399340,-0.003460
1757276408.954974174,-0.012215
1757276409.054271460,0.015784
1757276409.158668518,-0.006959
1757276409.261360884,0.001852
1757276409.361575127,-0.003535
1757276409.463214159,-0.003235
1757276409.561987162,0.002247
1757276409.656357288,0.006639
1757276409.753907204,-0.015272
1757276409.858786345,-0.006109
1757276409.960951090,0.003870
1757276410.059131145,-0.007673
1757276410.159333944,0.007404
1757276410.260309696,-0.008720
1757276410.361349344,0.004780
1757276410.455241680,0.013435
1757276410.551582098,-0.015624
1757276410.662424564,-0.002668
1757276410.759788513,0.006233
1757276410.859391212,0.005085
1757276410.961450577,-0.001001
1757276411.064231634,-0.001301
1757276411.154320717,0.017303
1757276411.262544870,0.004314
1757276411.358352184,-0.007662
1757276411.459551334,0.006512
1757276411.558318138,-0.006182
1757276411.660284996,0.006822
1757276411.762074471,0.001891
1757276411.856519938,-0.009115
1757276411.961150885,-0.003673
1757276412.064128876,-0.000346
1757276412.159396410,0.005839
1757276412.265061378,-0.002001
1757276412.358005285,-0.010313
1757276412.457249641,-0.011290
1757276412.557746410,-0.006562
1757276412.662984848,-0.004147
1757276412.757000446,-0.010172
1757276412.862699270,0.001125
1757276412.961680174,-0.005733
1757276413.058843851,-0.009562
1757276413.155320406,-0.014255
1757276413.262113571,0.001832
1757276413.359972715,0.004863
1757276413.456475019,0.010511
1757276413.559863806,0.007226
1757276413.659277678,0.005529
1757276413.756115913,0.011081
1757276413.858464241,0.008287
1757276413.956844091,0.006629
1757276414.059772730,0.005565
1757276414.154872417,0.010822
1757276414.261786699,-0.000971
1757276414.357449055,-0.007959
1757276414.464017391,-0.005304
1757276414.555724382,0.011928
1757276414.658945560,-0.009382
1757276414.759728670,0.005818
1757276414.853665590,0.009757
1757276414.954636812,0.022958
1757276415.064747572,-0.005400
1757276415.162269115,-0.001712
1757276415.264083624,0.001916
1757276415.356634855,-0.006185
1757276415.456823826,0.012319
1757276415.556313038,0.016755
1757276415.659309626,0.007532
1757276415.763666630,-0.001151
1757276415.865583658,-0.001096
1757276415.966230631,-0.000465
1757276416.064749479,0.000638
1757276416.163241148,0.001535
1757276416.263406515,-0.001116
1757276416.363051176,0.001705
1757276416.457733154,-0.012837
1757276416.555114269,-0.013624
1757276416.660487652,0.002700
1757276416.762385607,0.003675
