ros_time_s,Lecturas_Validas
1757276393.135163069,5.000000
1757276393.234055996,5.000000
1757276393.332288265,4.000000
1757276393.432764053,5.000000
1757276393.534788370,6.000000
1757276393.632479668,7.000000
1757276393.733896971,5.000000
1757276393.832638741,6.000000
1757276393.931475878,4.000000
1757276394.035136938,4.000000
1757276394.133522749,4.000000
1757276394.233182192,5.000000
1757276394.332974434,7.000000
1757276394.433526754,5.000000
1757276394.533174515,7.000000
1757276394.633698702,4.000000
1757276394.733168602,5.000000
1757276394.833213329,5.000000
1757276394.931464195,5.000000
1757276395.032779932,6.000000
1757276395.134984732,4.000000
1757276395.233311415,4.000000
1757276395.335097313,4.000000
1757276395.434143305,5.000000
1757276395.533535480,6.000000
1757276395.633514404,7.000000
1757276395.734067917,5.000000
1757276395.833848238,4.000000
1757276395.932421446,5.000000
1757276396.034244299,4.000000
1757276396.133110285,5.000000
1757276396.233167410,5.000000
1757276396.334460974,5.000000
1757276396.433549643,5.000000
1757276396.534299612,5.000000
1757276396.634274960,5.000000
1757276396.733536959,6.000000
1757276396.833049536,4.000000
1757276396.933377981,4.000000
1757276397.033497334,4.000000
1757276397.132777214,4.000000
1757276397.234848976,4.000000
1757276397.335127592,4.000000
1757276397.434315443,4.000000
1757276397.531757832,4.000000
1757276397.634828329,5.000000
1757276397.728641510,7.000000
1757276397.828510046,6.000000
1757276397.928574562,6.000000
1757276398.028628111,6.000000
1757276398.128200054,5.000000
1757276398.228860855,5.000000
1757276398.328298569,6.000000
1757276398.428263664,7.000000
1757276398.528290749,7.000000
1757276398.628381252,7.000000
1757276398.728574038,6.000000
1757276398.828445196,4.000000
1757276398.928534269,5.000000
1757276399.028582811,6.000000
1757276399.128829956,6.000000
1757276399.228948116,5.000000
1757276399.329678059,4.000000
1757276399.428812265,4.000000
1757276399.529767990,4.000000
1757276399.629061699,4.000000
1757276399.734555721,7.000000
1757276399.829369307,7.000000
1757276399.930142641,4.000000
1757276400.028915167,6.000000
1757276400.134585857,4.000000
1757276400.228878260,5.000000
1757276400.329564571,6.000000
1757276400.428387642,5.000000
1757276400.528732061,5.000000
1757276400.628500223,4.000000
1757276400.728630543,4.000000
1757276400.828640461,4.000000
