ros_time_s,Lidar_Left
1757276393.134519339,0.986778
1757276393.233412027,0.984562
1757276393.331943274,1.004502
1757276393.432165146,0.997690
1757276393.534174681,0.993420
1757276393.632029295,0.994692
1757276393.733265638,0.987538
1757276393.832159281,0.996322
1757276393.931077719,1.008571
1757276394.034538746,1.003269
1757276394.133038282,1.005254
1757276394.232802391,0.998603
1757276394.332381248,0.992188
1757276394.433041811,1.002315
1757276394.532670498,0.992122
1757276394.633172512,1.001551
1757276394.732845306,0.991367
1757276394.832887888,0.987596
1757276394.931071758,0.997110
1757276395.032343388,0.995366
1757276395.134375095,0.988233
1757276395.232824564,1.003524
1757276395.334503412,0.999319
1757276395.433704138,0.992586
1757276395.533040524,1.003066
1757276395.633186102,0.994115
1757276395.733465195,0.994237
1757276395.833314896,0.997666
1757276395.931973457,0.987601
1757276396.033789873,0.995986
1757276396.132564068,0.996887
1757276396.232657909,0.992066
1757276396.333908558,0.993926
1757276396.433196068,0.993738
1757276396.533809900,0.994612
1757276396.633789778,0.990796
1757276396.733218193,0.990293
1757276396.832645178,1.008438
1757276396.933048248,1.004870
1757276397.033008099,1.003476
1757276397.132366419,1.005832
1757276397.234235764,1.001847
1757276397.334529161,1.002584
1757276397.433817148,1.000296
1757276397.531270981,1.001438
1757276397.634277821,0.991832
1757276397.728334188,0.991587
1757276397.828215122,0.995020
1757276397.928231955,0.995547
1757276398.028293610,0.997944
1757276398.127841711,1.005407
1757276398.228356838,1.002847
1757276398.328002214,0.997403
1757276398.427973032,0.995217
1757276398.527966738,0.992901
1757276398.628082037,0.992293
1757276398.728198051,0.996953
1757276398.828102112,1.003447
1757276398.928227425,0.991128
1757276399.028274059,0.988079
1757276399.128384352,0.997113
1757276399.228568792,0.996373
1757276399.329239845,1.004699
1757276399.428425074,1.003164
1757276399.529387712,1.002494
1757276399.628694296,1.003040
1757276399.734178543,0.994461
1757276399.829083204,0.994056
1757276399.929346085,0.997927
1757276400.028650999,0.989126
1757276400.134250164,0.996084
1757276400.228096724,0.993717
1757276400.328335524,0.991615
1757276400.428078651,0.997130
1757276400.528280973,0.994463
1757276400.628202915,1.008176
1757276400.728273630,1.007400
1757276400.828337431,1.008296
1757276400.928274155,1.008932
1757276401.028655291,1.009313
1757276401.128528118,1.010183
1757276401.228081465,0.998197
1757276401.328258991,1.005904
1757276401.428311348,1.005664
1757276401.528074741,1.009023
1757276401.628118038,0.996126
1757276401.728171825,0.989395
1757276401.829036951,0.995467
1757276401.927904606,0.997388
1757276402.028005600,1.009375
1757276402.128216743,1.009141
1757276402.228129864,0.995815
1757276402.330700397,0.997868
1757276402.428148746,0.996812
1757276402.527807713,1.010737
1757276402.628082991,0.996361
1757276402.729421139,1.009485
1757276402.828314066,1.008962
1757276402.927899599,1.006671
1757276403.027942181,1.011001
1757276403.127999306,0.995862
1757276403.227929831,0.998045
1757276403.328314781,1.009576
1757276403.427854061,1.009569
1757276403.528479576,1.004262
1757276403.630387306,0.996742
1757276403.731214285,1.002342
1757276403.829696655,1.003628
1757276403.928960562,1.001535
1757276404.028329611,1.002646
1757276404.127688169,1.002319
1757276404.229209661,1.003006
1757276404.331841230,1.002049
1757276404.433660746,1.004715
1757276404.533476591,1.001889
1757276404.633118868,1.005305
1757276404.735347033,1.003480
1757276404.831296206,1.006883
1757276404.933105469,1.002662
1757276405.028430700,0.997887
1757276405.132462025,0.992303
1757276405.231249332,0.993688
1757276405.333813190,1.000158
1757276405.431755304,1.001621
1757276405.532352924,0.998439
1757276405.632784128,1.000695
1757276405.735671759,0.987718
1757276405.835583925,0.982374
1757276405.931333065,0.988291
1757276406.034230232,0.995846
1757276406.133817911,1.001787
1757276406.234159708,0.993534
1757276406.333880424,0.979500
1757276406.433790684,0.984999
1757276406.533832788,0.992334
1757276406.632982492,0.990970
1757276406.733841181,1.016031
1757276406.834018707,0.988278
1757276406.932241201,1.005398
1757276407.033873320,0.999724
1757276407.133579493,0.994046
1757276407.234362364,0.995582
1757276407.336020947,0.988440
1757276407.432732105,1.004027
1757276407.532983541,1.002146
1757276407.634073257,1.004698
1757276407.734463453,1.007276
1757276407.833739281,0.991823
1757276407.931935072,0.992192
1757276408.032205343,0.993176
1757276408.133564472,0.995412
1757276408.232746601,1.005839
1757276408.333648920,1.001600
1757276408.433786631,0.999087
1757276408.533004284,1.002350
1757276408.634986639,1.006026
1757276408.728767395,1.009546
1757276408.834867001,1.003460
1757276408.933829784,1.012215
1757276409.032457590,0.984216
