ros_time_s,Vel_Des
1757276404.365264893,"1.93,1.73"
1757276404.464255333,"1.93,1.05"
1757276404.564175844,"1.93,1.74"
1757276404.663670540,"1.94,0.67"
1757276404.764069796,"1.93,1.54"
1757276404.859888554,"2.02,0.68"
1757276405.050165653,"1.92,1.66"
1757276405.078299999,"1.72,1.92"
1757276405.158324003,"0.69,2.08"
1757276405.256784201,"0.68,1.98"
1757276405.366420507,"1.93,1.92"
1757276405.463933706,"1.93,1.77"
1757276405.562937021,"1.78,1.93"
1757276405.665960550,"1.93,1.86"
1757276405.756757021,"0.67,2.83"
1757276405.858664513,"0.67,2.83"
1757276405.955447435,"0.67,2.83"
1757276406.064056873,"1.37,1.93"
1757276406.164536715,"1.93,1.75"
1757276406.260611773,"0.68,1.99"
1757276406.359735250,"0.67,2.83"
1757276406.459405422,"0.67,2.83"
1757276406.560830116,"0.69,2.07"
1757276406.660072803,"0.67,2.24"
1757276406.758246422,"2.83,0.67"
1757276406.859075785,"0.67,2.83"
1757276406.965471029,"1.94,0.67"
1757276407.067894936,"1.90,1.93"
1757276407.160932541,"0.67,1.97"
1757276407.264832497,"1.25,1.93"
1757276407.360038757,"0.67,2.83"
1757276407.464447498,"1.93,1.41"
1757276407.564548254,"1.92,1.72"
1757276407.665055752,"1.93,1.06"
1757276407.761882067,"2.05,0.69"
1757276407.861642838,"0.68,2.12"
1757276407.958705425,"0.69,2.08"
1757276408.060507059,"0.68,2.02"
1757276408.165434122,"1.15,1.93"
1757276408.266691923,"1.96,0.67"
1757276408.365873098,"1.93,1.77"
1757276408.466660976,"1.84,1.93"
1757276408.564623833,"1.92,1.70"
1757276408.664841413,"1.97,0.67"
1757276408.755374432,"2.43,0.67"
1757276408.866102457,"1.93,1.54"
1757276408.958523989,"2.83,0.67"
1757276409.057871103,"0.67,2.83"
1757276409.162205458,"2.02,0.69"
1757276409.264909267,"1.75,1.93"
1757276409.365108013,"1.93,1.53"
1757276409.466814995,"1.93,1.58"
1757276409.565464735,"1.71,1.92"
1757276409.660982132,"0.68,2.00"
1757276409.757418394,"2.83,0.67"
1757276409.862357855,"1.97,0.67"
1757276409.964480162,"1.45,1.93"
1757276410.063190222,"2.07,0.69"
1757276410.162848473,"0.69,2.05"
1757276410.263965130,"2.18,0.68"
1757276410.365116358,"0.98,1.93"
1757276410.458931446,"0.67,2.83"
1757276410.555246830,"2.83,0.67"
1757276410.666037321,"1.92,1.66"
1757276410.763343811,"0.67,1.98"
1757276410.862937927,"0.67,1.94"
1757276410.965144157,"1.93,1.83"
1757276411.067803621,"1.93,1.80"
1757276411.157874584,"0.67,2.83"
1757276411.266154051,"1.30,1.93"
1757276411.361842632,"2.07,0.69"
1757276411.463064909,"0.68,2.00"
1757276411.561960220,"1.98,0.67"
1757276411.663878202,"0.68,2.02"
1757276411.765529871,"1.74,1.93"
1757276411.860004902,"2.27,0.67"
1757276411.964735746,"1.93,1.50"
1757276412.067619324,"1.93,1.90"
1757276412.163008928,"0.67,1.96"
1757276412.268553019,"1.93,1.73"
1757276412.361517668,"2.83,0.67"
1757276412.460784674,"2.83,0.67"
1757276412.561295509,"2.00,0.68"
1757276412.666480303,"1.93,1.37"
1757276412.760518312,"2.83,0.67"
1757276412.866359949,"1.82,1.93"
1757276412.965187073,"1.96,0.67"
1757276413.062332392,"2.44,0.67"
1757276413.158927679,"2.83,0.67"
1757276413.265621901,"1.75,1.93"
1757276413.363560915,"0.89,1.93"
1757276413.460079193,"0.67,2.83"
1757276413.563366652,"0.69,2.04"
1757276413.662734270,"0.67,1.95"
1757276413.759588957,"0.67,2.83"
1757276413.861946106,"0.68,2.13"
1757276413.960407972,"0.68,2.00"
1757276414.063329220,"0.67,1.95"
1757276414.158354998,"0.67,2.83"
