ros_time_s,imu_heading
1757276402.369516850,360.000000
1757276402.419345379,360.000000
1757276402.470363379,360.000000
1757276402.520108461,360.000000
1757276402.569858551,360.000000
1757276402.619781494,360.000000
1757276402.671057224,360.000000
1757276402.721592426,360.000000
1757276402.770999908,360.000000
1757276402.820752621,360.000000
1757276402.870062113,360.000000
1757276402.923217773,360.000000
1757276402.970886946,360.000000
1757276403.020697117,360.000000
1757276403.070458412,360.000000
1757276403.120630503,360.000000
1757276403.173034906,360.000000
1757276403.221029282,360.000000
1757276403.270351648,360.000000
1757276403.321678400,360.000000
1757276403.372062445,360.000000
1757276403.421561718,360.000000
1757276403.471948862,360.000000
1757276403.521911383,360.000000
1757276403.571526766,360.000000
1757276403.627417326,360.000000
1757276403.676135540,360.000000
1757276403.725367069,360.000000
1757276403.771891594,360.000000
1757276403.822812080,360.000000
1757276403.871426344,360.000000
1757276403.922711849,360.000000
1757276403.973130465,360.000000
1757276404.022749186,360.000000
1757276404.072386980,360.000000
1757276404.122342587,360.000000
1757276404.171991587,360.000000
1757276404.223010063,360.000000
1757276404.272243977,360.000000
1757276404.328040600,360.000000
1757276404.373586416,360.000000
1757276404.429975033,360.000000
1757276404.473725796,0.000000
1757276404.526324034,0.190000
1757276404.573865175,0.250000
1757276404.627911329,0.310000
1757276404.673537493,0.370000
1757276404.729456186,0.500000
1757276404.773032904,0.560000
1757276404.826865911,0.560000
1757276404.875613213,0.620000
1757276404.927090645,0.750000
1757276404.975203753,1.060000
1757276405.024141073,1.250000
1757276405.073381186,1.560000
1757276405.129317284,1.750000
1757276405.174564362,1.750000
1757276405.227745295,1.870000
1757276405.275410652,1.940000
1757276405.328029871,1.870000
1757276405.372757196,1.810000
1757276405.427196264,1.750000
1757276405.474287510,1.620000
1757276405.528002501,1.560000
1757276405.574335337,1.560000
1757276405.629747391,1.560000
1757276405.675200462,1.560000
1757276405.729102373,1.500000
1757276405.775829077,1.440000
1757276405.830240250,1.440000
1757276405.875869751,1.250000
1757276405.927112103,1.120000
1757276405.980566025,1.060000
1757276406.030555725,1.000000
1757276406.075153351,1.000000
1757276406.131172657,0.940000
1757276406.177095175,0.880000
1757276406.231120825,0.810000
1757276406.278093815,0.810000
1757276406.331162453,0.690000
1757276406.378432035,0.560000
1757276406.430967093,0.250000
1757276406.478073597,359.940000
1757276406.531907797,359.620000
1757276406.579086781,359.370000
1757276406.630792379,359.060000
1757276406.679412127,358.750000
1757276406.733159542,358.250000
1757276406.780133963,357.940000
1757276406.832563400,357.620000
1757276406.880449533,357.500000
1757276406.931575298,357.370000
1757276406.978664875,357.060000
1757276407.033783913,356.940000
1757276407.078267097,357.190000
1757276407.133133173,357.250000
1757276407.179870605,357.190000
1757276407.234199762,357.190000
1757276407.279316187,357.120000
1757276407.335196972,357.120000
1757276407.380490541,357.000000
1757276407.435317278,357.000000
1757276407.480340958,357.000000
1757276407.533169985,356.940000
1757276407.580220222,356.870000
1757276407.633783102,356.750000
1757276407.679753065,356.750000
1757276407.734353065,356.750000
1757276407.781437397,356.690000
1757276407.834198952,356.690000
1757276407.880922794,356.870000
1757276407.932481766,356.870000
1757276407.981743097,356.690000
1757276408.031791687,356.500000
1757276408.080645084,356.370000
1757276408.133364439,356.370000
1757276408.179681778,356.120000
1757276408.232282400,355.940000
1757276408.278717279,355.870000
1757276408.333424568,355.690000
1757276408.380731344,355.810000
1757276408.435229778,355.810000
1757276408.480718374,355.750000
1757276408.534389734,355.810000
1757276408.582672119,355.810000
1757276408.637144804,355.810000
1757276408.682173967,355.810000
1757276408.730822325,355.870000
1757276408.783648014,356.000000
1757276408.835746288,356.190000
1757276408.881958485,356.440000
1757276408.936309814,356.440000
1757276408.985267639,356.560000
1757276409.036183834,356.810000
1757276409.085043192,357.190000
1757276409.136761427,357.190000
1757276409.182735920,357.120000
1757276409.233082056,357.000000
1757276409.282885313,357.190000
1757276409.335687399,357.190000
1757276409.385703325,357.190000
1757276409.437178373,357.190000
1757276409.483364344,357.250000
1757276409.536928654,357.250000
1757276409.586108923,357.440000
1757276409.633841515,357.370000
1757276409.685626984,357.370000
1757276409.735019207,357.370000
1757276409.785219431,357.000000
1757276409.835773945,356.750000
1757276409.884246826,357.310000
1757276409.934978008,357.690000
1757276409.983334303,357.940000
1757276410.036468267,358.060000
1757276410.086281776,357.870000
1757276410.138035297,357.870000
1757276410.182957411,358.250000
1757276410.237393379,358.500000
1757276410.284375191,358.190000
1757276410.335427523,358.120000
1757276410.383901596,358.440000
1757276410.434978247,358.370000
1757276410.485130072,358.310000
1757276410.533416510,358.190000
1757276410.584989548,358.000000
1757276410.635740042,358.000000
1757276410.683123112,358.120000
1757276410.736485720,358.500000
1757276410.785515785,358.440000
1757276410.836082220,358.500000
1757276410.883326769,358.120000
1757276410.934433222,357.810000
1757276410.982939720,357.440000
1757276411.036555052,357.250000
1757276411.083064556,357.190000
1757276411.134105682,357.310000
1757276411.183962584,357.190000
1757276411.236970901,357.120000
1757276411.285938025,356.940000
1757276411.338356733,356.750000
1757276411.382896423,356.620000
1757276411.438659430,356.560000
1757276411.485902548,356.690000
1757276411.535244942,356.870000
1757276411.585198164,356.750000
1757276411.638420105,356.560000
1757276411.683740377,356.810000
1757276411.735545874,356.870000
1757276411.783844948,356.690000
1757276411.835241318,356.500000
1757276411.886086702,356.440000
1757276411.937935114,356.500000
1757276411.985214710,356.810000
1757276412.034769058,357.060000
1757276412.081882477,357.190000
1757276412.135226250,357.310000
1757276412.184571505,357.250000
1757276412.238753080,357.250000
1757276412.282469749,357.000000
1757276412.336581230,356.870000
1757276412.384987116,356.870000
1757276412.439372301,356.940000
1757276412.484948635,357.250000
1757276412.534813166,357.560000
1757276412.585559368,358.000000
1757276412.636515141,358.560000
1757276412.685518265,358.870000
1757276412.736028194,359.310000
1757276412.786154032,359.440000
1757276412.837677240,359.560000
1757276412.886125326,0.060000
1757276412.937366962,0.750000
1757276412.988043785,0.560000
1757276413.035880566,0.690000
1757276413.084535122,1.000000
1757276413.136205912,1.440000
1757276413.186228752,2.190000
1757276413.235762835,2.500000
1757276413.284543753,3.120000
1757276413.336896181,3.620000
1757276413.386214733,3.440000
1757276413.439024210,3.690000
1757276413.487356901,3.440000
1757276413.537921429,3.120000
1757276413.587964773,2.370000
1757276413.636664629,2.000000
1757276413.686265945,1.750000
1757276413.739385366,1.310000
1757276413.787529707,1.310000
1757276413.837411880,1.190000
1757276413.888368845,0.810000
1757276413.935895920,0.370000
1757276413.987223387,359.870000
1757276414.037324190,359.500000
