ros_time_s,omega_2
1757276402.368145466,0.000000
1757276402.417993069,0.000000
1757276402.468998671,0.000000
1757276402.518695354,0.000000
1757276402.568470955,0.000000
1757276402.618402719,0.000000
1757276402.669507027,0.000000
1757276402.720044851,0.000000
1757276402.769399881,0.000000
1757276402.819323301,0.000000
1757276402.868743896,0.000000
1757276402.919198275,0.000000
1757276402.969541311,0.000000
1757276403.019403934,0.000000
1757276403.069121122,0.000000
1757276403.119238853,0.000000
1757276403.171479702,0.000000
1757276403.219687700,0.000000
1757276403.268948555,0.000000
1757276403.320264339,0.000000
1757276403.370766640,0.000000
1757276403.419991970,0.000000
1757276403.470378399,0.000000
1757276403.520614386,0.000000
1757276403.570044518,0.000000
1757276403.623571873,0.000000
1757276403.673457861,0.000000
1757276403.723029852,0.000000
1757276403.770505190,0.000000
1757276403.820895672,0.000000
1757276403.870080471,0.000000
1757276403.921202660,0.000000
1757276403.971426010,0.000000
1757276404.021446466,0.000000
1757276404.071032047,0.000000
1757276404.121069670,0.000000
1757276404.170717955,0.000000
1757276404.221575260,0.000000
1757276404.270853281,0.000000
1757276404.324844837,0.000000
1757276404.371843815,0.000000
1757276404.426187992,1.921000
1757276404.472276926,1.621000
1757276404.523758888,1.108000
1757276404.572677851,0.770000
1757276404.625188351,1.965000
1757276404.671999931,1.723000
1757276404.726113319,0.731000
1757276404.771787405,0.614000
1757276404.824259281,1.626000
1757276404.873720407,0.989000
1757276404.924441099,0.357000
1757276404.973326683,0.845000
1757276405.022861481,0.372000
1757276405.072120905,1.026000
1757276405.126521111,2.075000
1757276405.172591448,2.076000
1757276405.224854946,2.156000
1757276405.273452520,2.051000
1757276405.325116873,2.070000
1757276405.371629477,1.976000
1757276405.424557924,1.941000
1757276405.472638369,1.830000
1757276405.525152445,1.831000
1757276405.572534323,1.782000
1757276405.626139641,1.914000
1757276405.673375845,2.037000
1757276405.725790501,1.985000
1757276405.773671150,1.943000
1757276405.826654434,2.207000
1757276405.874107361,2.169000
1757276405.924639463,2.208000
1757276405.977354527,2.155000
1757276406.027354479,2.185000
1757276406.073883057,2.047000
1757276406.128088474,2.010000
1757276406.175213575,1.809000
1757276406.227947474,1.773000
1757276406.275879860,1.797000
1757276406.327970982,2.030000
1757276406.376501560,1.983000
1757276406.427758932,2.173000
1757276406.475873232,2.102000
1757276406.528529167,2.052000
1757276406.576965809,2.186000
1757276406.627832413,2.051000
1757276406.677311659,2.138000
1757276406.729836702,2.156000
1757276406.777381420,1.093000
1757276406.829113960,0.440000
1757276406.878154993,0.993000
1757276406.928932190,1.917000
1757276406.976855755,1.714000
1757276407.030540466,0.602000
1757276407.076868773,0.722000
1757276407.129928589,2.022000
1757276407.177970171,2.012000
1757276407.230749607,2.015000
1757276407.277077198,2.039000
1757276407.331305504,1.973000
1757276407.378424168,1.932000
1757276407.432056427,2.112000
1757276407.478369236,2.039000
1757276407.530555725,1.557000
1757276407.578304529,1.470000
1757276407.630235672,1.759000
1757276407.677313328,1.536000
1757276407.730829716,0.909000
1757276407.778462410,0.474000
1757276407.830662727,0.866000
1757276407.878859043,0.478000
1757276407.929168701,2.029000
1757276407.978751421,2.067000
1757276408.029377460,2.055000
1757276408.078512430,2.086000
1757276408.130999804,2.027000
1757276408.177794933,2.056000
1757276408.229440689,2.004000
1757276408.276748896,1.742000
1757276408.331017494,0.406000
1757276408.378963232,0.721000
1757276408.431899786,1.854000
1757276408.478883982,1.785000
1757276408.531744957,1.986000
1757276408.580559731,1.894000
1757276408.633038282,1.799000
1757276408.679478884,1.637000
1757276408.729341745,0.342000
1757276408.781326532,0.748000
1757276408.832283735,0.262000
1757276408.879639864,0.852000
1757276408.932650089,1.537000
1757276408.982396603,0.592000
1757276409.032529354,0.552000
1757276409.082049370,1.378000
1757276409.132790804,2.249000
1757276409.179636955,1.603000
1757276409.230929136,0.402000
1757276409.279912233,0.770000
1757276409.332665682,2.066000
1757276409.382632732,1.869000
1757276409.433841228,1.546000
1757276409.480578661,1.510000
1757276409.533513069,1.599000
1757276409.583066463,1.719000
1757276409.631945133,1.964000
1757276409.682968855,1.992000
1757276409.733372211,2.031000
1757276409.782223701,0.478000
1757276409.833485126,0.283000
1757276409.881769896,0.941000
1757276409.932860851,0.337000
1757276409.981371641,1.050000
1757276410.034641743,2.043000
1757276410.083136559,1.540000
1757276410.133797884,0.351000
1757276410.180786133,0.769000
1757276410.233389854,2.062000
1757276410.280873060,1.527000
1757276410.332421064,0.395000
1757276410.381525993,0.768000
1757276410.432467937,2.055000
1757276410.482522964,1.995000
1757276410.531376123,2.238000
1757276410.582195282,1.115000
1757276410.633009195,0.344000
1757276410.680805445,1.187000
1757276410.734323978,1.582000
1757276410.782770872,1.776000
1757276410.833925962,2.038000
1757276410.881291151,2.038000
1757276410.932123184,1.971000
1757276410.981003046,1.994000
1757276411.034340382,1.824000
1757276411.081304789,1.818000
1757276411.131967783,1.849000
1757276411.181626081,1.954000
1757276411.233706951,2.216000
1757276411.282929897,1.692000
1757276411.334661007,2.026000
1757276411.380710125,1.329000
1757276411.434045792,0.481000
1757276411.482916117,0.814000
1757276411.533055305,2.076000
1757276411.582509279,0.987000
1757276411.634422779,0.296000
1757276411.681375265,0.831000
1757276411.733513117,2.128000
1757276411.781590462,1.975000
1757276411.833131790,1.913000
1757276411.883517265,1.515000
1757276411.933723211,0.245000
1757276411.982565641,0.886000
1757276412.032109022,1.428000
1757276412.079988003,1.522000
1757276412.133111477,1.932000
1757276412.182227135,1.990000
1757276412.234479189,2.033000
1757276412.280216217,1.855000
1757276412.334046364,1.798000
1757276412.382219076,0.689000
1757276412.435522556,0.323000
1757276412.482849598,0.762000
1757276412.532789707,0.506000
1757276412.583207846,0.664000
1757276412.633549452,0.495000
1757276412.682524204,1.129000
1757276412.733820915,1.506000
1757276412.783331633,0.344000
1757276412.834322929,0.730000
1757276412.883562803,1.174000
1757276412.934282064,2.064000
1757276412.984457016,1.321000
1757276413.034072161,0.380000
1757276413.082475185,0.821000
1757276413.133698702,0.305000
1757276413.183303833,0.819000
1757276413.234061718,0.374000
1757276413.282442808,0.752000
1757276413.334407091,2.032000
1757276413.383439302,1.983000
1757276413.435931206,1.970000
1757276413.484459162,1.935000
1757276413.535288811,2.108000
1757276413.585219622,2.229000
1757276413.634278059,2.117000
1757276413.683920622,2.032000
1757276413.735936403,1.974000
1757276413.784695387,2.049000
1757276413.835802555,2.198000
1757276413.886107683,2.116000
1757276413.933947802,2.183000
1757276413.984728575,2.115000
1757276414.034495592,2.051000
1757276414.083262444,1.936000
1757276414.135672092,1.838000
1757276414.184310198,2.109000
1757276414.234509230,2.157000
1757276414.283738375,1.720000
1757276414.334718943,1.916000
1757276414.384297371,0.719000
1757276414.436310053,0.348000
1757276414.482315302,0.917000
1757276414.534502029,0.364000
1757276414.585219383,0.982000
1757276414.636525154,2.102000
1757276414.685344219,1.043000
1757276414.736804724,0.372000
1757276414.784985781,1.170000
1757276414.833715677,2.113000
1757276414.885084152,2.068000
1757276414.933860540,2.205000
1757276414.985502481,2.249000
1757276415.036688805,2.193000
1757276415.082356930,2.186000
1757276415.134140253,0.581000
1757276415.182490587,0.564000
1757276415.236494780,1.884000
1757276415.283576250,1.832000
1757276415.335151911,1.939000
1757276415.386096478,0.949000
1757276415.436230659,0.370000
1757276415.485009670,1.059000
1757276415.538240194,2.068000
1757276415.585355520,2.134000
1757276415.636325598,2.130000
1757276415.683156490,2.063000
1757276415.735870123,2.109000
1757276415.784135103,1.738000
1757276415.836506844,1.880000
1757276415.882442713,1.877000
1757276415.934211493,1.862000
1757276415.983092546,1.805000
1757276416.034401655,1.957000
1757276416.081834555,1.936000
1757276416.134954453,1.943000
1757276416.183445215,1.913000
1757276416.235253096,1.974000
1757276416.283793926,1.939000
1757276416.336503744,1.789000
1757276416.383320570,1.888000
1757276416.435212135,1.994000
1757276416.483300686,0.995000
1757276416.534312725,0.318000
1757276416.583306789,0.889000
1757276416.633560658,0.343000
1757276416.684112787,0.894000
1757276416.735964298,2.068000
1757276416.785377741,1.952000
1757276416.838057280,1.947000
1757276416.884063721,1.556000
1757276416.935485840,1.797000
1757276416.984524012,1.827000
1757276417.034533739,1.975000
1757276417.085125685,1.969000
1757276417.135525465,2.108000
1757276417.185613155,1.062000
1757276417.238899231,1.484000
1757276417.286475420,1.499000
1757276417.336552620,1.547000
1757276417.387945890,1.773000
1757276417.436636448,2.204000
1757276417.486885786,1.079000
1757276417.535701036,0.345000
1757276417.586576939,0.862000
1757276417.636767626,0.357000
1757276417.686792850,0.936000
1757276417.737477541,2.180000
1757276417.785332918,1.713000
1757276417.838437319,1.968000
1757276417.886211634,0.886000
1757276417.937052488,0.339000
1757276417.987932920,0.939000
1757276418.037539244,0.316000
1757276418.086709738,0.762000
1757276418.138156891,0.511000
1757276418.186843872,0.819000
1757276418.236450672,0.321000
1757276418.286195278,0.684000
1757276418.338030100,1.263000
1757276418.386527300,0.538000
