ros_time_s,Error_Distancia
1758472695.331884146,-0.060888
1758472695.430152893,-0.036133
1758472695.526119947,-0.078664
1758472695.628243923,-0.075783
1758472695.730651855,0.015892
1758472695.828532219,-0.064991
1758472696.014155865,-0.080427
1758472696.035834551,-0.019663
1758472696.125569105,0.012183
1758472696.228156090,-0.035665
1758472696.327188730,-0.071043
1758472696.429035425,-0.078526
1758472696.526622295,-0.073577
1758472696.623925924,-0.073584
1758472696.728641510,-0.069808
1758472696.828062057,-0.077301
1758472696.926025867,-0.077244
1758472697.026493788,-0.077643
1758472697.127846956,-0.079219
1758472697.227745533,-0.076066
1758472697.329902649,-0.081091
1758472697.427844286,-0.073666
1758472697.526703835,-0.064403
1758472697.626917839,-0.073819
1758472697.727872849,-0.070305
1758472697.830629349,-0.071218
1758472697.927822113,-0.079411
1758472698.027234793,-0.076463
1758472698.127267838,-0.070958
1758472698.228440762,-0.086244
1758472698.328421354,-0.079358
1758472698.428968668,-0.072447
1758472698.528011322,-0.086531
1758472698.627677679,-0.078715
1758472698.728267431,-0.066139
1758472698.829241514,-0.089897
1758472698.927577972,-0.069332
1758472699.027490377,-0.074295
1758472699.127873898,-0.079784
1758472699.228449106,-0.084324
1758472699.327524185,-0.074860
1758472699.429100275,-0.085611
1758472699.528822184,-0.068765
1758472699.627352476,-0.082702
1758472699.727786303,-0.075322
1758472699.827128887,-0.087893
1758472699.927314758,-0.065448
1758472700.028251886,-0.079509
1758472700.127903938,-0.090704
1758472700.228151560,-0.077553
1758472700.326965094,-0.076885
1758472700.426405191,-0.093285
1758472700.527613640,-0.082521
1758472700.628399611,-0.078829
1758472700.729995489,-0.076391
1758472700.826657534,-0.087375
1758472700.927617311,-0.077029
1758472701.026829720,-0.074590
1758472701.126819134,-0.083544
1758472701.228239059,-0.072349
1758472701.327141285,-0.066424
1758472701.426915407,-0.091344
1758472701.526678801,-0.063234
1758472701.628648043,-0.079198
1758472701.726905346,-0.076444
1758472701.826882839,-0.077835
1758472701.927306175,-0.072202
1758472702.026518345,-0.081977
1758472702.128496885,-0.053898
1758472702.227826834,-0.061433
1758472702.326612234,-0.081463
1758472702.427484512,-0.084439
1758472702.528040409,-0.063049
1758472702.627741337,-0.080089
1758472702.727364063,-0.076073
1758472702.827788830,-0.079658
1758472702.927719831,-0.064264
1758472703.028464556,-0.076791
1758472703.129340887,-0.070837
1758472703.226741314,-0.071649
1758472703.328706980,-0.065699
1758472703.428146124,-0.081783
1758472703.528299570,-0.081048
1758472703.628687859,-0.074625
1758472703.727372646,-0.062696
1758472703.829544783,-0.072341
1758472703.925166368,-0.079829
1758472704.028037786,-0.080873
1758472704.125987053,-0.033865
1758472704.227001905,-0.096652
1758472704.326754332,-0.084694
1758472704.426007271,-0.071919
1758472704.526986837,-0.043921
1758472704.626146317,-0.076835
1758472704.724529743,-0.077883
1758472704.825005770,-0.045920
1758472704.926515341,-0.080745
1758472705.027681112,-0.080083
1758472705.126376629,-0.059209
1758472705.226365328,-0.104607
1758472705.324442625,-0.084529
1758472705.428035498,-0.080069
1758472705.528701782,-0.069285
1758472705.626267195,-0.075718
1758472705.725270033,-0.042486
1758472705.826143742,-0.086107
1758472705.924626589,-0.083013
1758472706.026483774,-0.083879
1758472706.128334284,-0.092303
1758472706.227157593,-0.084753
1758472706.327016592,-0.065821
1758472706.427514076,-0.091921
1758472706.525926113,-0.075932
1758472706.624256849,-0.049274
1758472706.726023912,-0.029086
1758472706.825421572,-0.063371
1758472706.928185940,-0.052444
1758472707.025454283,-0.073203
1758472707.124492645,-0.053383
1758472707.228399754,-0.059001
1758472707.423452854,-0.057621
1758472707.526686907,-0.046895
1758472707.626873493,-0.060120
1758472707.727748156,-0.083597
1758472707.824420691,-0.070649
1758472707.926984787,-0.053684
1758472708.027547121,-0.088872
1758472708.124882698,-0.103635
1758472708.425700426,-0.109624
1758472708.726881981,-0.119425
1758472708.926559687,-0.113171
1758472709.028164387,-0.107142
1758472709.123489857,-0.120708
1758472709.223639011,-0.120580
1758472709.326358557,-0.115619
1758472709.426491737,-0.106257
1758472709.523546457,-0.129088
1758472709.625141621,-0.119515
1758472709.724920750,-0.136594
1758472710.125169516,-0.140023
1758472710.226458073,-0.119961
1758472710.723679781,-0.115122
1758472710.825047970,-0.129510
1758472711.223558187,-0.134169
1758472711.427956343,-0.144720
1758472711.524015427,-0.126200
1758472711.623501778,-0.132467
1758472711.722895622,-0.118118
1758472711.824232817,-0.127424
1758472711.925197363,-0.109866
1758472712.024844170,-0.097140
1758472712.123267651,-0.103433
1758472712.224028111,-0.098243
1758472712.323939323,-0.073734
1758472712.423654079,-0.099651
1758472712.524157524,-0.110468
1758472712.623544931,-0.090182
1758472712.722537756,-0.076901
1758472712.824568748,-0.094468
1758472712.924888372,-0.089859
1758472713.024008989,-0.079584
1758472713.123494864,-0.048042
1758472713.223380804,-0.062837
1758472713.322390318,-0.076878
1758472713.424976349,-0.039852
1758472713.523176670,-0.054555
1758472713.622106075,-0.052238
1758472713.721866846,-0.060525
1758472713.823154926,-0.088447
1758472713.924607277,-0.067881
1758472714.024220228,-0.086694
1758472714.123907566,-0.088013
1758472714.223467827,-0.100352
1758472714.321913719,-0.093149
1758472714.423185587,-0.086796
1758472714.523188591,-0.051306
1758472714.622632027,-0.092289
1758472714.722953796,-0.065379
1758472714.822542667,-0.088606
1758472714.923261404,-0.081326
1758472715.021144390,-0.062277
1758472715.121773005,-0.059059
1758472715.222860098,-0.081692
1758472715.323662519,-0.062424
1758472715.421050072,-0.126481
1758472715.521575212,-0.082794
1758472715.621913910,-0.094845
1758472715.723514080,-0.085385
1758472715.825002432,-0.046227
1758472715.922978640,-0.041856
1758472716.022643566,-0.046300
1758472716.122012377,-0.039386
1758472716.221166849,-0.047082
1758472716.323123455,-0.088339
1758472716.422690868,-0.033896
1758472716.521801233,-0.049880
1758472716.621887684,-0.027548
1758472716.721552849,-0.041753
1758472716.824150085,-0.032175
1758472717.022383451,-0.106764
1758472717.120772839,-0.108437
1758472717.321001530,-0.118174
1758472717.523613930,-0.109828
1758472717.621547699,-0.119914
1758472717.822056055,-0.118417
1758472717.921088934,-0.115742
1758472718.124448776,-0.114709
1758472718.222835302,-0.057342
1758472718.321249723,-0.065935
1758472718.422192574,-0.061513
1758472718.521641493,-0.029288
1758472718.622484207,-0.033558
1758472718.723803759,-0.061372
1758472718.824729204,-0.014061
1758472718.921192408,-0.041605
1758472719.022230387,-0.037119
1758472719.120976925,-0.031664
1758472719.223314762,-0.040956
1758472719.324779272,-0.022313
1758472719.423968554,-0.053973
1758472719.521197557,-0.067345
1758472719.622059345,-0.013329
1758472719.723780394,-0.011775
1758472719.825317860,-0.008944
1758472719.923931837,0.007102
1758472720.029337168,0.000459
1758472720.127500057,-0.002160
1758472720.225885153,-0.009452
1758472720.322034121,-0.007496
1758472720.425400972,0.006396
1758472720.528452873,-0.005633
1758472720.629110098,-0.002634
1758472720.721904993,-0.016505
1758472720.829427481,0.001945
1758472720.922602177,-0.013144
1758472721.029787064,-0.005368
1758472721.128400564,-0.007443
1758472721.230875254,0.001284
1758472721.327104330,-0.010238
1758472721.423837662,-0.012821
1758472721.523017168,-0.022739
1758472721.631778479,-0.005019
1758472721.726223469,-0.009933
1758472721.822982550,-0.026398
1758472721.931586027,0.000119
1758472722.025878191,-0.007988
1758472722.125541210,-0.015155
1758472722.223819971,-0.032728
1758472722.329569817,-0.002655
1758472722.423527479,-0.017200
1758472722.530736685,-0.002274
1758472722.625215054,-0.036299
1758472722.724044323,-0.046961
1758472722.824514627,0.028659
1758472722.922670841,-0.021419
1758472723.025461435,-0.043270
1758472723.124034882,-0.036253
1758472723.223491907,-0.031559
1758472723.326335907,-0.041717
1758472723.425372601,-0.019651
1758472723.524286509,-0.036131
1758472723.625991821,0.007908
1758472723.723333359,-0.038918
1758472723.825035572,-0.032624
1758472723.925629377,-0.021445
1758472724.025393724,-0.012214
1758472724.123798609,-0.026047
1758472724.232856989,-0.000614
1758472724.323497534,-0.051522
1758472724.426347971,-0.038174
1758472724.525619030,-0.036883
1758472724.627315760,-0.017662
1758472724.724060059,-0.047169
1758472724.825268984,-0.046885
1758472724.925778866,-0.037085
1758472725.025565624,-0.058426
1758472725.135774136,0.049087
1758472725.224743605,0.099866
1758472725.324646950,-0.024836
1758472725.426472187,-0.051613
1758472725.523804188,0.042408
1758472725.628686190,0.104268
1758472725.724691153,0.041103
1758472725.824707508,-0.028557
1758472725.926928759,0.057491
1758472726.027595758,-0.061722
1758472726.126386404,-0.038804
1758472726.225175142,0.055331
1758472726.325618982,0.037605
1758472726.426557541,-0.048109
1758472726.524415731,-0.051612
1758472726.626902580,-0.019651
1758472726.726342678,-0.021796
1758472726.825717449,0.035976
1758472726.926998377,-0.015508
1758472727.026241064,-0.026010
1758472727.126982689,-0.030485
1758472727.226235390,0.056518
1758472727.326028824,-0.017682
1758472727.427294731,-0.020486
1758472727.528828144,0.007262
1758472727.626169443,-0.027157
1758472727.727974653,0.010039
1758472727.827945709,-0.047020
1758472727.926787853,-0.021482
1758472728.025969505,-0.023179
1758472728.129117012,-0.007064
1758472728.221574068,-0.024964
1758472728.329381466,-0.048503
1758472728.427538633,-0.015876
1758472728.527351618,0.033231
1758472728.626816750,-0.053043
1758472728.726005077,0.039138
1758472728.828485727,0.093636
1758472728.927031517,0.053435
1758472729.026129246,0.040169
1758472729.127402782,0.111003
1758472729.227612734,0.032347
1758472729.327999830,0.023645
1758472729.427249670,0.038339
1758472729.530059576,0.008101
1758472729.628306866,-0.044645
1758472729.727991343,-0.024639
1758472729.829276562,0.029399
1758472729.927753925,0.052998
1758472730.027551651,-0.049154
1758472730.127157211,-0.043895
1758472730.228975773,-0.028142
1758472730.327615499,-0.018588
1758472730.427912235,-0.055362
1758472730.535391092,0.001131
1758472730.627620697,-0.027345
1758472730.729942560,-0.051235
1758472730.827870131,-0.029527
1758472730.926635981,-0.019071
1758472731.034162760,0.002390
1758472731.130742073,0.006568
1758472731.229451895,-0.042567
1758472731.327314377,-0.055212
1758472731.434684992,-0.003537
1758472731.529001951,-0.041899
1758472731.627424717,-0.028683
1758472731.729340315,-0.061287
1758472731.827219963,-0.028200
1758472731.928705931,-0.066383
1758472732.028315067,-0.035358
1758472732.128298283,-0.029025
1758472732.227195978,-0.021431
1758472732.327250719,-0.065713
1758472732.434522867,-0.003495
1758472732.527713060,-0.074753
1758472732.628577232,-0.031788
1758472732.728574991,-0.062138
1758472732.828030348,-0.026230
1758472732.928006411,-0.068262
1758472733.027755976,-0.040732
1758472733.129498959,-0.070501
1758472733.226882219,-0.070683
1758472733.327453375,-0.052073
1758472733.427441120,-0.016626
1758472733.527052402,-0.079333
1758472733.629933119,-0.052841
1758472733.726498365,-0.050378
1758472733.831209183,-0.078633
1758472733.927341938,-0.053569
1758472734.028839350,-0.063023
1758472734.128492594,-0.068041
1758472734.228558064,-0.058022
1758472734.326771259,-0.058316
1758472734.427657843,-0.063412
1758472734.528777838,-0.061340
1758472734.630537748,-0.090744
1758472734.726928711,-0.091939
1758472734.828119755,-0.067080
1758472734.929810524,-0.063484
1758472735.029316664,-0.062645
1758472735.126527786,-0.078368
1758472735.227017403,-0.033949
1758472735.328557730,-0.068859
1758472735.430042267,-0.078234
1758472735.530109406,-0.068925
1758472735.628870726,-0.072305
1758472735.727745533,-0.079692
1758472735.828418493,-0.079229
1758472735.927525997,-0.075116
1758472736.028400660,-0.074914
1758472736.127905130,-0.078556
1758472736.226903200,-0.051020
1758472736.327801943,-0.074473
1758472736.428473949,-0.079553
1758472736.529345512,-0.072509
1758472736.628348589,-0.084396
1758472736.726717472,-0.072467
1758472736.827848673,-0.082303
1758472736.927342176,-0.077170
1758472737.029007673,-0.079705
1758472737.127376795,-0.089633
1758472737.229903221,-0.085034
1758472737.328169107,-0.086337
1758472737.430529118,-0.082024
