ros_time_s,Imu_Error_yaw
1758472682.904875517,0.000000
1758472683.005860090,0.000000
1758472683.105021715,0.000000
1758472683.206191778,0.000000
1758472683.304541349,0.000000
1758472683.404807329,0.000000
1758472683.504856586,0.000000
1758472683.605540037,0.000000
1758472683.704101801,0.000000
1758472683.803985357,0.000000
1758472683.904447317,0.000000
1758472684.006534100,0.000000
1758472684.105973005,0.000000
1758472684.206019878,0.000000
1758472684.307226658,0.000000
1758472684.406118870,0.000000
1758472684.503320217,0.000000
1758472684.600545883,0.000000
1758472684.701377630,0.000000
1758472684.800991058,0.000000
1758472684.901324749,0.000000
1758472685.000833988,0.000000
1758472685.100777149,0.000000
1758472685.200839520,0.000000
1758472685.301472425,0.000000
1758472685.400752783,0.000000
1758472685.500619411,0.000000
1758472685.605491638,0.000000
1758472685.706061840,0.000000
1758472685.805905104,0.000000
1758472685.906634331,0.000000
1758472686.005125523,0.000000
1758472686.105875969,0.000000
1758472686.204961300,0.000000
1758472686.306063652,0.000000
1758472686.404995441,0.000000
1758472686.505206347,0.000000
1758472686.600525618,0.000000
1758472686.701444149,0.000000
1758472686.800718069,0.000000
1758472686.900753260,0.000000
1758472687.000952005,0.000000
1758472687.102337360,0.000000
1758472687.201145887,0.000000
1758472687.300540924,0.000000
1758472687.400362253,0.000000
1758472687.501012564,0.000000
1758472687.606718540,0.000000
1758472687.704817772,0.000000
1758472687.805916786,0.000000
1758472687.905900240,0.000000
1758472688.007334232,0.000000
1758472688.101016521,0.000000
1758472688.200783253,0.000000
1758472688.300465822,0.000000
1758472688.400819302,0.000000
1758472688.500496149,0.000000
1758472688.600662231,0.000000
1758472688.700510502,0.000000
1758472688.800413609,0.000000
1758472688.900302887,0.000000
1758472689.000352621,0.000000
1758472689.100591898,0.000000
1758472689.201158762,0.000000
1758472689.300907373,0.000000
1758472689.403244257,0.000000
1758472689.501339674,0.000000
1758472689.600663900,0.000000
1758472689.700610876,0.000000
1758472689.800646544,0.000000
1758472689.900570869,0.000000
1758472690.000472307,0.000000
1758472690.100566864,0.000000
1758472690.200914383,0.000000
1758472690.302805185,0.000000
1758472690.403507471,0.000000
1758472690.502106667,0.000000
1758472690.604342937,0.000000
1758472690.702891827,0.000000
1758472690.801246881,0.000000
1758472690.901951790,0.000000
1758472691.001575470,0.000000
1758472691.105854750,0.000000
1758472691.203246593,0.000000
1758472691.301709414,0.000000
1758472691.402714014,0.000000
1758472691.504935026,0.000000
1758472691.606387138,0.000000
1758472691.700944901,0.000000
1758472691.803829670,0.000000
1758472691.901205540,0.000000
1758472692.000366926,0.000000
1758472692.100307941,0.000000
1758472692.201523781,0.000000
1758472692.300747633,0.000000
1758472692.401391268,0.000000
1758472692.501639843,0.000000
1758472692.602338552,0.000000
1758472692.707299232,0.000000
1758472692.801534891,0.000000
1758472692.900816917,0.000000
1758472693.001695156,0.000000
1758472693.102405071,0.000000
1758472693.201924562,0.000000
1758472693.303128481,0.000000
1758472693.400878191,0.000000
1758472693.501632690,0.000000
1758472693.600331068,0.000000
1758472693.701033115,0.000000
1758472693.802206039,0.000000
1758472693.900448322,0.000000
1758472694.000663519,0.000000
1758472694.101108313,0.000000
1758472694.201116085,0.000000
1758472694.300991774,0.000000
1758472694.400500774,0.000000
1758472694.500334740,0.000000
1758472694.600565434,0.000000
1758472694.701282263,0.000000
1758472694.800735712,0.000000
1758472694.900534153,0.000000
1758472695.000217915,0.000000
1758472695.100171566,0.000000
1758472695.200030804,0.000000
1758472695.305377483,0.000000
1758472695.407511473,0.000000
1758472695.505850792,0.000000
1758472695.606032848,0.002269
1758472695.706887960,0.000000
1758472695.806022882,-0.001047
1758472695.906393290,0.006632
1758472696.000663757,0.008727
1758472696.103189468,0.007679
1758472696.207033634,0.006632
1758472696.305898666,0.014137
1758472696.407343149,0.016406
1758472696.505128622,0.015359
1758472696.602853775,0.014137
1758472696.706169367,0.013090
1758472696.805925846,0.010996
1758472696.905054092,0.010996
1758472697.004161596,0.012043
1758472697.107159853,0.012043
1758472697.206150055,0.012043
1758472697.307465315,0.012043
1758472697.405954361,0.013090
1758472697.505060673,0.013090
1758472697.606035471,0.012043
1758472697.705871582,0.010996
1758472697.807452917,0.012043
1758472697.906414032,0.013090
1758472698.005349874,0.014137
1758472698.105590105,0.012043
1758472698.206793785,0.010996
1758472698.306597233,0.010996
1758472698.407578945,0.009774
1758472698.506032228,0.008727
1758472698.605521917,0.007679
1758472698.708290339,0.005410
1758472698.805616617,0.004363
1758472698.906117439,0.005410
1758472699.005214453,0.005410
1758472699.105446815,0.005410
1758472699.205980062,0.005410
1758472699.305935860,0.005410
1758472699.407380819,0.004363
1758472699.507408142,0.003316
1758472699.605510235,0.003316
1758472699.706037760,0.002269
1758472699.805467367,0.002269
1758472699.906157732,0.001047
1758472700.006843805,0.001047
1758472700.106855392,0.002269
1758472700.206417322,0.001047
1758472700.306290388,0.002269
1758472700.405214787,0.004363
1758472700.506046534,0.010996
1758472700.607507229,0.008727
1758472700.706367731,0.008727
1758472700.805033684,0.007679
1758472700.906216860,0.005410
1758472701.006130219,0.005410
1758472701.105625153,0.003316
1758472701.206011295,0.003316
1758472701.305989265,0.003316
1758472701.406245947,0.001047
1758472701.504808187,0.000000
1758472701.604708195,-0.001047
1758472701.705645323,-0.001047
1758472701.805304050,-0.001047
1758472701.906406164,-0.001047
1758472702.004961491,-0.001047
1758472702.106602192,0.001047
1758472702.205952168,0.001047
1758472702.305381775,0.001047
1758472702.405977488,0.001047
1758472702.505905867,0.001047
1758472702.605007410,0.001047
1758472702.705900431,0.000000
1758472702.805930138,-0.001047
1758472702.906281948,-0.002269
1758472703.005522490,-0.003316
1758472703.105950356,-0.002269
1758472703.204714298,-0.003316
1758472703.305699110,-0.002269
1758472703.406169176,-0.002269
1758472703.505704880,-0.001047
1758472703.607166290,-0.001047
1758472703.705010653,-0.001047
1758472703.805173874,-0.002269
1758472703.904025555,-0.002269
1758472704.006527901,-0.003316
1758472704.103537321,-0.004363
1758472704.205503941,-0.005411
1758472704.304698229,-0.005411
1758472704.403017759,-0.006458
