ros_time_s,Lecturas_Validas
1758472682.904989958,3.000000
1758472683.005960941,4.000000
1758472683.105240822,3.000000
1758472683.206378937,5.000000
1758472683.304691315,3.000000
1758472683.404971123,4.000000
1758472683.505051374,3.000000
1758472683.605649233,5.000000
1758472683.704257250,3.000000
1758472683.804166555,4.000000
1758472683.904583216,4.000000
1758472684.006626129,4.000000
1758472684.106201410,4.000000
1758472684.206252575,4.000000
1758472684.307347059,5.000000
1758472684.406314135,3.000000
1758472684.503452063,4.000000
1758472684.600644112,4.000000
1758472684.701524019,4.000000
1758472684.801125288,5.000000
1758472684.901515484,2.000000
1758472685.000949144,6.000000
1758472685.100894690,4.000000
1758472685.200945377,2.000000
1758472685.301576376,5.000000
1758472685.400897264,3.000000
1758472685.500725746,5.000000
1758472685.605649948,4.000000
1758472685.706308842,4.000000
1758472685.806146145,2.000000
1758472685.906806231,4.000000
1758472686.005312204,4.000000
1758472686.106011391,3.000000
1758472686.205164909,2.000000
1758472686.306306124,4.000000
1758472686.405201674,4.000000
1758472686.505393505,4.000000
1758472686.600612640,2.000000
1758472686.701577663,5.000000
1758472686.800846338,5.000000
1758472686.900898218,2.000000
1758472687.001038313,5.000000
1758472687.102470875,3.000000
1758472687.201267958,4.000000
1758472687.300644875,5.000000
1758472687.400466681,4.000000
1758472687.501131773,2.000000
1758472687.606824160,4.000000
1758472687.704967737,3.000000
1758472687.806031942,4.000000
1758472687.906030893,5.000000
1758472688.007584810,4.000000
1758472688.101198673,5.000000
1758472688.200921535,2.000000
1758472688.300563097,4.000000
1758472688.400980949,4.000000
1758472688.500600815,4.000000
1758472688.600776672,4.000000
1758472688.700623035,4.000000
1758472688.800510406,3.000000
1758472688.900405645,4.000000
1758472689.000466347,3.000000
1758472689.100714922,3.000000
1758472689.201402903,3.000000
1758472689.301015139,4.000000
1758472689.403514385,4.000000
1758472689.501441717,5.000000
1758472689.600872278,4.000000
1758472689.700737000,5.000000
1758472689.800767899,4.000000
1758472689.900703907,5.000000
1758472690.000570059,2.000000
1758472690.100688696,3.000000
1758472690.201008558,3.000000
1758472690.302974224,4.000000
1758472690.403664827,5.000000
1758472690.502246857,4.000000
1758472690.604531765,3.000000
1758472690.703055859,4.000000
1758472690.801332235,5.000000
1758472690.902114868,5.000000
1758472691.001703739,3.000000
1758472691.105982304,2.000000
1758472691.203412056,5.000000
1758472691.301820755,3.000000
1758472691.402864695,3.000000
1758472691.505160809,5.000000
1758472691.606519699,3.000000
1758472691.701035976,5.000000
1758472691.803935051,4.000000
1758472691.901305437,4.000000
1758472692.000469208,5.000000
1758472692.100410223,5.000000
1758472692.201661110,4.000000
1758472692.300863981,5.000000
1758472692.401499748,1.000000
1758472692.501760483,4.000000
1758472692.602574587,3.000000
1758472692.707697630,3.000000
1758472692.801663399,4.000000
1758472692.900941849,5.000000
1758472693.001808882,2.000000
1758472693.102576494,4.000000
1758472693.202139378,5.000000
1758472693.303341866,2.000000
1758472693.400970697,4.000000
1758472693.501769066,3.000000
1758472693.600429296,3.000000
1758472693.701167583,4.000000
1758472693.802784204,4.000000
1758472693.900585890,4.000000
1758472694.000780582,5.000000
1758472694.101233006,3.000000
1758472694.201237917,4.000000
1758472694.301117897,2.000000
1758472694.400598764,4.000000
1758472694.500441790,5.000000
