ros_time_s,Lidar_Left
1758472682.904649019,1.066412
1758472683.005650759,1.074964
1758472683.104722023,1.019895
1758472683.205827475,1.041929
1758472683.304279089,1.070879
1758472683.404522657,1.076316
1758472683.504560709,1.056350
1758472683.605334282,1.073532
1758472683.703822374,1.062132
1758472683.803711176,1.074059
1758472683.904190063,1.018402
1758472684.006283283,1.067826
1758472684.105654001,1.074526
1758472684.205705881,1.019451
1758472684.306978226,1.072371
1758472684.405776739,1.062811
1758472684.503051043,1.072994
1758472684.600336790,1.021207
1758472684.700845003,1.069548
1758472684.800772190,1.033611
1758472684.900918007,1.080171
1758472685.000624418,1.040026
1758472685.100522757,1.069627
1758472685.200637341,1.074077
1758472685.301269770,1.070593
1758472685.400510550,1.069774
1758472685.500407219,1.051994
1758472685.605228662,1.069007
1758472685.705747366,1.072826
1758472685.805589437,1.079671
1758472685.906343937,1.070147
1758472686.004804611,1.073971
1758472686.105514050,1.061121
1758472686.204702139,1.078664
1758472686.305751562,1.071626
1758472686.404687166,1.063981
1758472686.504891157,1.069026
1758472686.600336075,1.078159
1758472686.700973511,1.063511
1758472686.800445795,1.073926
1758472686.900495768,1.077652
1758472687.000775337,1.061554
1758472687.101840734,1.062853
1758472687.200906038,1.074375
1758472687.300308943,1.036998
1758472687.400245905,1.069552
1758472687.500833511,1.078654
1758472687.606525660,1.073701
1758472687.704581738,1.060033
1758472687.805702209,1.073101
1758472687.905681610,1.037249
1758472688.006913424,1.071354
1758472688.100489616,1.071050
1758472688.200461626,1.080164
1758472688.300281286,1.074319
1758472688.400599241,1.074733
1758472688.500348330,1.067156
1758472688.600481033,1.074244
1758472688.700317383,1.069725
1758472688.800202131,1.053272
1758472688.900113821,1.067367
1758472689.000138283,1.073561
1758472689.100381613,1.025582
1758472689.200744867,1.060494
1758472689.300706863,1.076109
1758472689.400275946,1.067861
1758472689.501063585,1.068187
1758472689.600422859,1.072089
1758472689.700417995,1.036421
1758472689.800421476,1.070668
1758472689.900305271,1.071680
1758472690.000269413,1.075133
1758472690.100325108,1.063065
1758472690.200679541,1.078871
1758472690.302528143,1.068238
1758472690.403312445,1.066065
1758472690.501838923,1.071244
1758472690.603993654,1.054449
1758472690.702621698,1.069713
1758472690.801036119,1.071585
1758472690.901712418,1.071302
1758472691.001332998,1.073402
1758472691.105626583,1.075627
1758472691.202891827,1.071432
1758472691.301481485,1.072285
1758472691.402428389,1.024796
1758472691.504631519,1.064762
1758472691.606151104,1.065808
1758472691.700729609,1.050937
1758472691.803621531,1.066935
1758472691.900981903,1.075453
1758472692.000151396,1.032372
1758472692.100101233,1.064070
1758472692.201269865,1.072343
1758472692.300537348,1.034775
1758472692.401165485,1.031563
1758472692.501412392,1.085196
1758472692.601949453,1.068910
1758472692.706904650,1.013664
1758472692.801277876,1.066753
1758472692.900592804,1.073381
1758472693.001475811,1.073051
1758472693.102056503,1.068203
1758472693.201573133,1.073164
1758472693.302713394,1.072527
1758472693.400668144,1.068071
1758472693.501380444,1.056190
1758472693.600123882,1.074948
1758472693.700834751,1.037378
1758472693.801887989,1.064974
1758472693.900184631,1.069955
1758472694.000430346,1.037125
1758472694.100874186,1.056051
1758472694.200869322,1.069053
1758472694.300769806,1.073051
1758472694.400292635,1.068980
1758472694.500126362,1.072730
1758472694.600363970,1.076119
1758472694.701011181,1.070616
1758472694.800495863,1.068166
1758472694.900276423,1.025123
1758472694.999922276,1.071314
1758472695.099953413,1.036523
1758472695.199835062,1.035324
