ros_time_s,Vel_Des
1758472695.335948229,"2.83,0.67"
1758472695.433849573,"2.83,0.67"
1758472695.529895306,"2.83,0.67"
1758472695.631884336,"2.83,0.67"
1758472695.734194756,"0.67,2.83"
1758472695.832221031,"2.83,0.67"
1758472696.019302130,"2.83,0.67"
1758472696.039852142,"2.83,0.67"
1758472696.129159451,"0.67,2.83"
1758472696.231710911,"2.83,0.67"
1758472696.330811024,"2.83,0.67"
1758472696.432591438,"2.83,0.67"
1758472696.530172825,"2.83,0.67"
1758472696.627524614,"2.83,0.67"
1758472696.732450247,"2.83,0.67"
1758472696.831642866,"2.83,0.67"
1758472696.929636002,"2.83,0.67"
1758472697.030092716,"2.83,0.67"
1758472697.131398201,"2.83,0.67"
1758472697.231312037,"2.83,0.67"
1758472697.333498955,"2.83,0.67"
1758472697.431386471,"2.83,0.67"
1758472697.530275822,"2.83,0.67"
1758472697.630428076,"2.83,0.67"
1758472697.731700420,"2.83,0.67"
1758472697.834973812,"2.83,0.67"
1758472697.931495428,"2.83,0.67"
1758472698.030941963,"2.83,0.67"
1758472698.130928755,"2.83,0.67"
1758472698.232032537,"2.83,0.67"
1758472698.332010984,"2.83,0.67"
1758472698.432588816,"2.83,0.67"
1758472698.531672716,"2.83,0.67"
1758472698.631257534,"2.83,0.67"
1758472698.732246637,"2.83,0.67"
1758472698.832813501,"2.83,0.67"
1758472698.931206942,"2.83,0.67"
1758472699.031196117,"2.83,0.67"
1758472699.131447554,"2.83,0.67"
1758472699.232002974,"2.83,0.67"
1758472699.331050158,"2.83,0.67"
1758472699.433272600,"2.83,0.67"
1758472699.532531023,"2.83,0.67"
1758472699.630947113,"2.83,0.67"
1758472699.731601000,"2.83,0.67"
1758472699.830691099,"2.83,0.67"
1758472699.930822134,"2.83,0.67"
1758472700.031922102,"2.83,0.67"
1758472700.131458282,"2.83,0.67"
1758472700.232018471,"2.83,0.67"
1758472700.330596685,"2.83,0.67"
1758472700.429996729,"2.83,0.67"
1758472700.531248808,"2.83,0.67"
1758472700.632013321,"2.83,0.67"
1758472700.733624220,"2.83,0.67"
1758472700.830507994,"2.83,0.67"
1758472700.931231260,"2.83,0.67"
1758472701.030681372,"2.83,0.67"
1758472701.130538225,"2.83,0.67"
1758472701.232052565,"2.83,0.67"
1758472701.330883026,"2.83,0.67"
1758472701.430553913,"2.83,0.67"
1758472701.530225515,"2.83,0.67"
1758472701.632189512,"2.83,0.67"
1758472701.730829477,"2.83,0.67"
1758472701.830577850,"2.83,0.67"
1758472701.931193829,"2.83,0.67"
1758472702.030097485,"2.83,0.67"
1758472702.132142305,"2.83,0.67"
1758472702.231646299,"2.83,0.67"
1758472702.330400229,"2.83,0.67"
1758472702.431146145,"2.83,0.67"
1758472702.531733990,"2.83,0.67"
1758472702.631382942,"2.83,0.67"
1758472702.731241465,"2.83,0.67"
1758472702.831375360,"2.83,0.67"
1758472702.931285858,"2.83,0.67"
1758472703.032010078,"2.83,0.67"
1758472703.132930279,"2.83,0.67"
1758472703.230302095,"2.83,0.67"
1758472703.332299232,"2.83,0.67"
1758472703.431715488,"2.83,0.67"
