ros_time_s,omega_1
1758472677.706622124,0.000000
1758472677.739651918,0.000000
1758472677.789525747,0.000000
1758472677.839601755,0.000000
1758472677.889055490,0.000000
1758472677.940001488,0.000000
1758472677.989868879,0.000000
1758472678.039747238,0.000000
1758472678.090453386,0.000000
1758472678.140101671,0.000000
1758472678.190912008,0.000000
1758472678.240520000,0.000000
1758472678.290903091,0.000000
1758472678.340399265,0.000000
1758472678.390141249,0.000000
1758472678.440050364,0.000000
1758472678.491109610,0.000000
1758472678.540737867,0.000000
1758472678.590353966,0.000000
1758472678.640140057,0.000000
1758472678.689687729,0.000000
1758472678.739435434,0.000000
1758472678.789865017,0.000000
1758472678.839867115,0.000000
1758472678.889546156,0.000000
1758472678.939408064,0.000000
1758472678.989972830,0.000000
1758472679.040864944,0.000000
1758472679.090543270,0.000000
1758472679.140574694,0.000000
1758472679.190502167,0.000000
1758472679.240113258,0.000000
1758472679.290661097,0.000000
1758472679.340703249,0.000000
1758472679.390317678,0.000000
1758472679.439969540,0.000000
1758472679.490481853,0.000000
1758472679.540469170,0.000000
1758472679.590382576,0.000000
1758472679.640836239,0.000000
1758472679.690630436,0.000000
1758472679.740241766,0.000000
1758472679.790691137,0.000000
1758472679.841032028,0.000000
1758472679.890414953,0.000000
1758472679.940438509,0.000000
1758472679.990832806,0.000000
1758472680.040872335,0.000000
1758472680.090536356,0.000000
1758472680.140547991,0.000000
1758472680.191039324,0.000000
1758472680.241441965,0.000000
1758472680.291852951,0.000000
1758472680.341773987,0.000000
1758472680.391348839,0.000000
1758472680.441355944,0.000000
1758472680.491823673,0.000000
1758472680.541750431,0.000000
1758472680.591538429,0.000000
1758472680.641300917,0.000000
1758472680.691695690,0.000000
1758472680.741128445,0.000000
1758472680.791619062,0.000000
1758472680.841736555,0.000000
1758472680.891580582,0.000000
1758472680.942333698,0.000000
1758472680.991602659,0.000000
1758472681.041786671,0.000000
1758472681.092537880,0.000000
1758472681.142352819,0.000000
1758472681.192902327,0.000000
1758472681.243357658,0.000000
1758472681.293118954,0.000000
1758472681.343049049,0.000000
1758472681.393551826,0.000000
1758472681.443520308,0.000000
1758472681.493618011,0.000000
1758472681.543386221,0.000000
1758472681.594174623,0.000000
1758472681.643502235,0.000000
1758472681.692932606,0.000000
1758472681.743379116,0.000000
1758472681.792891502,0.000000
1758472681.843603849,0.000000
1758472681.893375635,0.000000
1758472681.943967581,0.000000
1758472681.993348837,0.000000
1758472682.043182611,0.000000
1758472682.094122410,0.000000
1758472682.143841743,0.000000
1758472682.194662333,0.000000
1758472682.244621515,0.000000
1758472682.294294596,0.000000
1758472682.344220161,0.000000
1758472682.394603252,0.000000
1758472682.444216013,0.000000
1758472682.493452311,0.000000
1758472682.543632269,0.000000
1758472682.593430042,0.000000
1758472682.643831730,0.000000
1758472682.693660736,0.000000
1758472682.743680716,0.000000
1758472682.792899132,0.000000
1758472682.844646931,0.000000
1758472682.895124674,0.000000
1758472682.944641829,0.000000
1758472682.995212317,0.000000
1758472683.045699596,0.000000
1758472683.095767736,0.000000
1758472683.144884825,0.000000
1758472683.195603371,0.000000
1758472683.244978905,0.000000
1758472683.295785427,0.000000
1758472683.345685720,0.000000
1758472683.395400763,0.000000
1758472683.445136547,0.000000
1758472683.495162010,0.000000
1758472683.544508457,0.000000
1758472683.595694065,0.000000
1758472683.644886971,0.000000
1758472683.695484400,0.000000
1758472683.745575190,0.000000
1758472683.794941425,0.000000
1758472683.845757723,0.000000
1758472683.895358324,0.000000
1758472683.945311069,0.000000
1758472683.995039463,0.000000
1758472684.044971466,0.000000
1758472684.095679998,0.000000
1758472684.145902872,0.000000
1758472684.196574450,0.000000
1758472684.246640921,0.000000
1758472684.296837091,0.000000
1758472684.346444607,0.000000
1758472684.395817518,0.000000
1758472684.446197033,0.000000
1758472684.495467663,0.000000
1758472684.546323538,0.000000
1758472684.595533133,0.000000
1758472684.644822121,0.000000
1758472684.695643663,0.000000
1758472684.745646238,0.000000
1758472684.795656204,0.000000
1758472684.845217705,0.000000
1758472684.895280600,0.000000
1758472684.945598364,0.000000
1758472684.995689869,0.000000
1758472685.045669317,0.000000
1758472685.095616579,0.000000
1758472685.145453453,0.000000
1758472685.195547581,0.000000
1758472685.244739294,0.000000
1758472685.295610905,0.000000
1758472685.344670773,0.000000
1758472685.395250797,0.000000
1758472685.445581198,0.000000
1758472685.494750977,0.000000
1758472685.547295094,0.000000
1758472685.597345591,0.000000
1758472685.647190094,0.000000
1758472685.696892262,0.000000
1758472685.746873856,0.000000
1758472685.797820330,0.000000
1758472685.846984625,0.000000
1758472685.898000717,0.000000
1758472685.948500395,0.000000
1758472685.998178005,0.000000
1758472686.047998667,0.000000
1758472686.097955227,0.000000
1758472686.148547649,0.000000
1758472686.198519468,0.000000
1758472686.248427153,0.000000
1758472686.298425436,0.000000
1758472686.348887920,0.000000
1758472686.398455381,0.000000
1758472686.448256016,0.000000
1758472686.497920513,0.000000
1758472686.547904491,0.000000
1758472686.596950293,0.000000
1758472686.646855593,0.000000
1758472686.696815729,0.000000
1758472686.746734142,0.000000
1758472686.797829390,0.000000
1758472686.847933292,0.000000
1758472686.897737503,0.000000
1758472686.947980881,0.000000
1758472686.998493433,0.000000
1758472687.048438549,0.000000
1758472687.097779036,0.000000
1758472687.148519993,0.000000
1758472687.198379040,0.000000
1758472687.248492956,0.000000
1758472687.297888279,0.000000
1758472687.348117590,0.000000
1758472687.397811651,0.000000
1758472687.448024511,0.000000
1758472687.497817516,0.000000
1758472687.548300028,0.000000
1758472687.599859953,0.000000
1758472687.648903847,0.000000
1758472687.699443102,0.000000
1758472687.749126434,0.000000
1758472687.799834728,0.000000
1758472687.849851608,0.000000
1758472687.900090694,0.000000
1758472687.950201273,0.000000
1758472688.000779629,0.000000
1758472688.050491571,0.000000
1758472688.099136591,0.000000
1758472688.149857044,0.000000
1758472688.200574636,0.000000
1758472688.249990940,0.000000
1758472688.299875736,0.000000
1758472688.349890232,0.000000
1758472688.399935484,0.000000
1758472688.450210333,0.000000
1758472688.500254393,0.000000
1758472688.550146580,0.000000
1758472688.600262403,0.000000
1758472688.650435209,0.000000
1758472688.700305700,0.000000
1758472688.750391006,0.000000
1758472688.800376415,0.000000
1758472688.850601435,0.000000
1758472688.902829885,0.000000
1758472688.950585842,0.000000
1758472689.001739502,0.000000
1758472689.050681353,0.000000
1758472689.102839947,0.000000
1758472689.150703669,0.000000
1758472689.201853037,0.000000
1758472689.250713587,0.000000
1758472689.300967455,0.000000
1758472689.351136446,0.000000
1758472689.401473999,0.000000
1758472689.451427937,0.000000
1758472689.501160383,0.000000
1758472689.551314592,0.000000
1758472689.601568460,0.000000
1758472689.651061773,0.000000
1758472689.700758457,0.000000
1758472689.751234055,0.000000
1758472689.802100420,0.000000
1758472689.851976395,0.000000
1758472689.902566195,0.000000
1758472689.952413082,0.000000
1758472690.001732349,0.000000
1758472690.051653624,0.000000
1758472690.102847815,0.000000
1758472690.152323723,0.000000
1758472690.202029705,0.000000
1758472690.252435446,0.000000
1758472690.302668571,0.000000
1758472690.353221655,0.000000
1758472690.403123379,0.000000
